A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.28293	2.58528	1.45066	1.02477	1.29679	1.46855	1.1045	0.90434	0.53296	0.41858	0.41691	0.40933	0.26779	0.20722	0.15422	0.14008
2.5305	7.23403	2.61166	1.22877	0.67699	1.26302	1.16437	1.09235	0.8026	0.52584	0.41175	0.37852	0.28337	0.21012	0.15506	0.13975
1.20195	3.9097	10.94049	2.08065	0.87788	0.74532	0.77999	1.01208	0.86256	0.62048	0.42041	0.30334	0.21704	0.18981	0.15532	0.14196
0.84981	1.53696	4.35673	10.26876	2.09361	0.93905	0.55608	0.84794	0.75967	0.71636	0.47794	0.31769	0.22046	0.17951	0.14539	0.13525
1.18739	0.96392	1.00463	3.88403	4.31691	1.93823	0.86912	0.63404	0.58477	0.67176	0.48517	0.36523	0.22908	0.17146	0.16634	0.14338
2.13286	1.1692	0.64876	1.50687	2.76605	2.72214	1.47125	0.95591	0.71993	0.67394	0.67496	0.45676	0.31027	0.21298	0.16519	0.14294
1.86002	2.16566	1.50432	0.813	1.38439	1.87165	1.67619	1.3535	0.87401	0.66884	0.57488	0.49262	0.3466	0.22321	0.15794	0.14752
1.84889	2.6862	2.03029	1.42824	1.00381	1.33947	1.46646	1.64016	1.28413	0.8097	0.62964	0.4482	0.35384	0.25608	0.19149	0.1567
1.24999	1.91835	2.01682	1.70699	1.25158	1.10285	1.23516	1.33734	1.3013	0.9967	0.69156	0.36727	0.32878	0.23962	0.1879	0.18
0.7754	1.17854	1.30135	1.88206	1.40242	1.08767	0.95885	1.03529	1.01912	0.97505	0.73134	0.44594	0.28096	0.21942	0.18929	0.16579
1.33755	1.16056	1.36323	1.80813	1.84905	1.68845	1.07303	0.86882	0.97721	1.01662	0.78359	0.64677	0.32789	0.20148	0.18561	0.17298
1.911	1.60686	1.06147	1.39547	1.44094	1.76579	1.34454	0.91365	0.75937	0.67461	0.76104	0.5365	0.41027	0.24816	0.16877	0.15555
1.70145	1.42088	0.86171	1.02801	1.0117	1.16394	1.01781	0.98618	0.66028	0.48271	0.44918	0.48309	0.31824	0.28827	0.19416	0.15451
1.44163	1.74503	1.11229	0.87477	0.95781	0.99754	1.0954	1.04905	0.69565	0.42373	0.38533	0.4171	0.36824	0.25555	0.20414	0.15488
0.55649	1.13708	0.86679	1.06684	0.53422	0.71676	0.53379	0.73102	0.62467	0.48526	0.34716	0.28815	0.3582	0.29426	0.24144	0.18472
0.95795	1.06044	1.18428	1.1584	0.55166	0.54666	0.59465	0.72765	0.58061	0.53822	0.46081	0.30168	0.2351	0.28458	0.23814	0.16639
