A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
1.98554	1.22862	0.66361	0.44749	0.71894	1.17612	1.3393	1.0426	0.63549	0.45576	0.52694	0.55445	0.38785	0.26062	0.17213	0.14203
1.46026	5.878	1.33458	0.50828	0.40686	0.96798	1.37012	1.23572	0.96152	0.57282	0.49278	0.50281	0.41414	0.26221	0.17252	0.14233
0.54705	2.54278	9.19709	1.04918	0.55011	0.65422	0.91414	1.18262	1.12927	0.76166	0.55104	0.40408	0.2945	0.23967	0.17828	0.14852
0.38469	0.68919	2.956	8.13932	1.33951	0.83798	0.657	0.92817	0.94029	0.88476	0.60041	0.39702	0.27598	0.20131	0.15241	0.13598
0.53796	0.48309	0.50417	2.0082	3.27607	1.8124	1.1089	0.79913	0.73182	0.86718	0.67501	0.51489	0.29544	0.19738	0.18299	0.14944
0.97497	0.5914	0.38275	0.84564	1.964	3.05317	1.91664	1.28169	0.97928	0.88037	0.93824	0.64794	0.42363	0.25555	0.18376	0.14585
0.93848	1.10543	0.78042	0.4923	1.04688	1.82985	2.44844	1.68915	1.14754	0.89647	0.81024	0.73921	0.49669	0.27879	0.17572	0.15593
0.87652	1.25031	0.96579	0.76115	0.78473	1.41121	1.81655	2.30573	1.64787	1.08462	0.86137	0.64158	0.52894	0.33207	0.22245	0.16632
0.65426	0.93446	1.07843	0.92564	1.01581	1.29229	1.70744	1.80466	2.06258	1.44048	1.07433	0.56359	0.50477	0.33287	0.22958	0.20622
0.42544	0.54905	0.71128	1.05127	1.02957	1.18364	1.37095	1.48878	1.48702	1.63344	1.19846	0.72242	0.43961	0.29759	0.23358	0.18891
0.44565	0.49141	0.67562	0.86591	1.18288	1.6176	1.39773	1.24995	1.49733	1.60221	1.49953	1.10994	0.56385	0.2809	0.23028	0.20188
0.60651	0.58928	0.52881	0.55404	0.82	1.38702	1.49032	1.03797	0.97428	0.82997	1.09746	1.16106	0.71643	0.33971	0.19314	0.16699
0.62358	0.58471	0.4204	0.42675	0.60854	1.00555	1.17814	1.11056	0.81536	0.63666	0.65943	0.90511	0.79914	0.45302	0.2427	0.16881
0.45398	0.58008	0.42406	0.3192	0.48162	0.73488	1.05435	0.95409	0.79686	0.50997	0.55274	0.67611	0.64761	0.5248	0.25404	0.16736
0.27988	0.54366	0.48021	0.49995	0.36807	0.62861	0.66772	0.89839	0.88346	0.68003	0.5545	0.52934	0.7657	0.5535	0.39554	0.20443
0.34223	0.39095	0.4675	0.39089	0.31424	0.38758	0.61688	0.65161	0.62126	0.65773	0.63742	0.48584	0.36835	0.3925	0.28456	0.19794
