A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
1.52092	1.17814	0.80529	0.66357	1.00125	1.19358	1.05877	0.82503	0.57926	0.40551	0.44463	0.4337	0.29371	0.22763	0.17039	0.15262
1.45253	5.47856	1.62619	0.69934	0.53202	1.12417	1.21293	1.03943	0.87973	0.51703	0.43511	0.3969	0.31318	0.22581	0.16628	0.15137
0.5692	2.39954	8.59187	1.29196	0.65402	0.70402	0.88236	0.98687	0.97929	0.6415	0.45411	0.32407	0.23166	0.20508	0.16921	0.15607
0.44467	0.72477	2.95169	8.2627	1.62955	0.87062	0.62232	0.83652	0.82531	0.70708	0.48182	0.32555	0.23118	0.18645	0.15069	0.14084
0.66629	0.5652	0.61486	2.74617	3.59744	1.83877	1.02581	0.75964	0.71307	0.70834	0.52975	0.40239	0.25072	0.1824	0.18	0.15569
1.03138	0.6803	0.48048	1.12787	2.3263	2.61226	1.68003	1.19273	0.9416	0.79684	0.76299	0.50368	0.34436	0.22915	0.17653	0.15013
0.89284	1.13986	1.07269	0.6644	1.25366	1.79991	1.89158	1.53825	1.15848	0.85553	0.71735	0.57884	0.38945	0.24121	0.17121	0.16077
0.82437	1.18731	1.10371	0.95375	0.92583	1.43022	1.63695	1.84782	1.55542	1.04069	0.80002	0.53549	0.39647	0.27228	0.21446	0.1697
0.64303	0.90698	1.20687	1.06801	1.10704	1.22616	1.53218	1.5297	1.61966	1.20068	0.91169	0.46107	0.40033	0.27387	0.21247	0.20069
0.42455	0.56262	0.77314	1.15885	1.02895	1.0809	1.17223	1.31217	1.26756	1.15542	0.89618	0.55702	0.34428	0.24639	0.21479	0.19119
0.57953	0.58584	0.83432	1.15256	1.349	1.54142	1.22974	1.11332	1.37491	1.27723	0.95768	0.76386	0.41509	0.23706	0.21151	0.2035
0.80037	0.71708	0.68484	0.85292	1.04638	1.48396	1.42619	1.06749	1.07998	0.86589	0.91883	0.70399	0.48733	0.29519	0.19562	0.18464
0.73803	0.67507	0.54578	0.6652	0.8067	1.07622	1.09601	1.08114	0.92876	0.69027	0.62566	0.62479	0.41244	0.30703	0.24645	0.18356
0.641	0.75449	0.6242	0.52752	0.70732	0.85541	1.04885	0.92855	0.87061	0.53012	0.5589	0.56174	0.40578	0.27278	0.2226	0.17947
0.31909	0.56599	0.54721	0.69387	0.4618	0.65649	0.60935	0.81426	0.83925	0.62047	0.44932	0.40842	0.51801	0.33052	0.30158	0.20961
0.48259	0.52434	0.70956	0.62502	0.42954	0.46465	0.63135	0.68259	0.71562	0.62553	0.57292	0.43978	0.29144	0.28219	0.2465	0.19047
