A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.70656	1.97819	1.14598	0.65608	0.76547	0.96616	0.8512	0.70952	0.49886	0.33175	0.3114	0.27145	0.2134	0.17482	0.14945	0.1364
2.3841	6.7096	2.15149	0.78564	0.47008	0.8662	0.92328	0.85786	0.73543	0.46744	0.37777	0.30058	0.24985	0.18675	0.15178	0.13667
1.15096	3.33886	9.05793	1.39068	0.63863	0.58314	0.63777	0.7669	0.73169	0.52934	0.38648	0.26589	0.20779	0.17883	0.1542	0.14101
0.76105	1.26883	3.46663	7.68081	1.50995	0.72683	0.47448	0.6202	0.59478	0.54831	0.39015	0.25256	0.20184	0.16248	0.14322	0.13396
0.95904	0.77581	0.82409	2.93378	3.37771	1.52731	0.80384	0.58579	0.51963	0.53106	0.3979	0.29049	0.21217	0.16315	0.16469	0.14234
1.78827	0.88029	0.55785	1.17758	2.1809	2.37046	1.43894	1.00709	0.80538	0.66722	0.60511	0.39499	0.29825	0.20728	0.17161	0.14242
1.74527	1.62663	1.20538	0.68527	1.20299	1.673	1.65732	1.31473	0.98437	0.75527	0.58914	0.46387	0.32247	0.22125	0.15733	0.14981
1.83604	2.07115	1.45885	0.98331	0.9068	1.34796	1.45945	1.63942	1.42308	0.94321	0.73873	0.46235	0.32525	0.23479	0.19644	0.16191
1.43834	1.73845	1.66901	1.12117	1.07452	1.18054	1.38759	1.42709	1.48394	1.15182	0.85711	0.43442	0.35972	0.24741	0.20163	0.1942
0.79037	1.11779	1.20595	1.34573	1.02026	1.04048	1.10312	1.20231	1.18894	1.12655	0.89192	0.53781	0.33379	0.24008	0.20775	0.17609
0.83149	0.92087	1.15996	1.16468	1.18482	1.29833	1.06453	0.9945	1.20752	1.22652	0.97056	0.71343	0.39429	0.22063	0.20636	0.18996
1.14187	1.08265	0.93208	0.87205	0.92659	1.17685	1.12419	0.87428	0.89835	0.77007	0.84577	0.63748	0.46971	0.25464	0.18116	0.16735
1.076	1.03111	0.81116	0.71765	0.73319	0.87469	0.81108	0.80528	0.7102	0.60163	0.58957	0.57205	0.37813	0.30073	0.20989	0.17307
0.77296	1.00414	0.76632	0.4817	0.58215	0.66073	0.70751	0.57931	0.60016	0.39383	0.42799	0.39261	0.36771	0.26606	0.22305	0.16485
0.44731	0.96463	0.78735	0.79688	0.42594	0.52758	0.44581	0.57783	0.59921	0.47849	0.39341	0.31072	0.39064	0.31725	0.26749	0.19024
0.56417	0.57051	0.74584	0.57151	0.34816	0.34553	0.43415	0.40542	0.37271	0.43078	0.44438	0.29546	0.23677	0.27772	0.22704	0.17267
