A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.26063	2.14131	1.18108	0.71439	0.89332	1.11973	1.00894	0.7727	0.50457	0.35604	0.35836	0.31611	0.22438	0.18427	0.15344	0.13638
2.33125	6.55299	2.14131	0.81215	0.5084	0.95077	0.99633	0.8599	0.70262	0.44171	0.3797	0.32322	0.25358	0.19227	0.15637	0.13666
1.13015	3.42935	9.55867	1.47267	0.68615	0.65133	0.70923	0.80111	0.75111	0.51963	0.39294	0.2757	0.20623	0.18362	0.16124	0.14
0.73494	1.23447	3.50503	8.2631	1.63962	0.81631	0.5245	0.6512	0.60097	0.53348	0.39191	0.25924	0.19791	0.16619	0.14625	0.13295
1.02824	0.83098	0.82747	3.03525	3.80068	1.7276	0.89315	0.61196	0.53994	0.53709	0.42024	0.30478	0.2135	0.16471	0.16702	0.1416
1.78056	0.91579	0.56246	1.20791	2.32747	2.63094	1.4847	0.99223	0.77537	0.64689	0.61738	0.40183	0.2928	0.207	0.16952	0.14127
1.72671	1.67307	1.22377	0.69868	1.27993	1.75762	1.76095	1.27975	0.94283	0.72146	0.58938	0.46399	0.32127	0.21846	0.15953	0.14764
1.71996	2.03185	1.43994	0.99545	0.93445	1.39965	1.4691	1.61047	1.31029	0.8728	0.69902	0.44956	0.32103	0.23613	0.19428	0.15848
1.29535	1.64173	1.64002	1.15467	1.12822	1.23456	1.41754	1.36943	1.44569	1.07105	0.8276	0.42352	0.35453	0.24723	0.20006	0.19067
0.74569	1.04527	1.09508	1.31193	1.06157	1.07038	1.09475	1.14363	1.08459	1.04325	0.8058	0.50256	0.30917	0.23414	0.20189	0.16994
0.92003	0.93432	1.09712	1.18409	1.30142	1.43506	1.1114	0.96638	1.14368	1.11885	0.92287	0.6694	0.35833	0.21407	0.2041	0.18249
1.31524	1.23664	0.91756	0.89211	1.01097	1.35775	1.23243	0.88446	0.8612	0.72471	0.79383	0.60574	0.40411	0.2461	0.17848	0.16243
1.27752	1.18024	0.78791	0.72937	0.78384	0.98112	0.91979	0.84989	0.69025	0.53439	0.51567	0.48725	0.33062	0.26439	0.20219	0.16218
0.92865	1.16099	0.82221	0.52406	0.63758	0.7575	0.83583	0.69213	0.61641	0.39806	0.42286	0.37729	0.30499	0.24802	0.20481	0.15443
0.48169	0.98718	0.81213	0.81538	0.45583	0.60991	0.51115	0.60297	0.59444	0.4482	0.39325	0.29837	0.33958	0.27619	0.24551	0.1688
0.68014	0.72879	0.8493	0.65025	0.39032	0.39879	0.49857	0.49439	0.44888	0.44864	0.46362	0.31052	0.21817	0.24731	0.2128	0.1598
