A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.51779	1.5327	1.03508	0.7289	1.01543	1.14148	1.05527	0.81168	0.54625	0.38222	0.35668	0.32546	0.26034	0.20222	0.16182	0.14447
1.76387	5.89019	1.93259	0.80535	0.5257	1.00473	1.13648	0.97733	0.78612	0.46665	0.36485	0.30459	0.27942	0.20449	0.16175	0.14495
0.79216	2.80144	9.35397	1.60957	0.73057	0.64192	0.82766	0.98926	0.905	0.59391	0.4056	0.28028	0.21862	0.19274	0.16762	0.15088
0.51563	0.85734	3.2443	8.53869	1.74729	0.80057	0.53369	0.78519	0.76579	0.62837	0.40477	0.26973	0.20789	0.17082	0.14913	0.13879
0.75445	0.5976	0.72464	3.16465	4.04981	1.78809	0.94256	0.71083	0.67849	0.69716	0.49048	0.35364	0.24341	0.1779	0.17825	0.15182
1.22525	0.70977	0.47554	1.1568	2.41741	2.73513	1.5689	1.0652	0.83622	0.72153	0.6846	0.45065	0.33478	0.22174	0.17459	0.14629
1.10942	1.28765	1.18366	0.66377	1.25346	1.76681	1.91137	1.42373	0.98855	0.74968	0.6161	0.50482	0.37918	0.239	0.17072	0.15692
1.03455	1.40433	1.393	1.0959	0.92716	1.36319	1.54191	1.84107	1.42496	0.90188	0.68076	0.45687	0.37946	0.27304	0.21567	0.16891
0.82243	1.0747	1.46917	1.33167	1.2107	1.18228	1.377	1.46165	1.61164	1.11916	0.78853	0.40607	0.36915	0.27443	0.21683	0.20069
0.4943	0.64254	0.92543	1.36809	1.21421	1.07232	1.06651	1.14635	1.15531	1.122	0.81637	0.48018	0.3078	0.23911	0.21253	0.19107
0.58173	0.5948	0.90446	1.19484	1.43789	1.50682	1.12984	0.96981	1.14765	1.16866	0.96551	0.68209	0.3712	0.22412	0.20718	0.2015
0.77601	0.66562	0.68183	0.83975	1.07687	1.42776	1.3036	0.92483	0.87219	0.69533	0.79199	0.70085	0.49452	0.26629	0.18379	0.16985
0.84784	0.72981	0.6045	0.68631	0.84622	1.08648	1.08446	1.04036	0.78782	0.56653	0.50327	0.59639	0.4945	0.3659	0.22967	0.17929
0.5197	0.60707	0.52858	0.43229	0.62832	0.76158	0.88433	0.79825	0.71013	0.41341	0.38256	0.37894	0.41336	0.37522	0.25118	0.17623
0.33933	0.63916	0.65605	0.7994	0.47077	0.62784	0.60014	0.83108	0.82028	0.56202	0.3798	0.2986	0.43246	0.41006	0.34857	0.26345
0.36676	0.38733	0.5363	0.50624	0.371	0.36936	0.50137	0.57525	0.53169	0.50252	0.43539	0.25762	0.23461	0.28363	0.28478	0.22091
