A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.58644	1.70139	1.09227	0.7457	1.01384	1.32656	1.28913	0.99313	0.6648	0.46238	0.48123	0.43334	0.32056	0.24245	0.17212	0.14297
1.89162	6.5028	1.9828	0.84276	0.56664	1.13849	1.30508	1.13831	0.95095	0.5762	0.48218	0.42229	0.35179	0.24895	0.17556	0.14285
0.82508	2.822	9.19834	1.48876	0.73972	0.73559	0.878	1.01713	0.9852	0.66417	0.47277	0.32439	0.2529	0.22816	0.17993	0.1471
0.56887	0.97323	3.38207	8.67774	1.75251	0.94342	0.6454	0.85078	0.83385	0.74263	0.51859	0.32491	0.24747	0.19817	0.15657	0.13665
0.77603	0.68252	0.76913	2.99895	4.11423	2.05607	1.13259	0.81615	0.74596	0.78267	0.59013	0.4148	0.27534	0.19398	0.1887	0.15021
1.35156	0.78701	0.55584	1.27458	2.59693	3.18958	1.92128	1.30635	1.03435	0.88461	0.86629	0.5503	0.39506	0.25561	0.18825	0.14825
1.2812	1.41724	1.17148	0.72557	1.41085	2.09514	2.26257	1.68564	1.23217	0.9395	0.77493	0.62578	0.44195	0.26903	0.17739	0.15704
1.24937	1.64286	1.37834	1.09436	1.03978	1.63513	1.85112	2.13348	1.7233	1.13676	0.88828	0.57549	0.45311	0.31202	0.22763	0.16994
0.95654	1.28144	1.52668	1.24333	1.24759	1.41779	1.71753	1.72172	1.88486	1.37516	1.01042	0.50262	0.44906	0.31975	0.22813	0.20807
0.5914	0.80233	1.02656	1.40405	1.22818	1.26066	1.34019	1.44298	1.4153	1.40359	1.03845	0.61782	0.3846	0.27908	0.22973	0.18694
0.71942	0.72139	1.01481	1.24322	1.47808	1.71491	1.38235	1.19553	1.43883	1.44833	1.17909	0.85316	0.45385	0.25313	0.22726	0.19885
0.97145	0.92514	0.83464	0.90003	1.1166	1.61195	1.58029	1.10767	1.08317	0.90462	1.01013	0.81031	0.55308	0.30635	0.19409	0.17244
1.02425	0.92928	0.72802	0.73454	0.86443	1.17947	1.22247	1.15765	0.90307	0.6928	0.64289	0.65854	0.48937	0.36128	0.23399	0.17534
0.74584	0.93176	0.75127	0.53653	0.70168	0.87692	1.10088	0.96474	0.86424	0.50507	0.50487	0.47804	0.43207	0.34735	0.2363	0.16466
0.41625	0.8431	0.7575	0.82364	0.48006	0.72363	0.65738	0.86211	0.86359	0.63531	0.49284	0.37053	0.50002	0.39278	0.31175	0.19032
0.53804	0.58814	0.7877	0.67307	0.42174	0.45284	0.63912	0.67101	0.67558	0.62957	0.57794	0.3674	0.27863	0.31708	0.2516	0.18004
