"country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type"
"LSO",2021.5,"all","all","all","all","aTB","stock",NA,"all","all","all","all","aTB,sTB","stock",NA,"x/y",15,99,0.504,0.361,0.797,0.218,"TB_subclinpr_15_99","ratio"
"LSO",2023.5,"all","all","all","all","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,14,178.1,85.2,279.9,97.35,"TB_inci_0_14","inci"
"LSO",2023.5,"all","all","all","all","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",15,99,914.2,417.9,1371.3,476.7,"TB_inci_15_99","inci"
"LSO",2023.5,"all","all","all","all","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,664,335,985,325,"TB_inci_0_99","inci"
"LSO",2023.5,"all","all","all","all","sTBTcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,14,46.7,37.36,56.04,9.34,"TB_notif_0_14","inci"
"LSO",2023.5,"all","all","all","all","sTBTcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",15,99,400.2,320.16,480.24,80.04,"TB_notif_15_99","inci"
"LSO",2023.5,"all","all","all","all","sTBTcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,281,224.8,337.2,56.2,"TB_notif_0_99","inci"
"LSO",2023.5,"all","all","all","all","TBdead","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,229,154,298,72,"TB_deaths_0_99","inci"
"LSO",2021.5,"all","all","all","HIV1,ART1","all","stock",NA,"all","all","all","all","all","stock",NA,"x/y",0,99,0.125,0.117,0.134,0.0085,"HIV_prev_0_99","ratio"
"LSO",2021.5,"all","all","all","ART1","all","stock",NA,"all","all","all","HIV1,ART1","all","stock",NA,"x/y",0,99,0.81,0.77,0.87,0.05,"HIV_artcov_0_99","ratio"
"LSO",2023.5,"all","all","all","HIV1,ART1","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,362,199,574,187.5,"TB_newhivinf_0_99","inci"
"LSO",2023.5,"all","all","all","HIV1,ART1","TBdead","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,161,102,234,66,"TB_morthiv_0_99","inci"
