A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.0146	2.0297	1.22875	0.79829	0.99129	1.14141	1.05444	0.84242	0.57903	0.39764	0.40079	0.35548	0.27045	0.21295	0.15766	0.13787
2.32537	7.23075	2.21935	0.91239	0.56881	1.01524	1.09819	0.98652	0.84503	0.52006	0.43842	0.36701	0.30664	0.22337	0.16174	0.13799
1.07111	3.03103	8.27054	1.54514	0.7281	0.63461	0.71184	0.81828	0.79553	0.53526	0.38963	0.27378	0.22353	0.20597	0.16449	0.14089
0.71733	1.18389	3.26897	7.80489	1.73033	0.82025	0.53484	0.69193	0.67791	0.58438	0.42222	0.27084	0.22026	0.18401	0.14895	0.13374
0.97577	0.81298	0.85712	3.24506	4.09127	1.84813	1.00823	0.76077	0.68243	0.67907	0.5219	0.3684	0.26105	0.18607	0.1831	0.14672
1.69654	0.9127	0.60582	1.36387	2.59677	2.86268	1.69357	1.20585	0.97786	0.8089	0.77224	0.49358	0.36467	0.24162	0.18371	0.14588
1.62645	1.64969	1.28751	0.77663	1.42318	1.90661	1.97228	1.52211	1.15211	0.88074	0.70639	0.55983	0.39503	0.25201	0.1668	0.15256
1.61624	1.96098	1.50238	1.14734	1.04987	1.52449	1.64632	1.90917	1.60283	1.06564	0.83957	0.53016	0.39708	0.27976	0.2097	0.16605
1.23255	1.56126	1.68477	1.29016	1.24103	1.32615	1.55175	1.56511	1.71554	1.2719	0.95502	0.47831	0.41225	0.28795	0.21194	0.20283
0.73299	0.99646	1.151	1.47929	1.20431	1.17854	1.24402	1.3514	1.33004	1.28912	0.96883	0.59404	0.36444	0.2664	0.21704	0.17908
0.90293	0.88587	1.15073	1.32809	1.45053	1.54759	1.25371	1.12386	1.37458	1.35949	1.10233	0.79375	0.42698	0.23983	0.2161	0.19292
1.23587	1.14869	0.95597	0.98582	1.11701	1.43674	1.37495	1.01874	1.03578	0.86385	0.94138	0.73261	0.50502	0.28568	0.18393	0.16824
1.28292	1.14114	0.84454	0.80743	0.87461	1.05453	1.03128	1.01089	0.83611	0.65721	0.61413	0.60198	0.42235	0.32303	0.21076	0.17282
0.93338	1.1373	0.86325	0.59305	0.71521	0.80482	0.92821	0.80126	0.75396	0.46329	0.48027	0.43677	0.38731	0.2993	0.22097	0.16072
0.50062	1.00912	0.84862	0.89356	0.4809	0.63228	0.5423	0.69916	0.71113	0.52221	0.42386	0.32168	0.42019	0.33454	0.25336	0.17319
0.6621	0.69863	0.87959	0.71951	0.41905	0.40396	0.53068	0.54846	0.5528	0.51222	0.48564	0.32364	0.24876	0.2833	0.21764	0.16351
