A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.77763	1.29622	0.74799	0.58429	0.86324	1.22105	1.38912	1.15723	0.66874	0.4918	0.50889	0.4734	0.34646	0.26615	0.18782	0.14703
1.60079	6.39501	1.48187	0.64287	0.48102	0.99842	1.33439	1.29834	0.99159	0.59586	0.48888	0.43421	0.37276	0.26918	0.18714	0.14704
0.5755	2.40067	9.21261	1.28547	0.6433	0.66109	0.87627	1.16938	1.09968	0.74121	0.5071	0.35096	0.26739	0.24293	0.19613	0.15396
0.40609	0.66837	3.02546	9.06335	1.59863	0.84967	0.64415	0.93344	0.90641	0.85899	0.54884	0.34677	0.25319	0.20364	0.16268	0.13904
0.57086	0.47966	0.54761	2.59848	4.03366	1.84682	1.09224	0.8188	0.72906	0.84702	0.61426	0.43142	0.27265	0.1976	0.19359	0.15375
1.02881	0.58272	0.41442	1.03731	2.33832	3.18282	1.91373	1.34208	1.01002	0.8982	0.89621	0.57489	0.39983	0.26113	0.19224	0.14909
1.00305	1.06442	0.83572	0.5895	1.22106	1.87394	2.44753	1.7433	1.16715	0.90842	0.77481	0.64935	0.45408	0.28227	0.18695	0.161
0.94229	1.22475	1.0245	0.90135	0.9023	1.46146	1.80923	2.41217	1.67251	1.10163	0.84412	0.57862	0.47876	0.34128	0.24593	0.17165
0.6769	0.90748	1.1573	1.07621	1.10313	1.24959	1.61534	1.75308	1.96062	1.3387	0.95842	0.48758	0.44705	0.33414	0.24407	0.20404
0.43088	0.54627	0.75306	1.21972	1.11046	1.11295	1.24808	1.39417	1.34872	1.48206	1.02539	0.59569	0.38114	0.283	0.24205	0.19148
0.48216	0.4835	0.69533	0.99352	1.29931	1.51371	1.25441	1.1388	1.30873	1.38845	1.23212	0.85128	0.46725	0.26592	0.23578	0.19889
0.64227	0.58788	0.56768	0.67809	0.94292	1.39243	1.45967	1.07405	0.98022	0.8279	0.99027	0.9394	0.61109	0.33922	0.21363	0.17517
0.68594	0.58926	0.46425	0.53747	0.71403	1.00573	1.13511	1.15337	0.82704	0.64183	0.60729	0.71452	0.67632	0.4476	0.28505	0.17941
0.47805	0.57069	0.46313	0.39466	0.5683	0.75692	1.02584	0.98343	0.81003	0.52022	0.51836	0.54541	0.54655	0.5284	0.30395	0.18174
0.28014	0.50035	0.49595	0.61549	0.42579	0.62215	0.63243	0.90165	0.86145	0.66428	0.49502	0.42067	0.62706	0.53633	0.48743	0.22531
0.37129	0.38759	0.50061	0.49534	0.36223	0.39616	0.60044	0.65469	0.61765	0.64866	0.59162	0.40339	0.32085	0.39472	0.342	0.21919
