A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.78175	2.39254	1.27784	0.71296	0.84588	1.0073	0.84237	0.72841	0.4576	0.32227	0.28845	0.26916	0.20518	0.1786	0.14506	0.13697
2.46921	6.76654	2.37531	0.82577	0.50372	0.93658	0.91434	0.87943	0.66923	0.45148	0.35254	0.31561	0.24499	0.19651	0.14818	0.13754
1.17631	3.5531	8.48377	1.42898	0.63389	0.59888	0.63034	0.75479	0.64332	0.47507	0.33099	0.25009	0.19827	0.18997	0.1503	0.14028
0.80242	1.42102	3.46569	7.54464	1.57556	0.75159	0.48803	0.64289	0.53294	0.48598	0.33145	0.23585	0.19211	0.16986	0.14109	0.13432
1.16812	1.00386	0.88852	3.18986	3.64753	1.64115	0.88916	0.66148	0.54376	0.52982	0.38543	0.29044	0.21686	0.1694	0.16718	0.14377
1.96294	1.14065	0.64982	1.27371	2.28702	2.42837	1.4333	1.04284	0.80504	0.66888	0.58505	0.38799	0.28945	0.2097	0.17049	0.14263
1.7557	1.89347	1.35067	0.74525	1.29116	1.66641	1.60903	1.28795	0.97225	0.75078	0.56894	0.45164	0.30955	0.2208	0.15362	0.14814
1.93512	2.54417	1.70513	1.09052	0.9816	1.42431	1.44308	1.57317	1.33875	0.92214	0.72781	0.463	0.32658	0.24165	0.18866	0.161
1.34679	1.826	1.6861	1.08231	1.09446	1.21773	1.39761	1.35213	1.37967	1.07159	0.82629	0.43003	0.35037	0.2479	0.1925	0.19302
0.81874	1.32763	1.29233	1.31957	1.00125	1.09175	1.1416	1.2286	1.12799	1.05799	0.80706	0.53839	0.32982	0.25531	0.20273	0.17522
0.87167	1.06646	1.20593	1.15427	1.16973	1.33712	1.09483	1.02552	1.20039	1.15153	0.90812	0.66612	0.37804	0.22764	0.20658	0.19197
1.42368	1.71349	1.17008	0.98227	0.96054	1.25078	1.19003	0.956	0.93101	0.81049	0.78114	0.58764	0.41918	0.27545	0.18137	0.17583
1.09193	1.27689	0.90018	0.72861	0.72498	0.85704	0.78828	0.85134	0.69233	0.58309	0.52769	0.48214	0.32624	0.27315	0.1914	0.17064
0.96734	1.5909	1.18621	0.61459	0.64703	0.723	0.76089	0.69977	0.63149	0.47692	0.47899	0.41988	0.32935	0.2374	0.19997	0.16322
0.3771	0.8816	0.71456	0.71954	0.4192	0.50626	0.41244	0.48771	0.47129	0.39261	0.353	0.28518	0.31231	0.26409	0.21265	0.16366
0.78324	0.9428	1.11109	0.77769	0.39843	0.37922	0.44952	0.48333	0.4037	0.4622	0.51458	0.37716	0.24246	0.28788	0.1956	0.16032
