A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.51649	1.49623	0.88922	0.60953	0.7448	1.00286	1.13179	0.96445	0.67569	0.49406	0.53604	0.50411	0.37076	0.27585	0.19129	0.15172
1.53178	6.29837	1.71821	0.67824	0.43031	0.84637	1.11045	1.08885	0.97739	0.59516	0.50704	0.46926	0.4041	0.2808	0.19124	0.15194
0.58869	2.67609	9.62447	1.32162	0.5664	0.5803	0.75638	1.00981	1.08391	0.74165	0.53285	0.36978	0.28529	0.25596	0.20229	0.15975
0.4193	0.80963	3.63556	10.01178	1.39431	0.74978	0.59351	0.86254	0.93384	0.88961	0.6035	0.38282	0.27641	0.21372	0.1665	0.14229
0.57578	0.55767	0.63893	2.69765	3.33563	1.52999	0.93484	0.72561	0.72172	0.82956	0.62982	0.45095	0.28131	0.20094	0.19439	0.15769
1.01633	0.6623	0.45679	1.05923	1.99705	2.56769	1.61676	1.17356	0.96964	0.86942	0.88804	0.57486	0.39865	0.25903	0.18928	0.15008
0.97815	1.23173	0.97998	0.61371	1.09521	1.61994	2.05102	1.55549	1.18115	0.91786	0.80401	0.67395	0.47191	0.28722	0.18878	0.16523
0.93329	1.42573	1.1967	0.9289	0.82397	1.29745	1.58652	2.07142	1.68163	1.11285	0.87117	0.60088	0.50291	0.34943	0.24837	0.1752
0.69186	1.07756	1.34461	1.09512	0.99358	1.12759	1.44867	1.58104	1.92134	1.35135	0.99282	0.50274	0.46952	0.34279	0.24702	0.20843
0.43916	0.6507	0.86668	1.23239	0.9665	0.99288	1.13005	1.2773	1.3514	1.44298	1.06476	0.61676	0.39809	0.2896	0.2452	0.19917
0.48805	0.58114	0.81595	1.0275	1.11578	1.28949	1.10968	1.03434	1.31276	1.38982	1.23075	0.89479	0.49385	0.27464	0.24064	0.20663
0.65656	0.7128	0.65292	0.71311	0.82026	1.15974	1.23368	0.94293	0.97923	0.83968	1.04425	0.94584	0.65077	0.35898	0.21867	0.18292
0.68619	0.71684	0.55347	0.57465	0.62855	0.84166	0.94829	0.99028	0.84837	0.66577	0.66868	0.77268	0.69052	0.47051	0.29611	0.18913
0.4881	0.6986	0.56567	0.41859	0.50355	0.63249	0.85476	0.83357	0.81828	0.53148	0.56495	0.59997	0.58804	0.52328	0.31273	0.19251
0.28477	0.60592	0.5933	0.65605	0.37744	0.52342	0.5345	0.75946	0.86606	0.67636	0.54464	0.46164	0.69122	0.56493	0.48479	0.2472
0.37624	0.45733	0.60229	0.52244	0.32566	0.34251	0.51105	0.56418	0.62216	0.65871	0.64454	0.4457	0.35051	0.42558	0.35456	0.2331
