A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.33036	1.92073	1.17488	0.75689	0.99282	1.27272	1.13564	0.83259	0.52161	0.3267	0.33294	0.3102	0.24723	0.19862	0.15854	0.13722
2.09107	6.53951	2.15148	0.88033	0.55191	1.10031	1.20265	1.00532	0.77842	0.44632	0.37003	0.32261	0.27509	0.20659	0.16142	0.13728
0.97609	3.20951	9.54266	1.57446	0.73875	0.72056	0.82302	0.91824	0.82984	0.52805	0.37966	0.27407	0.21519	0.19351	0.16475	0.14073
0.64272	1.13566	3.49686	8.57274	1.74081	0.91241	0.58742	0.73881	0.67334	0.55223	0.3833	0.26044	0.20609	0.17254	0.14763	0.13321
0.89302	0.74766	0.80844	3.12277	4.00728	1.89853	0.95311	0.61437	0.53826	0.52702	0.39048	0.29446	0.20814	0.16459	0.16149	0.14009
1.55118	0.8377	0.53462	1.20248	2.37093	2.79277	1.55512	0.94376	0.6839	0.56494	0.53976	0.36534	0.27475	0.19794	0.1606	0.13843
1.5011	1.55936	1.20961	0.68703	1.25124	1.82835	1.83818	1.26619	0.83883	0.59697	0.49554	0.41403	0.30836	0.2086	0.15872	0.14437
1.45456	1.87879	1.47349	0.9866	0.89077	1.36238	1.49507	1.5912	1.16556	0.71915	0.55434	0.385	0.32107	0.2375	0.18954	0.15118
1.07348	1.48004	1.648	1.21669	1.06907	1.13808	1.33677	1.26906	1.27192	0.85257	0.61681	0.33536	0.31198	0.23949	0.1886	0.1709
0.61616	0.9114	1.05545	1.35026	1.08738	1.01666	1.00069	1.02965	0.94395	0.87153	0.64205	0.39897	0.2731	0.21314	0.18832	0.16142
0.82227	0.83786	1.03328	1.21064	1.36051	1.45296	1.03268	0.82255	0.89801	0.84493	0.6725	0.51852	0.30734	0.19842	0.18431	0.16446
1.10536	1.03678	0.79406	0.88207	1.04448	1.46057	1.29757	0.83574	0.72788	0.56924	0.62174	0.51291	0.37842	0.23728	0.17009	0.15249
1.17233	1.06836	0.73701	0.75727	0.82717	1.10304	1.06661	0.94445	0.67026	0.46562	0.42754	0.44548	0.35497	0.27719	0.20248	0.1541
0.85085	1.07668	0.80802	0.55201	0.69522	0.85598	1.01131	0.83529	0.67953	0.37767	0.36635	0.35842	0.33044	0.27541	0.20794	0.15224
0.4623	0.96081	0.81757	0.86421	0.48224	0.71375	0.61672	0.75219	0.68996	0.46248	0.35703	0.28774	0.37722	0.30763	0.2657	0.17138
0.61094	0.67012	0.84968	0.69787	0.42035	0.44649	0.59729	0.58824	0.5343	0.45571	0.40941	0.28368	0.22848	0.2567	0.22162	0.16321
