uid,nhits,RankUID
8ffc7ce88b3c0cdb12777aceb31d2584,8,1
27d555bea50488e89685de96ef5afdcc,8,2
48fcd65f2e0eea5099112452d1eff0f7,8,3
066908364b7710f5820f7038568d1698,8,4
6e923c9e7038f24cbb6649fb928de0bc,8,5
901711faf4ea52afb1ba3f8a7a6e6cec,8,6
b52699ae1a6ab835c210e7a9b6492a58,8,7
06d814e83abb05fd0888f357982c1827,8,8
596f9764228c9e21e5aa7a64288b1877,8,9
e3c9f654b29a5b4ee5685160154a9fa4,8,10
56846011e8a0c18ccd48bfcbd79efb73,8,11
226fb7d45b9ab67b7788583d0ecab37f,8,12
324d3a05492a057a715d7c4762fb6e72,8,13
46e19a2c06f6869fd078e4c492b74bea,8,14
7c67ff5d18da351f233db19f8e23c94d,8,15
eb5b04d205e4c14269fed731f8e4708d,8,16
2962578168f29f30e041202e511f23dc,8,17
381c36cc7a68a11f8b39a61d7f44d156,8,18
6c4ed9ad0c0d760d2d1d5300e0ca90db,8,19
0a60d2d9e78ff542169ffcca881d2b23,8,20
cbd9b39437f65bc3f9af8f37ce6032be,8,21
7e0a1a53e2b2bbf86907fb0ff2e9cacf,8,22
568d6e65cdfc9ce38e02dbfda2b024e2,8,23
767a73c541f50494d83022c25f7a5f1f,8,24
4d7b27590a53aca92c644f192e94e86a,8,25
27318ed0ca8109326559690ec7e2e28f,8,26
1becb3e022c1c93eb31207a26d313c8e,8,27
cf62facd896ee243d9366fbc52920853,8,28
bb0d7e8aa2c1e76900ff09c3abb53edc,8,29
50971acf25b2c3dd14f01bf99757b104,8,30
0067f8a4589c6f4ecccf246471a0dd95,8,31
c823450f8a307dbd18e85e6840c89f6f,8,32
2e539d3204e95a6d0d58e16e23b9a296,8,33
e2d8a8eda085e7e7adaf5dc71afc8370,8,34
a512cda2fad3b091f541f45c0b95b0ad,8,35
d4f0875abd4321a80b31dc8e69da525b,8,36
e3bc73b33031ef585f189587d90682a1,8,37
426fecbe1c68918c07de5eecca248e75,8,38
987b33e10622b965fe383ee32b7337e6,8,39
b2afdd86c98de2e335744c19b4570d15,8,40
4f206ebf9e9fc77945a8e00e6843f55b,8,41
2ba1598107d33c4e3872baee646def75,8,42
5c44e386c14f9fd15787bc005ef7fc50,8,43
61fac0a874f0b52fe9c7828121b4dc70,8,44
a5927d5e9abb12cc94fb0fa7c20dafb8,8,45
a08864c87ebfedc9a331ec899c36011b,8,46
56d337de73f6db1a84260af8a1ac5f8e,8,47
f26cb60b10352a693bd54359b41085ef,8,48
7708dcbc3d33a427927ab91134325cc1,8,49
028976b8ebadcbf7ea2d66fbb0f312fd,8,50
1835d683c36031119f44b4692576147d,8,51
0854a9bf61b58daed15ceb045a9faacd,8,52
ea9d8be09ce4a73e8ace4d63b28d1128,8,53
7bb07df09448b8c37b314bd685b14070,8,54
e4e984cd9031577b2c8aabc9aa4d0649,8,55
884eff05cff6051b7941f63bcdc3e9da,8,56
dd83654ae23a764e3d0095be011ffc20,8,57
0e59b546f967023ea27d92b37d99a439,8,58
8c1b202ae85896d36c32b89a343ca215,8,59
410cb0e9d08d29a0736d77dcb02835f4,8,60
35eaa07f69658ff8d856d5443a23d65d,8,61
1856209338519b3da0d8adaf6bdb5f68,8,62
b96b84f87612cafc6a71e90f5f59bbaa,8,63
c8c1ec3058f3daf00fff6751631a3611,8,64
34390ea65ee93aafcee52eb0e19cd5c9,8,65
2336681bf6e8e22d24f7228a4babcc43,8,66
01b59fb0cda62ca7693604945b68937e,8,67
2fd593ec2fff160c9809204a826bec12,8,68
cd61c7c474c2499c569d57d56f103d4f,8,69
67224091e47a81ab90ef51950ee06915,8,70
9ac0ec5b1c2dbd4693b4a13fdcc07786,8,71
7a61670f428938876275a9a0d61010e8,8,72
847223aa57c13a5dd1b3e10e614bef43,8,73
6e2cea7be97d5b1cc2c9ea70215f0f0d,8,74
a983fea1b1ddd086b5cd7d1b38015dfb,8,75
b8704d1c4df5e558b382dbbadffcfd9c,8,76
2189f54037f515330f33a02c7f312dc9,8,77
9a47d4cfe9e0c68dbd05898db953cc0c,8,78
