uid,nhits,RankUID
a192edfad0f6d497a15d8c99b10504f5,8,1
7963b8c3f4ccef646dcd97401caa6d0b,8,2
71d1c8867442a055c1a0e559b1a1313c,8,3
c08025b761699c6e8f2424497af3b543,8,4
a2b7a8602a1b854f31f7ee7e65237f23,8,5
e6be115c1a7da4a7fe0a9ff12cacb30a,8,6
db08fc410e9130e1d412cbce86e3123b,8,7
5dd9a71080ea57a1b474959d15eaea8e,8,8
993ca720ac60bb0da575964491b56d3d,8,9
57ac17e2929ee380621ce09bd7120139,8,10
c1bd4155beb7cf440760c858c8cd808d,8,11
fff55aed0c18c53e5d3b96e81132af4b,8,12
1c957d6435e983b93469deb9e7a9abfb,8,13
ea4c61061a835c3dbbc3c2965106f0e3,8,14
b39d80f8e175fd227a19f955ab4de9a6,8,15
f79ec6c78ad5aef5f52f2e11602e0eb2,8,16
95aa98fce3e534606cc0f8700698483f,8,17
bf3b5a01d76b8b3f49d5bcfe3fb69203,8,18
cd8bb1070b4e4bcc587661ff0e15f014,8,19
b062c85c8a4709af763dab7452b3c4e4,8,20
8a0b3272c3d6cc744c95468da36c356b,8,21
a5e04d422772c08929ea061841ff24d5,8,22
9c64b29cec5d024d49a05c93cd77f89e,8,23
f65e48bcb7705170971ae3decb910b36,8,24
59e927bff3370bb98bb097bf7170ea22,8,25
704d11403bfebff022ec87ae144abf84,8,26
317d326bc4bdf6eae042fc44ce3108cf,8,27
4f022f6dbed4d5cd901f9d3354436c8e,8,28
2c3dbe6fcd9869992ebce289a98d1b42,8,29
d0be37ea3627549b32c2295e33236971,8,30
35029f236a3807d07bf1b6f487eccaea,8,31
a2bc8eec0a35c4ab6b721fdd0e88c990,8,32
f865b53fb2e6542150f960fc2d6f338b,8,33
7bff5810d668b3174b0abf2293b0fa67,8,34
2ec619c367df8a78631a43c48cd8aa2a,8,35
7ee47672c75a379085585a3844b5466c,8,36
05619bc4ec83a664f8b42d0b8582456b,8,37
49180555438e99ffa51b90668ebf745b,8,38
831d3f8a545e9bf8c5c6b405a0f72625,8,39
82f1d8a14551380c6f5e27eed0cddf13,8,40
e0345fc566a56e995768f8dfae2bd914,8,41
65db85c3e3b4250482c62600c8f0371b,8,42
49a96b4c8b5435b2cdc73c990be85779,8,43
83058122c9e3c61ff900a1f18a132836,8,44
57f14f3a694e6cb5efaa712208a177b0,8,45
a95b83232366432750c752a64cf9a8e0,8,46
0dde7ccee4710de8289c91026da91718,8,47
239ea393d5f2f35a44d58446f1443b5d,8,48
2345afbffaa7dae6c45ace381bd897b8,8,49
3dff51ce0cb5c0ab0016bea09d1cc8bf,8,50
bec4db01beb8453933eb67d9fd402c92,8,51
6c81fab81caedb3df02fec8592cfabc6,8,52
4120a285648359688fbeb5c4d48240f7,8,53
2a67f04e275c9cd188b3b7b2b843376b,8,54
7a33c2cdd4730bd84d7d6901a29b6509,8,55
f08a5df15841a2420d4ff68703ce18bd,8,56
edd05cad5b040ef3790fa89e87833d7d,8,57
15959e8da6a47e5f9043c52d0e2a700e,8,58
a3d96ee6c7070cabf28f903321f7b637,8,59
e5837ffba5fea4926e68d6d97a6b47c8,8,60
3a74edfda434808a8591037e45561f5b,8,61
de646b94201744b5101bc3b5860f23e7,8,62
4b51a5644cddd42bc66623ec9e8c7599,8,63
f977c96429d1b9dd7d437c56b4c916d2,8,64
4d5f8975e35363e9a9f96fdd7ef63652,8,65
f45e27e1fadf2c74246a812f0d1f742b,8,66
3bde1b01a514d212157bce7638366809,8,67
dd4d2af64672d366bcc730d8654f8011,8,68
695d834fd90739ead9fb86e840b68004,8,69
9e62653d6c6f1bfd9680f9832459efa7,8,70
e6866be786210e3b60c199a7c308da4f,8,71
9abb81ad46018ebc847dbccf349cf1eb,8,72
be920151830be5e0276563982e9485fd,8,73
f974e0d11e6a36a5418c326b484908e8,8,74
d8c81eeb183e9e6480867c0eb8d27b9b,8,75
a41a65f90d27eb1f60fe39f6bde69125,8,76
33ac27006ef897f3823f4ef754f744fa,8,77
e1036426ce63b9a38505374163d0b546,8,78
51a760df08f301fc5d3e130a2fb9d7d8,8,79
e5194780c0452180c29ab8d1d3f0349d,8,80
e3d75f31d09ff5fb344868e515aa748e,8,81
856ff835615227d56d83eb79f78c17fb,8,82
bf0bb72f7e7940a47528dff1f514aaac,8,83
