uid,nhits,RankUID
d26abfee5853e52988db1d7ef60beb94,8,1
6e2dd966f7f843c22ee9a2016f44cd6c,8,2
ee0c712e9ad538acee48fcf394ad77cc,8,3
b470597a38a758ff4f0f3dc90141055d,8,4
508ce4dadad9c1f4fb296e97c5c3235e,8,5
0d407169a94f31044ef467bd006a3317,8,6
b79323f8f7fae9e4713dc1585aea7521,8,7
20229a05e2d5b48f0ad6a1ca1c61b23e,8,8
ae05b70a2a1f83ee14f64173a3dad682,8,9
005e59f9459bade9861a5f7ac8c2e9b7,8,10
29ff313ba70ea39108732005aac13839,8,11
62779ae060141b73ee8d9f572cf0f558,8,12
dde557601c020bc1bcfe105e43bbbb81,8,13
d30cf95ac77f041f0a563e566f3d5057,8,14
182eaf4ac6fe42271be55443248d0e7e,8,15
8d5bc0de26d103ce8a90d7bf1ff310ac,8,16
987bd53a041599e17e10327ab5010498,8,17
4fafe1405275ac9170e509c49ef6bc36,8,18
c8261cb10837859c3abdaaf599983c2e,8,19
6d4ffb11e70abf6060f4a6b3a342ed91,8,20
fbb522d5491a84871820fd28f1ca3c93,8,21
df2e39e3bed87d1fd24c0c0bc1b775ef,8,22
06272a1c2ef5c3905e852c36512ad396,8,23
151e083a743d855d1acd0acdbe95ddc6,8,24
1b1126c096c177432aa597c71c87d37a,8,25
fa6fbcda1320dd31cecbec425db8aaf9,8,26
519010289731393c0b0cc317de19ca24,8,27
ac7bd4a9ac4c2b323eabc97ffe161309,8,28
136504b5fed5d9be92c758c8b62d3871,8,29
20ca67bc5c886fdc1f7f5eb09643b31a,8,30
6b86d1198308c00345a33caa2b29b46a,8,31
953fdbdec827d5c93fa4fdce919fc66d,8,32
37e441376a3a43f7e1c1befc3b1d543e,8,33
54711ec5406d51717c785d4de541dbec,8,34
639608a3e86b36dd5ff28f3d4d0d40b5,8,35
7642e1d21d4d9dbba6f9b2075e5e037f,8,36
37f68474f827d83630ff216a2054e40e,8,37
3daa8bf2ff25aad9498be44815eb4039,8,38
f24466031da1482aa7052c3fd6d8f663,8,39
fa3d775aa9069a705331f99dcf3290cc,8,40
eefaed401d079e356dfbe5b050e22cca,8,41
32400671622408c423cf7776b58b6585,8,42
63a22d1da91af5b3c19d3c9558182813,8,43
d13508ba76ec1e40d3aef0af80f660d8,8,44
3cd7581c0b3f040df45319d8d8de57d4,8,45
83861229eb7dc22f2ed54b627f2f7f0a,8,46
5e4253526f0bb06979f77719a6cdec0a,8,47
ed7fc7e8021301cb57a691143ebb4c4c,8,48
58aa8a8d6482b51b23d4b1bcf4054b13,8,49
4ae8a916ac477fb0dd5679d8b1d50a60,8,50
5786bc4d39cf8e1e2d5bb6ce43aa1c12,8,51
e6b15c46a54a35f3becfc355e469a9f9,8,52
6497a190a8d0d0af0080409f66e58920,8,53
