"code","cc_poorest","cc_poorer","cc_middle","cc_richer","cc_richest"
"AFG",0.9277,0.9129,0.8727,0.858,0.7895
"AFG",0.932,0.9157,0.8807,0.869,0.8033
"AFG",0.9311,0.9154,0.8763,0.8595,0.7961
"AFG",0.9285,0.9073,0.8709,0.8688,0.806
"AFG",0.9254,0.9101,0.8647,0.8637,0.8013
"AFG",0.9283,0.9164,0.8788,0.8705,0.8076
"AFG",0.9259,0.907,0.8641,0.8615,0.7966
"AFG",0.9303,0.915,0.8763,0.8689,0.8063
"AFG",0.9326,0.9086,0.8716,0.8716,0.802
"AFG",0.9286,0.9076,0.8745,0.8667,0.8005
"AFG",0.9368,0.9124,0.8767,0.8645,0.807
"AFG",0.9297,0.9061,0.8655,0.8691,0.7944
"AFG",0.933,0.9154,0.8811,0.8674,0.801
"AFG",0.9313,0.9118,0.8807,0.8632,0.813
"AFG",0.9329,0.9135,0.879,0.8728,0.8006
"AFG",0.9307,0.9098,0.8701,0.8632,0.8062
"AFG",0.9276,0.9087,0.8697,0.8681,0.8049
"AFG",0.9273,0.9085,0.8653,0.8621,0.8034
"AFG",0.9248,0.9042,0.8725,0.8616,0.8007
"AFG",0.9229,0.9121,0.8777,0.8811,0.797
"AFG",0.9329,0.9067,0.8678,0.8616,0.7964
"AFG",0.9289,0.9075,0.8692,0.8648,0.7975
"AFG",0.925,0.908,0.8704,0.868,0.7982
"AFG",0.93,0.9117,0.8771,0.8685,0.7967
"AFG",0.9303,0.9022,0.8738,0.8715,0.7991
"AFG",0.9297,0.9048,0.8666,0.8629,0.7946
"AFG",0.9267,0.9087,0.8728,0.8681,0.801
"AFG",0.9314,0.9062,0.8676,0.862,0.7995
"AFG",0.9228,0.9048,0.8723,0.8781,0.8075
"AFG",0.9197,0.9043,0.8676,0.8586,0.7926
"AFG",0.9291,0.9086,0.8762,0.8704,0.8029
"AFG",0.9266,0.9127,0.8775,0.8633,0.8001
"AFG",0.9279,0.9061,0.8721,0.859,0.7945
"AFG",0.9232,0.9068,0.8671,0.8565,0.7926
"AFG",0.9334,0.9085,0.8726,0.8631,0.8077
"AFG",0.9308,0.9105,0.8689,0.8544,0.7988
"AFG",0.9292,0.9147,0.8753,0.8672,0.8028
"AFG",0.9306,0.9116,0.88,0.8675,0.7937
"AFG",0.9285,0.9091,0.872,0.8717,0.793
"AFG",0.9314,0.9154,0.8846,0.8749,0.8039
"AFG",0.9301,0.909,0.8712,0.8668,0.8056
"AFG",0.9288,0.9098,0.869,0.8661,0.7997
"AFG",0.931,0.9073,0.8765,0.8626,0.7907
"AFG",0.9312,0.907,0.8704,0.8557,0.7879
"AFG",0.9307,0.9162,0.8755,0.8695,0.7924
"AFG",0.9273,0.9054,0.8735,0.8722,0.7958
"AFG",0.9332,0.9134,0.8786,0.8689,0.8015
"AFG",0.9335,0.9144,0.8746,0.8684,0.8008
"AFG",0.9294,0.9108,0.875,0.8686,0.7873
"AFG",0.9324,0.9119,0.8776,0.8781,0.8039
"AFG",0.9336,0.9018,0.873,0.8695,0.7933
"AFG",0.9304,0.9106,0.8725,0.873,0.8022
"AFG",0.9283,0.9121,0.8732,0.8706,0.8005
"AFG",0.9282,0.905,0.872,0.873,0.7842
"AFG",0.9304,0.9138,0.8805,0.8673,0.8022
"AFG",0.9313,0.9112,0.8751,0.8687,0.7995
"AFG",0.9333,0.9012,0.8739,0.868,0.7881
"AFG",0.9336,0.9025,0.8662,0.8714,0.7849
"AFG",0.9363,0.9192,0.8778,0.8645,0.8045
"AFG",0.9332,0.9116,0.8719,0.8734,0.8044
"AFG",0.9292,0.9052,0.8553,0.8558,0.786
"AFG",0.9312,0.9039,0.8696,0.886,0.81
"AFG",0.9292,0.9095,0.8704,0.8614,0.8028
"AFG",0.9245,0.9026,0.8711,0.8689,0.7984
"AFG",0.9294,0.9103,0.872,0.8655,0.7952
"AFG",0.9283,0.9025,0.8682,0.8689,0.7994
"AFG",0.9316,0.9101,0.8704,0.8564,0.7998
"AFG",0.9314,0.9035,0.8728,0.8606,0.8053
"AFG",0.9259,0.9052,0.8628,0.8585,0.787
"AFG",0.9285,0.9093,0.8643,0.8621,0.8033
"AFG",0.9292,0.9119,0.875,0.8529,0.7971
