"code","cc_poorest","cc_poorer","cc_middle","cc_richer","cc_richest"
"AFG",0.9812,0.9813,0.9643,0.9603,0.9209
"AFG",0.9814,0.9774,0.9664,0.9707,0.922
"AFG",0.9785,0.9773,0.9664,0.9627,0.9173
"AFG",0.978,0.9802,0.9669,0.9643,0.9208
"AFG",0.9826,0.9826,0.9695,0.9656,0.9172
"AFG",0.9807,0.9801,0.9687,0.9618,0.9213
"AFG",0.9788,0.9836,0.9688,0.9675,0.9215
"AFG",0.977,0.9801,0.9658,0.9605,0.9111
"AFG",0.9826,0.98,0.9637,0.969,0.9244
"AFG",0.981,0.9783,0.967,0.9665,0.9217
"AFG",0.9773,0.9759,0.9631,0.9631,0.9204
"AFG",0.9808,0.9801,0.9697,0.9657,0.9109
"AFG",0.978,0.9812,0.9646,0.9606,0.9139
"AFG",0.9779,0.9783,0.9697,0.9605,0.9131
"AFG",0.9808,0.9779,0.9643,0.9644,0.9102
"AFG",0.9806,0.9835,0.967,0.9716,0.9211
"AFG",0.9808,0.9786,0.9679,0.9641,0.9122
"AFG",0.9801,0.9791,0.9668,0.9681,0.9205
"AFG",0.977,0.9786,0.9613,0.9616,0.9075
"AFG",0.9776,0.9818,0.9675,0.9668,0.921
"AFG",0.9804,0.98,0.9655,0.9601,0.915
"AFG",0.9789,0.9775,0.9634,0.9607,0.92
"AFG",0.9785,0.9796,0.9697,0.9658,0.9114
"AFG",0.9783,0.9794,0.9677,0.9623,0.9186
"AFG",0.9801,0.98,0.9671,0.9639,0.9139
"AFG",0.9786,0.9797,0.9664,0.9692,0.9149
"AFG",0.9834,0.9795,0.9645,0.9638,0.9179
"AFG",0.9807,0.9797,0.9673,0.9654,0.915
"AFG",0.9787,0.9807,0.9703,0.967,0.9155
"AFG",0.9793,0.9762,0.9666,0.9668,0.9188
"AFG",0.9799,0.9765,0.9672,0.9617,0.9127
"AFG",0.9799,0.9772,0.9675,0.9627,0.9181
"AFG",0.9806,0.976,0.9666,0.9625,0.9158
"AFG",0.9791,0.9807,0.9673,0.9644,0.9148
"AFG",0.9787,0.9803,0.968,0.9636,0.9166
"AFG",0.9821,0.9766,0.9678,0.9599,0.921
"AFG",0.9761,0.9777,0.9642,0.9638,0.9162
"AFG",0.9768,0.9779,0.9671,0.9682,0.9152
"AFG",0.9797,0.9784,0.9653,0.9664,0.9171
"AFG",0.9785,0.9807,0.9666,0.9659,0.9193
"AFG",0.9791,0.9809,0.9689,0.966,0.9118
"AFG",0.9776,0.9763,0.9657,0.9646,0.9191
"AFG",0.9778,0.9799,0.9681,0.962,0.9229
"AFG",0.981,0.9744,0.9666,0.9647,0.9105
"AFG",0.981,0.9792,0.9662,0.9632,0.9187
"AFG",0.9817,0.9785,0.9697,0.9655,0.9137
"AFG",0.9801,0.9758,0.9618,0.9623,0.9102
"AFG",0.9789,0.9782,0.9673,0.9684,0.9148
"AFG",0.9794,0.9775,0.9638,0.9673,0.9222
"AFG",0.9829,0.9794,0.9708,0.9632,0.9115
"AFG",0.9778,0.9815,0.9667,0.9673,0.9206
"AFG",0.9799,0.9782,0.9662,0.9675,0.9185
"AFG",0.9817,0.9776,0.9692,0.9649,0.9273
"AFG",0.9806,0.9793,0.9694,0.9702,0.9159
"AFG",0.9806,0.9818,0.9695,0.9629,0.9169
"AFG",0.9808,0.9814,0.9663,0.9609,0.9225
"AFG",0.9814,0.9774,0.968,0.9657,0.9187
"AFG",0.9795,0.9802,0.9675,0.9667,0.9116
"AFG",0.9765,0.9791,0.9641,0.9647,0.9178
"AFG",0.9815,0.984,0.9677,0.9625,0.9241
"AFG",0.9811,0.9765,0.9651,0.9636,0.9144
"AFG",0.9795,0.978,0.9654,0.9624,0.9143
"AFG",0.9811,0.9824,0.9688,0.9672,0.9181
"AFG",0.9792,0.9744,0.9648,0.9666,0.9072
"AFG",0.9792,0.9815,0.9692,0.9675,0.9174
"AFG",0.9757,0.9775,0.9619,0.9605,0.9116
"AFG",0.9783,0.9809,0.9694,0.9657,0.91
"AFG",0.9784,0.982,0.9663,0.9674,0.9188
"AFG",0.9813,0.9817,0.9668,0.966,0.9207
"AFG",0.9807,0.9774,0.9664,0.9645,0.9186
"AFG",0.9794,0.9798,0.9646,0.9635,0.913
"AFG",0.9809,0.9792,0.9711,0.967,0.919
"AFG",0.9795,0.979,0.9708,0.9633,0.9271
"AFG",0.9808,0.9778,0.968,0.9635,0.9203
"AFG",0.9795,0.9754,0.9671,0.9662,0.9107
"AFG",0.9781,0.9825,0.9664,0.9662,0.923
"AFG",0.9795,0.9786,0.9646,0.9629,0.9186
"AFG",0.9789,0.9793,0.9679,0.967,0.9189
"AFG",0.9769,0.9787,0.9646,0.9608,0.9112
"AFG",0.98,0.979,0.9652,0.9704,0.9142
"AFG",0.9786,0.9808,0.966,0.9623,0.9121
"AFG",0.9803,0.9802,0.9707,0.9692,0.9211
"AFG",0.9813,0.9794,0.9687,0.9661,0.9145
"AFG",0.981,0.9777,0.9653,0.963,0.9111
"AFG",0.9804,0.9776,0.9658,0.9611,0.915
"AFG",0.98,0.9796,0.964,0.9668,0.9202
"AFG",0.9803,0.9797,0.9681,0.9665,0.918
"AFG",0.9801,0.9772,0.969,0.9674,0.9159
"AFG",0.979,0.9791,0.9645,0.9651,0.9173
"AFG",0.9821,0.9813,0.9676,0.9736,0.9225
"AFG",0.9762,0.9761,0.9677,0.9635,0.9055
"AFG",0.9786,0.9759,0.9648,0.9676,0.9169
"AFG",0.9794,0.9786,0.9651,0.965,0.9103
"AFG",0.9802,0.9787,0.9699,0.9675,0.9182
"AFG",0.9812,0.9826,0.9703,0.9635,0.9218
"AFG",0.9793,0.9787,0.964,0.9662,0.9134
"AFG",0.9789,0.9768,0.9621,0.9683,0.9152
"AFG",0.9824,0.982,0.9653,0.9668,0.9201
"AFG",0.9796,0.9796,0.9633,0.9652,0.9146
"AFG",0.9784,0.9779,0.9652,0.9605,0.9207
"AFG",0.9783,0.9785,0.9654,0.9644,0.9145
"AFG",0.9789,0.9791,0.9644,0.96,0.9187
"AFG",0.9784,0.9735,0.9617,0.9572,0.9137
"AFG",0.9819,0.9786,0.966,0.9624,0.9172
"AFG",0.9793,0.9785,0.9678,0.9693,0.9229
"AFG",0.9781,0.9779,0.962,0.9659,0.9211
"AFG",0.9785,0.977,0.9679,0.9631,0.9181
"AFG",0.9798,0.9805,0.9677,0.9636,0.9279
"AFG",0.9812,0.9817,0.9667,0.9632,0.9184
"AFG",0.9776,0.9802,0.965,0.9616,0.9111
"AFG",0.9786,0.9794,0.9634,0.962,0.9118
"AFG",0.9804,0.9783,0.9674,0.9684,0.9163
"AFG",0.981,0.9801,0.9653,0.9645,0.9197
"AFG",0.9795,0.9794,0.9679,0.9655,0.9125
"AFG",0.9809,0.9813,0.9658,0.9643,0.9217
"AFG",0.9794,0.9812,0.9723,0.9653,0.9155
"AFG",0.9794,0.9779,0.9649,0.96,0.9124
"AFG",0.9817,0.9765,0.9696,0.9668,0.9142
"AFG",0.9785,0.9773,0.9629,0.9611,0.9149
"AFG",0.9807,0.9788,0.9659,0.9653,0.9173
"AFG",0.9805,0.9807,0.9677,0.964,0.9225
"AFG",0.978,0.9806,0.9679,0.9675,0.9149
"AFG",0.982,0.9802,0.9693,0.9655,0.9172
"AFG",0.9801,0.9813,0.9711,0.9651,0.9219
"AFG",0.9785,0.9793,0.9677,0.965,0.9203
"AFG",0.9794,0.9837,0.9686,0.9672,0.9195
"AFG",0.9802,0.9786,0.9687,0.9659,0.9172
"AFG",0.9802,0.9796,0.971,0.9646,0.9177
"AFG",0.9813,0.9795,0.9631,0.9568,0.9145
"AFG",0.9808,0.9815,0.9701,0.9657,0.9172
"AFG",0.9805,0.9824,0.9687,0.9627,0.9164
"AFG",0.9825,0.9781,0.9651,0.9654,0.9131
"AFG",0.9789,0.9786,0.9662,0.9641,0.9107
"AFG",0.9808,0.977,0.9693,0.9633,0.9161
"AFG",0.9771,0.9819,0.9665,0.9608,0.9163
"AFG",0.9811,0.9811,0.9664,0.9627,0.9154
"AFG",0.9769,0.9765,0.9658,0.9626,0.9132
"AFG",0.9804,0.9798,0.964,0.9633,0.9179
"AFG",0.9761,0.9772,0.9615,0.9645,0.9131
"AFG",0.9785,0.9785,0.9636,0.9622,0.9153
"AFG",0.981,0.978,0.9649,0.9639,0.9154
"AFG",0.9793,0.9798,0.9644,0.9635,0.9182
"AFG",0.9793,0.9784,0.969,0.9641,0.9128
"AFG",0.9791,0.9776,0.9683,0.9648,0.9178
"AFG",0.9776,0.9778,0.9671,0.9665,0.9217
"AFG",0.9782,0.9805,0.9677,0.9628,0.9219
"AFG",0.983,0.978,0.965,0.965,0.9208
"AFG",0.9804,0.9777,0.9663,0.9635,0.9185
"AFG",0.9773,0.9792,0.9655,0.9642,0.9164
"AFG",0.9795,0.9795,0.9668,0.9661,0.9136
"AFG",0.9797,0.9774,0.9624,0.964,0.9209
"AFG",0.9787,0.9792,0.9692,0.9695,0.9126
"AFG",0.9809,0.9783,0.9647,0.9634,0.9121
"AFG",0.9767,0.9786,0.9633,0.9599,0.9205
"AFG",0.9774,0.9794,0.9693,0.9637,0.9148
"AFG",0.9777,0.9797,0.9646,0.9628,0.9148
"AFG",0.9776,0.9792,0.9661,0.9658,0.9209
"AFG",0.9779,0.977,0.9647,0.9641,0.9095
"AFG",0.9808,0.98,0.9656,0.9652,0.9201
"AFG",0.9791,0.9803,0.9698,0.971,0.9237
"AFG",0.9764,0.98,0.9669,0.9642,0.9226
"AFG",0.9779,0.9789,0.968,0.9686,0.9125
"AFG",0.9789,0.9793,0.9704,0.9641,0.917
