country,code,region,income,GDPpc
Afghanistan,AFG,EMR,LIC,415.71
Angola,AGO,AFR,LMIC,2308.16
Argentina,ARG,AMR,UMIC,14187.48
Azerbaijan,AZE,EUR,UMIC,7125.91
Burundi,BDI,AFR,LIC,193.01
Benin,BEN,AFR,LMIC,1394.37
Burkina Faso,BFA,AFR,LIC,882.69
Bangladesh,BGD,SEAR,LMIC,2551.02
Bolivia,BOL,AMR,LMIC,3686.28
Brazil,BRA,AMR,UMIC,10294.87
Bhutan,BTN,SEAR,LMIC,3711.33
China,CHN,WPR,UMIC,12614.06
DRC,COD,AFR,LIC,627.50
Congo,COG,AFR,LMIC,2477.98
Colombia,COL,AMR,UMIC,6947.36
Cabo Verde,CPV,AFR,LMIC,4850.98
Dominican Republic,DOM,AMR,UMIC,10717.63
Ecuador,ECU,AMR,UMIC,6609.80
Egypt,EGY,EMR,LMIC,3457.46
Eritrea,ERI,AFR,LIC,688.68
Ethiopia,ETH,AFR,LIC,1272.02
Fiji,FJI,WPR,UMIC,5888.74
Gabon,GAB,AFR,UMIC,7802.84
Ghana,GHA,AFR,LMIC,2260.29
Guinea,GIN,AFR,LMIC,1541.04
Gambia,GMB,AFR,LIC,888.16
Equatorial Guinea,GNQ,AFR,UMIC,6677.79
Guatemala,GTM,AMR,UMIC,5762.82
Indonesia,IDN,SEAR,UMIC,4876.31
India,IND,SEAR,LMIC,2480.79
Iran,IRN,EMR,UMIC,4465.64
Iraq,IRQ,EMR,UMIC,5565.13
Jordan,JOR,EMR,LMIC,4455.51
Kazakhstan,KAZ,EUR,UMIC,12918.87
Kyrgyz Republic,KGZ,EUR,LMIC,1970.16
Cambodia,KHM,WPR,LMIC,2429.75
Lao PDR,LAO,WPR,LMIC,2066.95
Liberia,LBR,AFR,LIC,771.89
Libya,LBY,EMR,UMIC,6172.81
Sri Lanka,LKA,SEAR,LMIC,3827.96
Lesotho,LSO,AFR,LMIC,916.28
Morocco,MAR,EMR,LMIC,3771.45
Moldova,MDA,EUR,UMIC,6729.41
Madagascar,MDG,AFR,LIC,506.16
Mexico,MEX,AMR,UMIC,13790.02
Myanmar,MMR,SEAR,LMIC,1233.20
Mongolia,MNG,WPR,UMIC,5838.63
Mozambique,MOZ,AFR,LIC,622.99
Mauritania,MRT,AFR,LMIC,2120.82
Malawi,MWI,AFR,LIC,602.34
Malaysia,MYS,WPR,UMIC,11379.09
Namibia,NAM,AFR,UMIC,4168.29
Niger,NER,AFR,LIC,642.94
Nigeria,NGA,AFR,LMIC,1596.64
Nepal,NPL,SEAR,LMIC,1377.63
Pakistan,PAK,EMR,LMIC,1365.28
Peru,PER,AMR,UMIC,7906.59
Philippines,PHL,WPR,LMIC,3804.87
Papua New Guinea,PNG,WPR,LMIC,2957.68
Paraguay,PRY,AMR,UMIC,6276.35
Sudan,SDN,EMR,LIC,2183.44
Senegal,SEN,AFR,LMIC,1706.44
El Salvador,SLV,AMR,UMIC,5391.07
Suriname,SUR,AMR,UMIC,5494.07
Eswatini,SWZ,AFR,LMIC,3610.61
Syrian Arab Republic,SYR,EMR,LIC,1051.67
Chad,TCD,AFR,LIC,680.64
Thailand,THA,SEAR,UMIC,7182.03
Tajikistan,TJK,EUR,LMIC,1160.81
Timor-Leste,TLS,SEAR,LMIC,1502.52
Tunisia,TUN,EMR,LMIC,3977.70
Ukraine,UKR,EUR,UMIC,5069.70
Venezuela,VEN,AMR,UMIC,15943.61
Vietnam,VNM,WPR,LMIC,4282.09
Vanuatu,VUT,WPR,LMIC,3515.24
Yemen,YEM,EMR,LIC,477.41
South Africa,ZAF,AFR,UMIC,6022.54
Zambia,ZMB,AFR,LMIC,1330.73
Zimbabwe,ZWE,AFR,LMIC,2156.03
