"country","code","region","income","pop","gdp_pc_ppp","poorest_share","poorer_share","middle_share","richer_share","richest_share","cases_richest","cases_richer","cases_middle","cases_poorer","cases_poorest","notif_richest","notif_richer","notif_middle","notif_poorer","notif_poorest","untreated_richest","untreated_richer","untreated_middle","untreated_poorer","untreated_poorest","oop_treated_richest_und","oop_treated_richer_und","oop_treated_middle_und","oop_treated_poorer_und","oop_treated_poorest_und","nm_treated_richest_und","nm_treated_richer_und","nm_treated_middle_und","nm_treated_poorer_und","nm_treated_poorest_und","ind_treated_richest_und","ind_treated_richer_und","ind_treated_middle_und","ind_treated_poorer_und","ind_treated_poorest_und","total_treated_richest_und","total_treated_richer_und","total_treated_middle_und","total_treated_poorer_und","total_treated_poorest_und","oop_untreated_richest_und","oop_untreated_richer_und","oop_untreated_middle_und","oop_untreated_poorer_und","oop_untreated_poorest_und","nm_untreated_richest_und","nm_untreated_richer_und","nm_untreated_middle_und","nm_untreated_poorer_und","nm_untreated_poorest_und","ind_untreated_richest_und","ind_untreated_richer_und","ind_untreated_middle_und","ind_untreated_poorer_und","ind_untreated_poorest_und","total_untreated_richest_und","total_untreated_richer_und","total_untreated_middle_und","total_untreated_poorer_und","total_untreated_poorest_und","oop_richest_und","oop_richer_und","oop_middle_und","oop_poorer_und","oop_poorest_und","nm_richest_und","nm_richer_und","nm_middle_und","nm_poorer_und","nm_poorest_und","ind_richest_und","ind_richer_und","ind_middle_und","ind_poorer_und","ind_poorest_und","total_richest_und","total_richer_und","total_middle_und","total_poorer_und","total_poorest_und","oop_treated_richest_d","oop_treated_richer_d","oop_treated_middle_d","oop_treated_poorer_d","oop_treated_poorest_d","nm_treated_richest_d","nm_treated_richer_d","nm_treated_middle_d","nm_treated_poorer_d","nm_treated_poorest_d","ind_treated_richest_d","ind_treated_richer_d","ind_treated_middle_d","ind_treated_poorer_d","ind_treated_poorest_d","total_treated_richest_d","total_treated_richer_d","total_treated_middle_d","total_treated_poorer_d","total_treated_poorest_d","oop_untreated_richest_d","oop_untreated_richer_d","oop_untreated_middle_d","oop_untreated_poorer_d","oop_untreated_poorest_d","nm_untreated_richest_d","nm_untreated_richer_d","nm_untreated_middle_d","nm_untreated_poorer_d","nm_untreated_poorest_d","ind_untreated_richest_d","ind_untreated_richer_d","ind_untreated_middle_d","ind_untreated_poorer_d","ind_untreated_poorest_d","total_untreated_richest_d","total_untreated_richer_d","total_untreated_middle_d","total_untreated_poorer_d","total_untreated_poorest_d","oop_richest_d","oop_richer_d","oop_middle_d","oop_poorer_d","oop_poorest_d","nm_richest_d","nm_richer_d","nm_middle_d","nm_poorer_d","nm_poorest_d","ind_richest_d","ind_richer_d","ind_middle_d","ind_poorer_d","ind_poorest_d","total_richest_d","total_richer_d","total_middle_d","total_poorer_d","total_poorest_d","cc_treated_richest","cc_treated_richer","cc_treated_middle","cc_treated_poorer","cc_treated_poorest","oop_treated_richest","oop_treated_richer","oop_treated_middle","oop_treated_poorer","oop_treated_poorest","cc_untreated_richest","cc_untreated_richer","cc_untreated_middle","cc_untreated_poorer","cc_untreated_poorest","oop_untreated_richest","oop_untreated_richer","oop_untreated_middle","oop_untreated_poorer","oop_untreated_poorest","cc_richest","cc_richer","cc_middle","cc_poorer","cc_poorest","oop_richest","oop_richer","oop_middle","oop_poorer","oop_poorest"
"Afghanistan","AFG","EMR","LIC",42647492,2201.722907,0.0755,0.118,0.157,0.0021,0.6474,82057.333138411,98988.125756477,118977.642668237,134915.451859304,159115.231956325,44252.571430005,17773.134623465,18572.49048033,16719.236175922,14714.15202858,37804.7617084058,81214.9911330122,100405.152187907,118196.215683382,144401.079927746,57260890.345097,15979379.673541,11670878.12776,8800694.49048901,8080979.19384998,80186187.945966,26267754.588196,22254005.3035,18434320.269731,13465859.690556,250284907.56048,65752993.6558099,37962622.3169429,20562352.210834,9587681.35223901,387731985.85154,108000127.91755,71887505.74821,47797366.971053,31134520.2366459,49453048.7547155,74590088.1889526,65137578.5260419,64467565.93291,83607585.673408,64860831.8176626,112276860.472407,111581778.293623,119659445.400795,124367349.953686,220218211.337494,308485334.407821,207632213.471923,149712898.1026,95920143.729428,334532091.909872,495352283.069182,384351570.291589,333839909.436305,303895079.356525,106713939.099812,90569467.862493,76808456.653802,73268260.423399,91688564.867258,145047019.763628,138544615.060604,133835783.597123,138093765.670527,137833209.644242,470503118.89797,374238328.06363,245594835.788867,170275250.313433,105507825.081668,722264077.76142,603352410.98673,456239076.03979,381637276.40736,335029599.59317,26514320.455988,4252421.47566101,3066265.69940501,2303142.2008422,2068147.5249487,37416290.974689,7574762.08578798,6477539.95998901,5420821.415658,3881210.73224801,115587932.43614,17426429.7151461,10208857.120265,5423329.08320197,2555239.19261201,179518543.86681,29253613.2766001,19752662.7796589,13147292.699702,8504597.449808,29859182.1583278,43595244.0862957,37509538.6048267,36402288.288794,46374212.338668,39217613.0695367,65627309.4585981,64232648.8802034,67534635.329656,68940868.365222,133054701.137548,180333141.714482,119564400.991813,84557988.198697,53200294.074511,202131496.365413,289555695.259376,221306588.476842,188494911.817147,168515374.778401,56373502.614316,47847665.561957,40575804.304232,38705430.489636,48442359.863617,76633904.0442261,73202071.544387,70710188.840193,72955456.745314,72822079.097469,248642633.57369,197759571.429623,129773258.112078,89981317.281899,55755533.267123,381650040.23222,318809308.53597,241059251.2565,201642204.51685,177019972.228208,35388.536516423,14970.178727071,16163.39733223,14958.0797835171,13606.858201934,10395.3957990448,3907.12486599029,4207.7279338073,4577.45894297749,6397.64284346001,30235.502897672,68347.8564766515,87308.30880134,105663.964432257,133524.064629814,8818.00015597377,17743.9140669172,22593.4086963006,32130.4712885641,62598.34117092,65624.039414096,83318.035203723,103471.70613357,120622.044215773,147130.922831747,19213.3959550186,21651.0389329079,26801.136630108,36707.930231542,68995.984014381
"Angola","AGO","AFR","LMIC",37885849,8347.952791,0.038,0.077,0.126,0.002,0.757,11957.681443998,14424.895731596,17337.8380160721,19660.35128738,23186.827841607,-2873.50389059098,-7306.865533337,-8654.83035114198,-8483.77837098599,-7229.51322844799,14831.1853345896,21731.7612649326,25992.668367214,28144.129658366,30416.341070054,-635959.143936902,-1116351.811865,-925828.560981698,-757303.459304199,-684145.133456901,-1066816.05623901,-2310300.74078199,-2221895.75124599,-1966231.43401401,-1416879.5665745,-2512349.761338,-4410459.58477199,-2853420.52687201,-1714649.3106844,-765266.715807907,-4215124.96151507,-7837112.13741803,-6001144.83909899,-4438184.20400301,-2866291.41583899,3155402.9161945,3273563.8246188,2765163.5592536,2498623.8242021,2877793.7260993,5880996.8128709,6914589.0142661,6676416.8354174,6554217.3259988,6021216.28163579,13555219.5869499,13164147.0923606,8586432.0798486,5697031.119591,3224248.5194303,22591619.3160153,23352299.931245,18028012.47452,14749872.269792,12123258.527166,2519443.7722576,2157212.0127538,1839334.9982719,1741320.364898,2193648.59264241,4814180.75663099,4604288.27348399,4454521.08417299,4587985.89198399,4604336.71506199,11042869.825611,8753687.50759,5733011.552977,3982381.808907,2458981.8036225,18376494.3544999,15515187.7938269,12026867.635422,10311688.065788,9256967.11132598,-548193.192606404,-804181.41048,-651942.352652997,-533475.785331801,-482497.611821301,-960278.3155635,-1675540.59707539,-1568009.6452273,-1388706.3362581,-1002015.7680858,-2238644.302203,-3193921.05975801,-2013344.8888544,-1210148.439312,-540059.544062801,-3747115.81037301,-5673643.06731302,-4233296.88673499,-3132330.56090099,-2024572.92396989,1885168.31495225,1948856.38443928,1627935.0791079,1457472.8736703,1646471.2306584,3514860.14109977,4118571.6366392,3931610.2636341,3823204.0172357,3444983.226587,8097932.1982384,7838707.2127842,5055485.5310928,3323272.3478613,1844853.1863204,13497960.6542904,13906135.2338627,10615030.8738348,8603949.2387677,6936307.643566,1336975.1223459,1144674.9739593,975992.726454899,923997.088338599,1163973.6188371,2554581.82553601,2443031.039564,2363600.61840701,2434497.68097699,2442967.458501,5859287.896034,4644786.15302601,3042140.64223799,2113123.90854929,1304793.6422576,9750844.84391701,8232492.16654998,6381733.98710102,5471618.677865,4911734.719596,-896.693241540008,-2425.338687257,-3235.901235344,-3954.382489571,-4671.901751464,-86.4348422946005,-198.963415615901,-263.714150371301,-361.275571201102,-957.277234990899,4647.9900958753,7213.4830418984,9719.16718737539,13122.892435007,19655.036309174,446.67698048976,591.08410711716,790.97123564977,1197.5074566541,4024.993708725,3751.29685433599,4788.144354641,6483.265952032,9168.50994543498,14983.1345577099,360.242138195201,392.120691501301,527.257085278601,836.2318854531,3067.71647373399
"Argentina","ARG","AMR","UMIC",45696159,30175.53597,0.051,0.096,0.149,0.227,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan","AZE","EUR","UMIC",10202850,25088.95018,0.0801,0.1231,0.1665,0.0022,0.6281,111.274977058798,134.234211634201,161.341271426401,182.953957145899,215.770402332899,-143.873713540401,-190.030706084901,-253.024466275499,-252.603534741102,-213.819666781001,255.1486905991,324.26491771905,414.36573770189,435.557491886999,429.590069113699,-115254.0697206,-108759.373714,-103347.208607309,-85741.8785523297,-77037.7794914795,-161203.415526602,-168864.047662001,-180052.7384407,-163588.220639,-117322.49223106,-229171.844551802,-199546.377280198,-144089.631644899,-87946.1140631894,-38765.2129917,-505629.329799004,-477169.798656099,-427489.578692801,-337276.2132545,-233125.484714199,204308.83806755,185210.6873094,168937.58739611,147790.19050741,155686.071049349,284294.86696643,286445.42477606,293819.33885562,280688.724010061,235220.761784298,406416.14221274,339968.60570079,235930.08560892,151745.24890846,78101.0302153602,895019.84724672,811624.71778626,698687.0118607,580224.1634259,469007.863049001,89054.7683469001,76451.3135954011,65590.3787888009,62048.3119550012,78648.2915578987,123091.451439802,117581.377114099,113766.600414999,117100.503371101,117898.2695533,177244.297660999,140422.2284206,91840.4539641012,63799.1348451991,39335.8172236597,389390.517447695,334454.919130094,271197.433167905,242947.950171404,235882.378334805,-80524.0886804201,-75312.4646092001,-70404.9024305502,-58432.1188956099,-52562.00868257,-112658.616844499,-116987.2209746,-122626.678173941,-111380.629566319,-79922.78236805,-160261.964400001,-138307.9737712,-98169.9111121502,-59947.94231275,-26433.48688502,-353444.669925004,-330607.659354899,-291201.491716601,-229760.690774698,-158918.277935699,129066.828779979,116998.375206978,106173.21010869,92276.91464605,95467.2496728506,179778.57500842,181101.48190497,184653.53164438,175207.146618989,144187.24204316,256881.83973003,214850.04243981,148233.57009209,94736.7669637203,47886.4496075301,565727.24351843,512949.89955176,439060.31184515,362220.828228749,287540.9413235,48542.7400995605,41685.9105977807,35768.3076781398,33844.7957504401,42905.2409902811,67119.9581639003,64114.2609304991,62026.8534704,63826.5170526002,64264.4596750997,96619.8753299005,76542.0686686002,50063.65897993,34788.82465096,21452.9627224896,212282.5735934,182342.240196802,147858.820128497,132460.137453999,128622.663387898,-31.93076650897,-43.2871129775103,-66.8588448827995,-92.23450135658,-128.165211269001,-11.7040842543302,-14.22982260546,-20.66151556103,-27.3100108691001,-55.3935628896497,56.649054998732,73.8617619851329,109.47964260359,159.073910559389,257.557461476199,20.699552894132,24.25733631481,33.8029043743351,47.0776601888801,111.24391350553,24.7182884897593,30.5746490076199,42.6207977207796,66.8394092027993,129.392250207198,8.99546863979003,10.0275137093499,13.1413888133102,19.7676493197901,55.8503506158595
"Burundi","BDI","AFR","LIC",14047786,949.8346131,0.071,0.11,0.15,0.0021,0.6669,1047.2999185825,1263.3880736841,1518.51480804769,1721.9294893418,2030.7919243733,333.243508998399,-694.101866147495,-749.435336893694,-640.096408234298,-575.148771625005,714.056409584106,1957.4899398317,2267.9501449414,2362.0258975761,2605.9406959984,386171.521867797,-518277.873507306,-401316.808760602,-284685.071931802,-270311.9531295,372991.955888696,-729293.909522697,-627554.534833193,-489349.9508413,-370688.223967701,1264814.60024899,-1574077.83181199,-933157.6160421,-492577.745755501,-232900.3388517,2023978.07800597,-2821649.614842,-1962028.959636,-1266612.76852851,-873900.515948996,734724.918647106,1472188.31423393,1210325.3466242,1054327.407492,1244067.4908606,982597.47014229,2026078.1009727,1879757.8130379,1778714.9738375,1668223.4230192,2421887.10809853,4496735.5539845,2843505.8133522,1818004.1559144,1052923.2585339,4139209.49688794,7995001.969191,5933588.9730142,4651046.53724399,3965214.17241369,1120896.4405149,953910.440726496,809008.537863605,769642.335560299,973755.537731096,1355589.426031,1296784.19145,1252203.2782047,1289365.0229963,1297535.1990515,3686701.70834801,2922657.72217201,1910348.19731,1325426.410159,820022.919682197,6163187.574893,5173352.35434899,3971560.01337799,3384433.76871502,3091313.65646502,145087.7971946,-379497.015302502,-292950.1420942,-208198.368320402,-198208.6234427,117324.578608699,-531157.461011201,-457709.150445599,-356574.762736499,-270729.3064897,474156.775132895,-1154472.241165,-683188.429650798,-359979.996725999,-170074.097339399,736569.150935978,-2065126.71747901,-1433847.72219059,-924753.127782896,-639012.027271897,454056.442538181,889271.56033099,725213.59611118,619489.214316709,718679.439541001,606574.605920563,1223769.63740123,1126579.63471762,1045242.6353485,963887.9288387,1496253.621007,2716498.0464082,1704050.8224006,1068173.2579189,608198.6273869,2556884.66946575,4829539.2441403,3555844.0532294,2732905.1075842,2290765.9957666,599144.239732798,509774.5450285,432263.454017099,411290.845996302,520470.816098299,723899.1845292,692612.17639,668870.484272003,688667.872612193,693158.622349001,1970410.39614001,1562025.80524319,1020862.3927497,708193.261192799,438124.530047499,3293453.82040203,2764412.52666199,2121996.331039,1808151.9798013,1651753.9684947,238.093598219595,-530.136372113397,-602.195328572096,-541.897477762497,-518.410393571896,73.9744082148009,-141.932463844259,-158.2508980157,-164.157932718201,-239.7037817535,511.631581940774,1494.37930554281,1821.8612544682,2000.0020640428,2348.9815556569,154.909348858291,400.720797782,479.41575755361,605.76481114777,1086.3661075195,749.7251801604,964.242933429501,1219.66592589601,1458.1045862803,1830.57116208501,228.883757073099,258.7883339378,321.164859537899,441.6068784296,846.662325765901
"Benin","BEN","AFR","LMIC",14462724,4434.564218,0.076,0.119,0.161,0.221,0.423,1391.0796591596,1678.0994820524,2016.9724298908,2287.1586683329,2697.4062423349,-1561.9769079346,-2138.0578984409,-2164.0684194606,-2048.64733504,-1768.5854691253,2953.05656709417,3816.1573804933,4181.0408493514,4335.8060033729,4465.9917114602,-470983.417959359,-473284.26774004,-342104.73283565,-267126.30122381,-244970.37916102,-871357.611813001,-930140.553407069,-750616.932517541,-646302.69226511,-472844.43458208,-1055562.9173055,-958732.671845431,-531638.816125089,-311149.72719215,-140848.15228485,-2397903.9470779,-2362157.4929925,-1624360.4814783,-1224578.720681,-858662.966027969,905847.22046332,846616.72835304,661685.92489895,568864.3128648,623608.87432809,1622366.99416472,1648556.13104951,1445676.72957228,1362209.68530022,1188211.35193769,2009118.83355449,1717283.22779238,1030655.43390183,657951.58438963,354663.489154,4537333.04818254,4212456.08719495,3138018.08837303,2589025.5825547,2166483.7154198,434863.80250397,373332.46061301,319581.1920633,301738.01164099,378638.49516707,751009.3823517,718415.5776424,695059.797054801,715906.993035099,715366.917355599,953555.916248899,758550.555947,499016.61777675,346801.85719748,213815.33686915,2139429.10110471,1850298.5942025,1513657.6068948,1364446.8618735,1307820.7493918,-327426.28044684,-316854.61422801,-228924.18094829,-178935.99079755,-164254.84769823,-600635.62850077,-621599.66835532,-502158.59880454,-432230.41450164,-316381.45984151,-732671.867955139,-642215.55109932,-355944.78815842,-208129.7167643,-94181.651348278,-1660733.7769027,-1580669.8336827,-1087027.56791129,-819296.1220635,-574817.95888802,561358.042311308,517630.550047008,400787.3728597,341246.54552577,367959.86605281,1004313.92051555,1007747.7623825,875824.1886931,817077.01487829,700968.053672221,1245577.9012094,1050204.43708384,624324.94666301,394615.64654733,209141.90095346,2811249.86403625,2575582.74951336,1900936.5082158,1552939.20695138,1278069.82067849,233931.76186447,200775.935819,171863.19191141,162310.55472822,203705.01835457,403678.29201478,386148.0940272,373665.58988856,384846.60037664,384586.593830709,512906.033254201,407988.885984529,268380.15850458,186485.92978302,114960.24960519,1150516.0871335,994912.915830698,813908.940304598,733643.084887899,703251.8617904,-441.16820518035,-637.77212058945,-751.013805171649,-930.637048535151,-1157.8023826967,-81.05791395448,-101.428924342829,-112.92665532803,-144.55173153415,-325.47050391993,832.764408757265,1138.43737704733,1451.0730715152,1969.26323869502,2923.9604577666,153.250398250565,181.095389143885,217.887572285444,305.6166650026,821.21713870767,391.59620357691,500.66525645788,700.0592663435,1038.6261901599,1766.1580750699,72.19248429608,79.6664648010501,104.96091695741,161.06493346846,495.74663478774
"Burkina Faso","BFA","AFR","LIC",23548781,2896.187416,0.073,0.112,0.151,0.211,0.453,2657.5184284153,3205.8410666163,3853.223909031,4369.3876693421,5153.12458975799,1482.5339726696,-2319.8033940342,-2982.6446295007,-2759.44602459799,-2403.064206382,1174.98445574566,5525.64446065047,6835.86853853177,7128.8336939402,7556.18879614,632957.485563301,-694706.658505701,-636563.480072119,-489865.38517214,-456716.996584861,1397233.3509161,-1784867.6692614,-1823801.2971405,-1529836.5031774,-1136435.7490481,1815991.3158979,-1888355.1195925,-1331800.7161566,-760381.684286362,-346660.167765399,3846182.1523774,-4367929.44735979,-3792165.4933692,-2780083.57263599,-1939812.9133983,486427.694142611,1656736.53552533,1455847.36318866,1266196.20111624,1434330.99562377,1174639.04570605,4245127.02856551,4190987.39471988,3958499.4440955,3578025.6578012,1494198.10752111,4510909.46991184,3050831.42219743,1961343.01036082,1089450.89306216,3155264.84736978,10412773.0340027,8697666.180106,7186038.6555726,6101807.5464872,1119385.179706,962029.877019599,819283.883116599,776330.81594412,977613.999038901,2571872.3966222,2460259.359304,2367186.0975793,2428662.9409181,2441589.9087532,3310189.423419,2622554.3503193,1719030.7060408,1200961.3260744,742790.725296769,7001446.9997471,6044843.58664291,4905500.6867367,4405955.0829367,4161994.6330888,281934.794583291,-526968.229021921,-464563.667717559,-357650.32150998,-333325.87298833,611409.227056399,-1351046.2011003,-1331867.1992606,-1117380.2773016,-829734.279391449,798223.996336102,-1433808.7073741,-972692.424583709,-554955.47234579,-253057.64071439,1691568.0179758,-3311823.1374963,-2769123.2915618,-2029986.0711574,-1416117.7930942,323704.891524748,1047377.36504933,907724.90976734,777627.1827093,862157.06943583,779625.981660111,2681746.00615351,2612344.77841063,2431144.74905644,2150315.29027869,992148.028843726,2852368.38847186,1902589.69440774,1204529.42002667,654840.13774569,2095478.90202859,6581491.7596747,5422659.38258573,4413301.3517924,3667312.4974602,605639.68610804,520409.13602741,443161.24204979,419976.86119932,528831.1964475,1391035.2087165,1330699.8050532,1280477.5791501,1313764.4717548,1320581.0108872,1790372.0251798,1418559.6810978,929897.269824,649573.947680881,401782.49703129,3787046.92000441,3269668.6221783,2653536.0910239,2383315.280635,2251194.704366,724.249702873602,-1231.8357216878,-1757.8019411861,-1868.31407891,-1927.5224293421,121.07622438505,-174.17130538436,-240.0183023278,-290.1519254581,-560.38282625933,575.363966727313,2933.74362505377,4029.35197257673,4827.0155150288,6060.2938628472,96.9795788042557,414.903446450492,550.101556405399,748.86437089523,1762.34849824052,1299.6136696009,1701.9079033659,2271.5500313906,2958.7014361188,4132.7714335053,218.05580318931,240.73214106614,310.0832540776,458.712445437141,1201.9656719812
"Bangladesh","BGD","SEAR","LMIC",173562364,9646.769844,0.082,0.122,0.16,0.215,0.421,87952.5022010999,106099.63808834,127525.24336867,144608.0578393,170546.40034745,11034.47441874,-76471.54459354,-79587.1708692699,-76777.8460794201,-65815.0799119701,76918.0277823627,182571.182681879,207112.414237947,221385.903918722,236361.48025942,1367565.68175501,-5753037.927523,-4267283.97469169,-3418966.99605659,-3123412.0991124,3762756.52707791,-24706444.880928,-20476480.195936,-17842117.6161391,-13079218.803358,4900714.34887695,-22518506.091788,-12793908.515682,-7649196.105717,-3423444.3789261,10031036.5577099,-52977988.9002401,-37537672.686309,-28910280.7179121,-19626075.281396,7945931.17959953,13737188.1876322,11095600.9669479,9909341.4948577,11230828.841277,31468022.2069557,58420917.4465568,53087839.545647,51263179.833837,46545984.394752,35024624.8890886,54197642.9531315,33609344.999726,22122745.1977954,12359752.3788641,74438578.275644,126355748.587321,97792785.512322,83295266.52649,70136565.614893,9313496.86135501,7984150.26010802,6828316.992256,6490374.49880099,8107416.742165,35230778.7340341,33714472.565629,32611359.349712,33421062.217698,33466765.5913941,39925339.2379659,31679136.861344,20815436.484044,14473549.092079,8936307.99993798,84469614.8333499,73377759.6870801,60255112.8260099,54384985.808578,50510490.333496,-10411.0610525012,-4204215.26308151,-3096323.7213317,-2484639.7717915,-2267362.2877725,-934940.606353998,-18005028.825694,-14852189.722416,-12944604.073495,-9475024.47421101,-635507.875450969,-16493544.392225,-9311092.39011002,-5555786.1510563,-2488411.2741035,-1580859.542858,-38702788.481001,-27259605.833858,-20985029.996343,-14230798.036086,5069917.33496214,8541238.09707415,6805668.5486321,6010581.4583298,6671135.1369023,20067787.5242165,36314217.3267572,32563353.1052452,31096503.306022,27649777.384944,22322988.2293222,33702753.5465503,20619482.566321,13418035.7234944,7342703.4801118,47460693.0885008,78558208.9703817,59988504.220198,50525120.487846,41663616.001959,5059506.2739099,4337022.8339927,3709344.8273003,3525941.68653829,4403772.84912971,19132846.917863,18309188.501063,17711163.382829,18151899.232527,18174752.9107341,21687480.353871,17209209.154326,11308390.17621,7862249.572438,4854292.2060083,45879833.545643,39855420.4893811,32728898.38634,29540090.491503,27432817.965872,3280.49273872096,-24248.566462164,-29319.553001618,-36112.2437206639,-43040.278611876,175.573501245301,-1151.1291820595,-1373.9720602005,-1903.4662288876,-5965.582706746,22790.1079903043,57904.8276497223,76295.615213521,104080.995538179,154519.11608249,1313.96839565644,2753.65880111559,3574.2495897749,5488.6748136116,21420.312262966,26070.600729026,33656.2611875579,46976.062211903,67968.75181751,111478.83747062,1489.5418969018,1602.5296190561,2200.2775295744,3585.208584724,15454.72955622
"Bolivia","BOL","AMR","LMIC",12413315,11189.80551,0.052,0.1,0.148,0.223,0.477,1120.2049062799,1351.3354613758,1624.2221622018,1841.7970134473,2172.1600822769,-10.8752390814043,-786.737520267197,-1434.8580702982,-1418.5418557714,-1205.0389785353,1131.08014536133,2138.07298164296,3059.0802325,3260.3388692185,3377.1990608121,520.25264479965,-412330.455808099,-552414.1371416,-456778.8815323,-413081.7481995,-57173.1362518966,-1339604.7101493,-1927309.7946321,-1728256.4192336,-1242527.5017904,36459.7938183993,-1282112.73315971,-1298910.5501615,-791047.360836998,-352986.1529886,-20193.0897890031,-3034047.89911702,-3778634.48193601,-2976082.6616028,-2008595.40297841,860925.478858706,1147396.01925525,1178698.03694372,1053062.83222608,1165051.127907,2429156.45818257,3605126.39091542,4118703.1184368,3980378.3799057,3495519.7619952,2815616.03203653,3538553.03658807,2775653.48164137,1818417.2481929,986924.034227399,6105697.96907781,8291075.44675878,8073054.6370219,6851858.4603247,5647494.92412961,861445.731503502,735065.5634472,626283.8998021,596283.9506937,751969.379707601,2371983.32193069,2265521.68076609,2191393.32380469,2252121.9606722,2252992.26020479,2852075.8258549,2256440.3034284,1476742.93147989,1027369.8873559,633937.8812388,6085504.879289,5257027.54764199,4294420.15508702,3875775.798722,3638899.52115101,-83914.3047403991,-333156.3885037,-400785.550217871,-331377.94486509,-299837.61940169,-271276.393975601,-1070157.58873361,-1397401.2749974,-1253355.3929334,-901296.460965399,-258393.942307696,-1034209.8745381,-942562.886332199,-573688.7241544,-255893.77136172,-613584.641023993,-2437523.85177501,-2740749.71154751,-2158422.0619528,-1457027.85172889,554559.501962194,734679.056336455,742843.04880083,657087.50970984,710673.906061959,1566544.70912665,2307446.40471418,2594318.03361379,2483408.8084734,2131976.9691219,1816709.23908881,2267019.24236238,1749275.06472977,1134861.85621443,602143.31796148,3937813.45017765,5309144.70341301,5086436.1471443,4275358.1743976,3444794.1931452,470645.197221797,401522.667832699,342057.4985829,325709.5648448,410836.286660301,1295268.315151,1237288.8159806,1196916.7586164,1230053.4155399,1230680.5081564,1558315.2967811,1232809.3678243,806712.178397499,561173.132060099,346249.5465998,3324228.809154,2871620.851638,2345686.43559681,2116936.11244479,1987766.3414164,-5.59113698749934,-464.388517231997,-931.877758481201,-1036.2002347728,-1012.1810587931,-1.43024618228992,-67.0688896831498,-130.37554638034,-168.12565617511,-312.92822528326,611.047115061256,1261.37534122998,1986.87977336467,2381.5043725692,2836.6238128172,104.497663888394,181.589802428367,277.707956770276,386.20321317777,876.264834064319,605.4559780737,796.986823997999,1055.0020148835,1345.3041377965,1824.4427540242,103.06741770611,114.52091274522,147.33241038994,218.077557002661,563.336608780999
"Brazil","BRA","AMR","UMIC",211998573,22333.41166,0.037,0.078,0.125,0.194,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
