"country","code","region","income","pop","gdp_pc_ppp","poorest_share","poorer_share","middle_share","richer_share","richest_share","cases_richest","cases_richer","cases_middle","cases_poorer","cases_poorest","notif_richest","notif_richer","notif_middle","notif_poorer","notif_poorest","untreated_richest","untreated_richer","untreated_middle","untreated_poorer","untreated_poorest","oop_treated_richest_und","oop_treated_richer_und","oop_treated_middle_und","oop_treated_poorer_und","oop_treated_poorest_und","nm_treated_richest_und","nm_treated_richer_und","nm_treated_middle_und","nm_treated_poorer_und","nm_treated_poorest_und","ind_treated_richest_und","ind_treated_richer_und","ind_treated_middle_und","ind_treated_poorer_und","ind_treated_poorest_und","total_treated_richest_und","total_treated_richer_und","total_treated_middle_und","total_treated_poorer_und","total_treated_poorest_und","oop_untreated_richest_und","oop_untreated_richer_und","oop_untreated_middle_und","oop_untreated_poorer_und","oop_untreated_poorest_und","nm_untreated_richest_und","nm_untreated_richer_und","nm_untreated_middle_und","nm_untreated_poorer_und","nm_untreated_poorest_und","ind_untreated_richest_und","ind_untreated_richer_und","ind_untreated_middle_und","ind_untreated_poorer_und","ind_untreated_poorest_und","total_untreated_richest_und","total_untreated_richer_und","total_untreated_middle_und","total_untreated_poorer_und","total_untreated_poorest_und","oop_richest_und","oop_richer_und","oop_middle_und","oop_poorer_und","oop_poorest_und","nm_richest_und","nm_richer_und","nm_middle_und","nm_poorer_und","nm_poorest_und","ind_richest_und","ind_richer_und","ind_middle_und","ind_poorer_und","ind_poorest_und","total_richest_und","total_richer_und","total_middle_und","total_poorer_und","total_poorest_und","oop_treated_richest_d","oop_treated_richer_d","oop_treated_middle_d","oop_treated_poorer_d","oop_treated_poorest_d","nm_treated_richest_d","nm_treated_richer_d","nm_treated_middle_d","nm_treated_poorer_d","nm_treated_poorest_d","ind_treated_richest_d","ind_treated_richer_d","ind_treated_middle_d","ind_treated_poorer_d","ind_treated_poorest_d","total_treated_richest_d","total_treated_richer_d","total_treated_middle_d","total_treated_poorer_d","total_treated_poorest_d","oop_untreated_richest_d","oop_untreated_richer_d","oop_untreated_middle_d","oop_untreated_poorer_d","oop_untreated_poorest_d","nm_untreated_richest_d","nm_untreated_richer_d","nm_untreated_middle_d","nm_untreated_poorer_d","nm_untreated_poorest_d","ind_untreated_richest_d","ind_untreated_richer_d","ind_untreated_middle_d","ind_untreated_poorer_d","ind_untreated_poorest_d","total_untreated_richest_d","total_untreated_richer_d","total_untreated_middle_d","total_untreated_poorer_d","total_untreated_poorest_d","oop_richest_d","oop_richer_d","oop_middle_d","oop_poorer_d","oop_poorest_d","nm_richest_d","nm_richer_d","nm_middle_d","nm_poorer_d","nm_poorest_d","ind_richest_d","ind_richer_d","ind_middle_d","ind_poorer_d","ind_poorest_d","total_richest_d","total_richer_d","total_middle_d","total_poorer_d","total_poorest_d","cc_treated_richest","cc_treated_richer","cc_treated_middle","cc_treated_poorer","cc_treated_poorest","oop_treated_richest","oop_treated_richer","oop_treated_middle","oop_treated_poorer","oop_treated_poorest","cc_untreated_richest","cc_untreated_richer","cc_untreated_middle","cc_untreated_poorer","cc_untreated_poorest","oop_untreated_richest","oop_untreated_richer","oop_untreated_middle","oop_untreated_poorer","oop_untreated_poorest","cc_richest","cc_richer","cc_middle","cc_poorer","cc_poorest","oop_richest","oop_richer","oop_middle","oop_poorer","oop_poorest"
"Afghanistan","AFG","EMR","LIC",42647492,2201.722907,0.0755,0.118,0.157,0.0021,0.6474,107379.139146872,129534.550087849,155692.567121208,176548.573103479,208216.084768507,48992.390486997,20279.489306371,21191.569752207,19076.970856488,16789.131182405,58386.7486598746,109255.060781478,134500.997369001,157471.60224699,191426.953586102,63568586.130342,18174621.6981,13245372.253693,9980383.143769,9143931.94741499,89246075.255748,30262721.442768,25665060.896015,21284330.485084,15505215.164931,276566957.98141,74718447.91201,43210177.578252,23347317.105647,10906355.84296,429381619.36749,123155791.05287,82120610.7279599,54612030.7344991,35555502.9553059,76059768.7516246,100307481.516019,87211219.2211749,85833491.088857,110751611.023317,100709711.247363,151207966.157214,149647826.251361,159616347.375508,165015880.313667,338773706.432358,414811984.315244,278069999.729149,199372483.566571,127121797.792861,515543186.431346,666327431.988478,514929045.201685,444822322.03094,402889289.129845,139628354.881966,118482103.214118,100456591.474868,95813874.232626,119895542.970733,189955786.50311,181470687.599983,175312887.147376,180900677.860592,180521095.478598,615340664.41376,489530432.22725,321280177.307397,222719800.672217,138028153.635822,944924805.79884,789483223.04135,597049655.92964,499434352.76543,438444792.08515,28086130.205495,4187153.812154,2992431.45927101,2241249.0370419,1987403.761406,39809429.793513,7830459.61323401,6725364.19191602,5654402.151584,4007379.63847801,121645372.14312,17098800.9919651,10098817.31802,5303490.353479,2517270.469621,189540932.14212,29116414.4173601,19816612.9692069,13199141.542104,8512053.86950397,45491846.8110681,58251414.2219381,49945091.7929801,48250069.148809,61202476.59613,60297878.1128086,87808712.0147051,85663490.0658214,89673277.505441,91126738.302304,202737776.650441,240945514.653425,159246845.052962,112101046.346986,70242704.582854,308527501.574318,387005640.890067,294855426.911764,250024393.001235,222571919.481287,73577977.016563,62438568.034093,52937523.252251,50491318.185851,63189880.357536,100107307.906321,95639171.627939,92388854.257738,95327679.657025,95134117.940781,324383148.79356,258044315.645393,169345662.370982,117404536.700465,72759975.052475,498068433.71644,416122055.30742,314672039.88097,263223534.54334,231083973.350792,39179.030457886,17083.036698706,18444.907628843,17069.398008969,15525.896316603,11519.3328790045,4462.2018662911,4805.85119844359,5228.23169044009,7303.238737512,46694.9185961632,91946.4046727845,116957.876111308,140776.314259582,177007.895844237,13625.7017579419,23872.5186029553,30268.6732636378,42810.7104807152,82987.372180503,85873.94905405,109029.441371492,135402.783740151,157845.71226855,192533.792160838,25145.0346369465,28334.7204692459,35074.524462081,48038.942171155,90290.610918014
"Angola","AGO","AFR","LMIC",37885849,8347.952791,0.038,0.077,0.126,0.002,0.757,15975.396995536,19271.581787047,23163.256744064,26266.1217693869,30977.4751544951,-4334.36262069899,-10059.450120351,-11686.355272663,-11455.388964938,-9761.79273403197,20309.7596162358,29331.0319073976,34849.612016726,37721.510734324,40739.267888526,-958446.052455693,-1533750.1474496,-1249990.0878909,-1022509.4289863,-923903.504566096,-1624597.781331,-3183311.74270502,-3000095.238226,-2654958.75918101,-1913437.50813331,-3805229.81055003,-6069049.71031201,-3852853.584288,-2315225.11575639,-1033343.38425671,-6388273.64433706,-10786111.600466,-8102938.91040403,-5992693.30392399,-3870684.396956,4324078.1566342,4415486.2527739,3707156.2537926,3348814.3455236,3854426.8503162,8057166.5551215,9335009.5261813,8951532.6894809,8784718.16889161,8065094.23415379,18558346.0849312,17763642.0552808,11512057.0469388,7635741.865943,4318540.7593394,30939590.796687,31514137.834236,24170745.990213,19769274.380359,16238061.843809,3365632.10417849,2881736.1053243,2457166.16590171,2326304.9165374,2930523.34575011,6432568.77379,6151697.783476,5951437.45125601,6129759.409711,6151656.72602001,14753116.274381,11694592.34497,7659203.46265098,5320516.75018701,3285197.3750829,24551317.1523499,20728026.23377,16067807.079808,13776581.076434,12367377.446853,-798290.1257127,-1098574.8399192,-877114.966201399,-717759.309220001,-649254.6618005,-1403728.7618528,-2294176.5474025,-2109690.700018,-1868469.4826535,-1348307.4067368,-3264464.555417,-4368397.85521302,-2708884.8735687,-1628218.8481848,-726652.988137901,-5466483.44298297,-7761149.24253404,-5695690.53978798,-4214447.64005798,-2724215.05667511,2583512.72530595,2627021.86634533,2180358.8616491,1951611.8914352,2203524.0831796,4815533.46359507,5556788.7235704,5266144.3921068,5119603.8419357,4610778.5095099,11088862.5100544,10570867.9468937,6771304.42065831,4450108.9996568,2469072.0083746,18487908.6989554,18754678.5368093,14217807.6744142,11521324.7330277,9283374.60106499,1785222.5995933,1528447.0264262,1303243.89544769,1233852.5822152,1554269.4213791,3411804.70174201,3262612.17616799,3156453.69208901,3251134.35928199,3262471.102773,7824397.95463598,6202470.091681,4062419.547089,2821890.151472,1742419.0202367,13021425.255972,10993529.294275,8522117.13462704,7306877.092969,6559159.54438901,-1354.37805218001,-3339.085150353,-4369.337117029,-5339.52238608498,-6308.36382481101,-130.637521672099,-273.901195857301,-356.071495481699,-487.805775360601,-1292.5593613383,6366.1022840869,9736.0119448393,13030.95051007,17588.673206742,26325.740355369,611.91166921621,797.76903037018,1060.48313151648,1605.0142994923,5391.04735756571,5011.72423190798,6396.926794486,8661.61339304099,12249.150820657,20017.376530558,481.2741475442,523.867834512901,704.4116360349,1117.2085241317,4098.48799622699
"Argentina","ARG","AMR","UMIC",45696159,30175.53597,0.051,0.096,0.149,0.227,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan","AZE","EUR","UMIC",10202850,25088.95018,0.0801,0.1231,0.1665,0.0022,0.6281,146.976367850199,177.301828216197,213.105899326001,241.652784982602,284.9980369595,-193.0638507076,-253.640438082701,-334.479520355697,-333.9230801829,-282.653692112301,340.04021855781,430.94226629884,547.58541968167,575.5758651656,567.651729071698,-154838.3633192,-144998.1297144,-136618.45089918,-113347.643766141,-101844.101735,-216267.857089601,-225298.626436699,-238014.3507344,-216245.9339386,-155090.214232229,-307356.319605701,-266333.893294498,-190469.5001971,-116256.20071927,-51244.2228215002,-678462.540014401,-636630.649445496,-565102.301830605,-445849.778423999,-308178.538788699,272465.8516989,245980.0436913,223254.90155096,195306.95035839,205731.68199481,378852.12932151,380604.58701029,388280.86289703,370913.32756057,310810.491725599,541457.11949814,451800.78306393,311771.723914,200523.38923984,103200.68612007,1192775.10051855,1078385.41376553,923307.488361999,766743.667158799,619742.859840501,117627.4883797,100981.9139769,86636.4506518003,81959.3065922,103887.5802598,162584.272231903,155305.960573599,150266.5121627,154667.393621899,155720.277493402,234100.7998925,185466.889769398,121302.2237169,84267.1885205004,51956.4632985694,514312.560504094,441754.764319994,358205.186531402,320893.888734803,311564.321051799,-108091.13953151,-100320.96927843,-93018.9387667999,-77202.08835351,-69447.9658486396,-151012.031002,-155959.874026101,-162011.270966571,-147150.55421442,-105591.31709721,-214724.685705801,-184435.586873699,-129695.8881289,-79200.73823475,-34923.1114264498,-473827.856239401,-440716.430178102,-384726.0978623,-303553.380802698,-209962.394372299,172193.812410229,155369.753009138,140253.3215225,121897.11488581,126108.90752741,239646.21659144,240624.75883564,243919.30089236,231433.707232419,190452.31075557,342308.78817508,285507.4584567,195804.30652908,125139.82693277,63252.5344832898,754148.81717676,681501.97030148,579976.92894394,478470.64905099,379813.752766199,64102.672878731,55048.7837307099,47234.3827556996,44695.0265322905,56660.9416787699,88634.1855894011,84664.8848096989,81908.029925799,84283.1530180015,84860.9936583005,127584.102469198,101071.871583,66108.4184001703,45939.0886980202,28329.42305684,280320.960937396,240785.540123306,195250.8310817,174917.268248297,169851.358394001,-42.8461119051003,-57.7791339753003,-88.3822136183899,-121.92722117098,-169.4249413776,-15.7013529762601,-18.99412530256,-27.3127991490601,-36.10168309962,-73.22601623628,75.495021694499,98.163301743428,144.67739275052,210.21136242391,340.3313688132,27.582875498737,32.238822853082,44.6704330307761,62.2115982271,146.99536098454,32.6489097894,40.3841677681303,56.2951791321193,88.2841412528996,170.906427435599,11.88152252247,13.24469755052,17.3576338817102,26.1099151274902,73.7693447482507
"Burundi","BDI","AFR","LIC",14047786,949.8346131,0.071,0.11,0.15,0.0021,0.6669,1401.8262117126,1691.0633580996,2032.5542120506,2304.827728954,2718.24460176979,367.573723309099,-936.623195608001,-1011.2903514277,-863.748064394596,-776.107523553306,1034.25248840348,2627.6865537076,3043.8445634783,3168.57579334859,3494.3521253232,432554.832065299,-699458.562343001,-541515.904724799,-384171.885096002,-364810.915782902,399826.993791901,-983953.184922598,-846737.087809697,-660218.794148799,-500181.988704603,1418764.867659,-2124443.35681799,-1259326.7688683,-664702.8040126,-314267.8006198,2251146.69351602,-3807855.104083,-2647579.76140301,-1709093.48325741,-1179260.7051073,1067888.0576025,1976306.44299914,1624355.9829362,1414365.1325124,1668294.5703642,1414430.38575272,2719580.1405706,2522731.6153332,2385910.4278255,2236910.9549328,3516398.63140708,6036768.7498642,3816444.5280131,2438817.9995326,1411864.4323014,5998717.07476225,10732655.3334339,7963532.1262825,6239093.5598706,5317069.95759849,1500442.8896678,1276847.880656,1082840.0782114,1030193.2474165,1303483.6545813,1814257.3795446,1735626.955648,1675994.5275235,1725691.6336767,1736728.9662283,4935163.49906701,3912325.39304601,2557117.75914469,1774115.1955201,1097596.6316816,8249863.768278,6924800.22935,5315952.36488,4530000.07661301,4137809.252491,140612.1775098,-510523.0535427,-394049.419748301,-280065.169370601,-266643.8790201,94239.9330172017,-714404.048753802,-615638.269328799,-479585.0692067,-364155.174210001,460360.723725393,-1553119.6786984,-919045.757367902,-484235.579885997,-228769.97943127,695212.834252,-2778046.780995,-1928733.44644509,-1243885.8184633,-859569.032661498,660982.372041059,1192516.88609537,972320.774420151,830302.477963809,962985.712128801,874087.828499023,1640917.43826923,1510409.75422612,1400818.5995563,1291449.1675535,2175914.52218399,3642972.3340092,2284811.8203126,1431671.1985039,814889.4399601,3710984.72272408,6476406.6583737,4767542.3489589,3662792.2760241,3069324.31964239,801594.549550898,681993.832552701,578271.354671899,550237.308593202,696341.833108697,968327.761516102,926513.389515504,894771.484897196,921233.530349694,927293.993343405,2636275.24591,2089852.65531079,1365766.0629447,947435.6186179,586119.460528899,4406197.55697602,3698359.877379,2838808.902514,2418906.45756081,2209755.2869809,262.383282109098,-715.363621631099,-812.601592881794,-731.239865473297,-699.545447922595,81.8308351213,-191.528094776641,-213.547752533899,-221.515634597799,-323.4582996134,741.132035132954,2006.01270791711,2445.1383507398,2682.9330036789,3149.7898824504,224.538244388268,537.92225886118,643.43418923655,812.61346526474,1456.7292281027,1003.51531724211,1290.649086286,1632.536757858,1951.69313820559,2450.24443452781,306.369079509499,346.394164084601,429.8864367026,591.097830667,1133.2709284892
"Benin","BEN","AFR","LMIC",14462724,4434.564218,0.076,0.119,0.161,0.221,0.423,1965.5441765728,2371.0925847702,2849.907543235,3231.6707183798,3811.3353872743,-2469.2781180909,-3062.5980085252,-3099.8560125922,-2934.5244827277,-2533.3581188795,4434.82229466371,5433.6905932954,5949.7635558273,6166.1952011074,6344.6935061539,-747831.98058163,-677943.32225166,-489946.49575827,-382724.59690057,-351124.74015784,-1367754.0847665,-1331670.06753399,-1075080.23473714,-925579.68678122,-677350.03490968,-1676912.6752685,-1373851.16689971,-761652.40359138,-445608.63682418,-201681.47594512,-3792498.7406167,-3383464.5566853,-2326679.1340868,-1753912.9205059,-1230156.25101265,1362626.25644198,1205546.45827859,941528.71907078,809202.59785974,886462.26033435,2428369.1942195,2346323.67538016,2057042.07572869,1936968.3381536,1688144.10750599,3024656.07526049,2445906.71227268,1466804.22814436,935539.41044025,503730.24654409,6815651.52592196,5997776.84593145,4465375.02294383,3681710.3464536,3078336.6143844,614794.275860351,527603.13602693,451582.22331252,426478.00095917,535337.5201765,1060615.109453,1014653.6078462,981961.840991601,1011388.6513723,1010794.0725964,1347743.3999919,1072055.545373,705151.824552989,489930.77361607,302048.77059897,3023152.78530531,2614312.2892461,2138695.8888571,1927797.4259476,1848180.3633718,-510574.85169288,-451062.50081501,-325836.20801228,-254779.30075845,-233961.37841605,-927677.85471207,-884479.572198469,-714775.26542603,-615186.47085213,-450410.46701818,-1142769.1193886,-914537.28122323,-506773.3518925,-296230.72690176,-134030.813167148,-2581021.8257935,-2250079.3542368,-1547384.82533085,-1166196.49851234,-818402.658601371,840577.484676598,734190.601583568,568164.13847419,483695.25754267,521343.62406076,1496563.33730449,1428693.34620271,1241547.79876589,1157708.36985044,992652.205283361,1866130.60258582,1489895.74580907,885198.26458508,559116.23288143,296082.45845276,4203271.4245669,3652779.69359535,2694910.20182516,2200519.86027452,1810078.28779685,330002.63298372,283128.10076855,242327.93046191,228915.95678421,287382.24564471,568885.482592421,544213.77400425,526772.53333986,542521.89899831,542241.73826518,723361.483197201,575358.464585839,378424.91269257,262885.50597967,162051.64528561,1622249.5987734,1402700.3393586,1147525.3764944,1034323.3617622,991675.6291955,-696.78935412909,-913.56496699147,-1075.7795437472,-1333.04832160427,-1658.4685917003,-128.02268207147,-145.285304837236,-161.74112554261,-207.04265461686,-466.17971414867,1250.07166819974,1620.99101374508,2064.94600715144,2800.57504332722,4153.9850859941,230.028899583568,257.851474815205,310.039528320017,434.60632043187,1166.61655556412,553.28231407064,707.426046753621,989.166463404201,1467.5267217229,2495.5164942938,102.00621751209,112.56616997796,148.29840277741,227.56366581502,700.436841415451
"Burkina Faso","BFA","AFR","LIC",23548781,2896.187416,0.073,0.112,0.151,0.211,0.453,3926.5836001652,4736.7509561986,5693.2834960575,6455.93489842091,7613.9357256753,1135.9549409586,-3839.4074880796,-4559.0256203967,-4217.8625639187,-3673.1265857132,2790.62865920657,8576.15844427816,10252.3091164544,10673.7974623397,11287.0623113885,497408.5417202,-1150447.811918,-972801.725064979,-748752.0734099,-698014.30517612,1037470.7297764,-2944405.8049236,-2787905.0118954,-2338515.5444201,-1736897.7588206,1378168.6224254,-3133756.5668476,-2035773.526791,-1162062.46706786,-529863.34844902,2913047.893922,-7228610.1836893,-5796480.2637514,-4249330.084898,-2964775.4124457,1156849.5046063,2571871.61966078,2183158.95281111,1895742.70664012,2142298.98815087,2761909.17752863,6579232.53278071,6285625.73352954,5927156.0402553,5343941.1810437,3512062.99398342,7008607.1960533,4575849.84034981,2936364.63812693,1627374.66634131,7430821.67611836,16159711.3484948,13044634.5266904,10759263.3850223,9113614.8355359,1654258.0463265,1421423.8077427,1210357.2277462,1146990.63323022,1444284.6829748,3799379.9073051,3634826.7278571,3497720.721634,3588640.4958352,3607043.4222231,4890231.6164088,3874850.6292058,2540076.3135588,1774302.171059,1097511.31789227,10343869.5700404,8931101.1648055,7248154.26293899,6509933.3001245,6148839.4230901,133517.362009309,-846365.46869265,-699649.758002129,-538710.14551551,-502034.60468214,242472.515071601,-2163516.1562325,-2006239.9158569,-1683149.7179455,-1249677.4436471,337957.335086703,-2306576.6498982,-1465200.56260339,-835801.92739587,-381168.67152344,713947.212167598,-5316458.2748233,-4171090.2364624,-3057661.7908569,-2132880.7198527,758334.548745713,1612561.25269399,1352036.69978784,1157014.12049322,1280548.8948924,1805240.56756092,4122576.14308056,3891569.43776652,3617529.57064658,3193728.51721129,2297679.25591613,4395110.03570974,2834381.15163627,1792099.47790255,972725.09900544,4861254.37222276,10130247.4314843,8077987.28919063,6566643.1690423,5447002.5111091,891851.91075502,766195.784001339,652386.94178572,618303.97497771,778514.29021026,2047713.0826325,1959059.9868482,1885329.5219096,1934379.8527011,1944051.0735642,2635636.5910028,2088533.3858115,1369180.5890328,956297.550506661,591556.427482,5575201.5843903,4813789.156661,3906897.0527282,3508981.3781855,3314121.7912564,554.780279883902,-2038.4877023487,-2686.8721033242,-2855.7861499771,-2946.2569419071,91.7323733219901,-288.31241066812,-366.88630847596,-443.48651837187,-856.5576443979,1365.43315774421,4553.13248185894,6043.19400266388,7227.412261185,9052.5603098013,230.425824412455,644.004675371637,825.058785291389,1121.24569549276,2632.49879349024,1920.2134376281,2514.6447795102,3356.3218993397,4371.6261112079,6106.3033678943,322.15819773445,355.69226470352,458.17247681543,677.75917712089,1775.9411490923
"Bangladesh","BGD","SEAR","LMIC",173562364,9646.769844,0.082,0.122,0.16,0.215,0.421,105685.63834157,127491.6312618,153237.10426413,173764.18543655,204932.26157869,3790.21570230997,-93684.09132107,-96799.2690194799,-93382.37929811,-80048.7258983201,101895.422639261,221175.722582861,250036.373283618,267146.564734662,284980.98747701,653128.991943985,-7048336.868587,-5189063.49365669,-4158066.44268329,-3798215.0775683,612809.824525952,-30251230.937261,-24906441.163941,-21702426.239476,-15905964.992819,1676953.33464396,-27595685.349974,-15564164.525612,-9303222.085803,-4164086.3286104,2942892.15110993,-64895253.15583,-45659669.1832089,-35163714.7679621,-23868266.398997,10539184.4104323,16642672.0276174,13394606.0026061,11957743.7025824,13540831.7740569,41716913.5300187,70758528.4007348,64090352.729926,61861079.467365,56117284.740474,46300400.8311221,65664642.0368075,40578576.61863,26695311.8453464,14902768.1573926,98556498.7715728,153065842.465161,118063535.351163,100514135.015294,84560884.6719229,11192313.402377,9594335.15903002,8205542.508949,7799677.25989901,9742616.69648901,42329723.354545,40507297.463474,39183911.565986,40158653.2278891,40211319.7476541,47977354.165766,38068956.686834,25014412.093018,17392089.759544,10738681.828782,101499390.92269,88170589.30934,72403866.16795,65350420.247332,60692618.272925,-640119.369250298,-5119762.28277521,-3747770.3208761,-3007648.3162104,-2744443.8600736,-3586014.963799,-21915815.68002,-17980932.400167,-15671803.905242,-11469558.947544,-3425936.759606,-20088621.738857,-11273558.814285,-6725526.3320782,-3012545.5492739,-7652071.09265602,-47124199.7016521,-33002261.535329,-25404978.55353,-17226548.356891,6714272.40646659,10326302.0052573,8200858.3395519,7240671.7812413,8031192.6942691,26551463.2044753,43892345.8931477,39240701.6837702,37461609.375259,33285632.76833,29461491.6095337,40748522.155358,24849637.7469106,16163811.7316631,8840125.8682598,62727227.2204756,94967170.0537627,72291197.770233,60866092.888163,50156951.330859,6074153.0372159,5206539.722482,4453088.0186758,4233023.46503089,5286748.83419541,22965448.240676,21976530.213127,21259769.283603,21789805.470017,21816073.820787,26035554.849928,20659900.416502,13576078.932624,9438285.399584,5827580.318986,55075156.12782,47842970.3521111,39288936.2349041,35461114.334633,32930402.973968,1129.73366223299,-29706.738984704,-35660.141996091,-43921.513584196,-52348.11043844,52.2775582042996,-1410.2295582311,-1671.1782784931,-2315.1696056783,-7255.77614462901,30197.2587789151,70148.7178344213,92107.532960902,125594.307053873,186303.18793515,1737.59498974262,3335.89098098544,4315.1061787276,6623.1850936117,25826.455120557,31326.992441148,40441.978849717,56447.390964811,81672.79346967,133955.07749671,1789.872547947,1925.6614227544,2643.9279002344,4308.0154879334,18570.678975927
"Bolivia","BOL","AMR","LMIC",12413315,11189.80551,0.052,0.1,0.148,0.223,0.477,1538.762960059,1856.2541039787,2231.1033348379,2529.97376493509,2983.7750747103,-192.466373912102,-1225.4752533266,-1986.6446208795,-1964.0538709692,-1668.4466946336,1731.22933397105,3081.72935730535,4217.7479557174,4494.0276359043,4652.2217693437,-127978.096241899,-644448.2806287,-764894.6923647,-632461.834483501,-571976.567426398,-467272.458783805,-2076983.1177801,-2668451.6903762,-2393022.6265521,-1720483.3013489,-402367.857165501,-2009706.5753928,-1798558.0352053,-1095261.5740779,-488717.7147261,-997618.412191004,-4731137.973802,-5231904.41794701,-4120746.0351135,-2781177.58350141,1311409.93642557,1654197.91455563,1625186.384474,1451552.51730199,1604979.9261518,3725320.01861493,5188916.27694568,5678680.7865158,5486726.0263638,4815414.2256076,4320392.60340005,5109488.7796621,3827173.50091247,2506500.2190304,1359504.9096401,9357122.55844053,11952602.9711634,11131040.6719023,9444778.7626962,7779899.0613995,1183431.8401837,1009749.633927,860291.692109302,819090.682818398,1033003.3587253,3258047.5598312,3111933.15916559,3010229.09613959,3093703.3998117,3094930.92425869,3918024.74623449,3099782.2042693,2028615.4657072,1411238.64495251,870787.194914002,8359504.146249,7221464.99736199,5899136.25395602,5324032.72758301,4998721.477898,-201089.2190102,-506979.198212801,-552729.433340931,-456999.98083162,-413512.79927862,-628724.611373097,-1619034.2050725,-1927048.0563122,-1728516.3145489,-1242994.9170827,-655811.178146802,-1576809.8119102,-1299926.8539818,-791149.2064083,-352882.89683309,-1485625.008531,-3702823.2151953,-3779704.3436349,-2976665.5017887,-2009390.6131945,846817.488719132,1057839.20422059,1021993.73608658,903839.54531406,977165.71700078,2405569.75543027,3316404.38538378,3569093.54343219,3416051.0050907,2931407.6213591,2793790.37711598,3268205.84488062,2406693.14692002,1561014.33407289,827888.891742039,6046177.62126537,7642449.43448497,6997780.4264388,5880904.8844776,4736462.2301018,645728.269708898,550860.0060078,469264.302745599,446839.564482501,563652.917722201,1776845.1440571,1697370.1803113,1642045.48712,1687534.6905418,1688412.70427641,2137979.1989692,1691396.03297041,1106766.2929382,769865.1276646,475005.994909,4560552.612735,3939626.21929,3218076.08280391,2904239.38268889,2727071.6169074,-103.498001392498,-723.3014062564,-1290.2408228484,-1434.6796668892,-1401.4229916106,-18.2889759079899,-104.374500342,-180.50827702156,-232.77785139946,-433.260084642661,935.185311612782,1818.08161699471,2739.44207587889,3282.6514925266,3907.5591602757,159.864525009823,261.682160417832,382.886053167746,532.33463064619,1207.07223007202,831.687310220201,1094.7802107383,1449.2012530306,1847.9718256374,2506.1361686651,141.57554910184,157.30766007584,202.377776146191,299.55677924673,773.812145429401
"Brazil","BRA","AMR","UMIC",211998573,22333.41166,0.037,0.078,0.125,0.194,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
