"code","oop_poorest","oop_poorer","oop_middle","oop_richer","oop_richest"
"AFG",0.5684,0.3981,0.3182,0.279,0.2936
"AFG",0.5744,0.3941,0.3267,0.2908,0.3169
"AFG",0.5805,0.4111,0.3376,0.3048,0.3338
"AFG",0.5778,0.4206,0.33,0.2907,0.3273
"AFG",0.5844,0.4126,0.3278,0.3061,0.3113
"AFG",0.5624,0.39,0.3259,0.2859,0.3029
"AFG",0.5696,0.3989,0.3191,0.2964,0.3224
"AFG",0.5641,0.3984,0.337,0.2965,0.3182
"AFG",0.5748,0.4003,0.3181,0.2855,0.2922
"AFG",0.5808,0.408,0.3254,0.3052,0.3167
"AFG",0.5705,0.3944,0.3339,0.2981,0.3033
"AFG",0.5614,0.3998,0.3195,0.2775,0.3168
"AFG",0.5541,0.3858,0.316,0.2964,0.3099
"AFG",0.5706,0.3945,0.3225,0.2785,0.2976
"AFG",0.5823,0.3959,0.3405,0.2943,0.3189
"AFG",0.5743,0.3939,0.3207,0.3009,0.2999
"AFG",0.5785,0.4086,0.3331,0.3048,0.3201
"AFG",0.5643,0.383,0.307,0.287,0.2968
"AFG",0.559,0.3838,0.3075,0.2807,0.3062
"AFG",0.5745,0.3921,0.332,0.2865,0.3098
"AFG",0.5812,0.4137,0.3387,0.2952,0.3249
"AFG",0.568,0.3981,0.3159,0.3034,0.3185
"AFG",0.5703,0.4175,0.3251,0.2913,0.3005
"AFG",0.5604,0.3797,0.3248,0.2823,0.2994
"AFG",0.5712,0.3989,0.3301,0.2918,0.3124
"AFG",0.5655,0.3921,0.32,0.2774,0.2961
"AFG",0.578,0.3806,0.3261,0.2875,0.3091
"AFG",0.5755,0.3989,0.3183,0.2772,0.3108
"AFG",0.5695,0.3939,0.322,0.3001,0.3151
"AFG",0.5739,0.4038,0.3229,0.2825,0.3158
"AFG",0.5689,0.378,0.3206,0.2926,0.2873
"AFG",0.5652,0.3987,0.3204,0.2953,0.304
"AFG",0.5916,0.42,0.3363,0.2911,0.3245
"AFG",0.5671,0.3985,0.3305,0.2885,0.3026
"AFG",0.5654,0.404,0.3328,0.2838,0.3135
"AFG",0.5638,0.4144,0.3104,0.2653,0.3069
"AFG",0.5782,0.3923,0.3254,0.3044,0.3001
"AFG",0.5599,0.3825,0.3183,0.2895,0.3064
"AFG",0.5664,0.405,0.3242,0.285,0.2988
"AFG",0.5817,0.3808,0.3176,0.2856,0.3019
"AFG",0.5784,0.393,0.3276,0.2875,0.3121
"AFG",0.5808,0.3955,0.3122,0.2921,0.2975
"AFG",0.5715,0.3923,0.3277,0.3116,0.3018
"AFG",0.566,0.3778,0.3214,0.2924,0.3146
"AFG",0.5663,0.3913,0.3213,0.2851,0.3
"AFG",0.5807,0.3906,0.3194,0.3038,0.3094
"AFG",0.5582,0.387,0.318,0.2978,0.3029
"AFG",0.5615,0.4036,0.3219,0.2779,0.3057
"AFG",0.5606,0.4116,0.3264,0.2877,0.2995
"AFG",0.5665,0.3858,0.3152,0.2753,0.2992
"AFG",0.5559,0.3951,0.3164,0.2803,0.3015
"AFG",0.5749,0.3868,0.3265,0.3022,0.3085
"AFG",0.5731,0.3987,0.3216,0.29,0.3127
"AFG",0.5636,0.3756,0.3131,0.2765,0.297
"AFG",0.5755,0.3878,0.317,0.2878,0.3117
"AFG",0.5795,0.3943,0.3227,0.3056,0.298
"AFG",0.5453,0.3913,0.3221,0.2771,0.3005
"AFG",0.5701,0.3993,0.3105,0.2878,0.3077
"AFG",0.5714,0.3956,0.3257,0.2894,0.3038
"AFG",0.5714,0.3916,0.3281,0.2822,0.3083
"AFG",0.5714,0.3936,0.3228,0.2996,0.3166
"AFG",0.5649,0.4027,0.3111,0.2885,0.3012
"AFG",0.563,0.39,0.3269,0.2905,0.3107
"AFG",0.5579,0.3881,0.3172,0.2732,0.3061
"AFG",0.5618,0.3968,0.3263,0.2949,0.3102
"AFG",0.5791,0.4005,0.3347,0.2887,0.3317
"AFG",0.5549,0.3806,0.3181,0.277,0.2852
"AFG",0.541,0.4003,0.3115,0.2728,0.2974
"AFG",0.5654,0.3731,0.3193,0.2733,0.2876
"AFG",0.5671,0.3984,0.3212,0.2959,0.2991
"AFG",0.5604,0.3798,0.3151,0.2862,0.3118
"AFG",0.5756,0.397,0.3339,0.2947,0.3086
"AFG",0.5785,0.3866,0.3143,0.2955,0.2996
"AFG",0.5734,0.3899,0.3328,0.2854,0.3235
"AFG",0.5784,0.3932,0.338,0.2948,0.3236
"AFG",0.5786,0.3857,0.314,0.2999,0.3008
"AFG",0.5627,0.4055,0.3227,0.2905,0.3138
"AFG",0.5543,0.3986,0.3132,0.2819,0.3169
"AFG",0.5655,0.3829,0.315,0.2755,0.292
"AFG",0.5602,0.3764,0.3213,0.2747,0.2924
"AFG",0.5605,0.3809,0.3129,0.2851,0.2974
"AFG",0.555,0.3958,0.3094,0.276,0.293
"AFG",0.5738,0.4034,0.3266,0.2816,0.3158
"AFG",0.5857,0.4102,0.3523,0.2975,0.3188
"AFG",0.5635,0.3777,0.3254,0.2937,0.2985
"AFG",0.5655,0.389,0.3201,0.282,0.304
"AFG",0.5758,0.4061,0.315,0.2952,0.3045
"AFG",0.5633,0.3998,0.316,0.2775,0.3111
"AFG",0.5893,0.4197,0.3451,0.3072,0.3195
"AFG",0.5672,0.403,0.3286,0.2981,0.3078
"AFG",0.5569,0.3918,0.3101,0.2878,0.2961
"AFG",0.5765,0.3989,0.3346,0.2931,0.3073
"AFG",0.5623,0.3971,0.3252,0.282,0.3228
"AFG",0.5823,0.3996,0.3364,0.3183,0.3201
"AFG",0.58,0.4003,0.3257,0.2983,0.3257
"AFG",0.5816,0.4024,0.3313,0.2983,0.3159
"AFG",0.5736,0.4077,0.3397,0.2945,0.2947
"AFG",0.5558,0.375,0.3133,0.273,0.285
"AFG",0.5829,0.3935,0.3297,0.2981,0.3012
"AFG",0.5746,0.4059,0.3157,0.2864,0.3239
"AFG",0.5817,0.4071,0.3255,0.299,0.3307
"AFG",0.5694,0.3903,0.326,0.2934,0.3044
"AFG",0.5658,0.3867,0.3202,0.2832,0.2986
"AFG",0.5855,0.3982,0.3401,0.2916,0.3301
"AFG",0.5654,0.3936,0.3337,0.2927,0.3031
"AFG",0.5737,0.4044,0.3195,0.2979,0.3165
"AFG",0.5697,0.3964,0.3237,0.2944,0.3033
"AFG",0.5739,0.3898,0.3167,0.2895,0.3092
"AFG",0.5579,0.3903,0.3175,0.2837,0.3138
"AFG",0.5661,0.3864,0.3168,0.2825,0.2973
"AFG",0.5612,0.3719,0.318,0.2923,0.292
"AFG",0.5715,0.3819,0.3161,0.2737,0.2956
"AFG",0.5642,0.4027,0.3221,0.2839,0.2948
"AFG",0.5644,0.4025,0.3265,0.2824,0.3158
"AFG",0.5654,0.3988,0.3301,0.2958,0.3055
"AFG",0.56,0.3701,0.3171,0.2841,0.3044
"AFG",0.5624,0.3899,0.3127,0.2883,0.2984
"AFG",0.5615,0.3817,0.3103,0.2749,0.2975
"AFG",0.5702,0.3912,0.3215,0.2823,0.3094
"AFG",0.571,0.4015,0.3217,0.2786,0.3015
"AFG",0.5792,0.3854,0.3333,0.2902,0.3074
"AFG",0.5805,0.4009,0.3133,0.3013,0.3144
"AFG",0.563,0.3797,0.3212,0.2837,0.302
"AFG",0.562,0.387,0.3136,0.2869,0.3237
"AFG",0.5802,0.4023,0.3423,0.2905,0.3056
"AFG",0.5729,0.3858,0.3251,0.2905,0.3069
"AFG",0.5791,0.3832,0.3266,0.2843,0.3116
"AFG",0.5638,0.3869,0.329,0.2932,0.3053
"AFG",0.5695,0.393,0.3154,0.2833,0.3211
"AFG",0.5692,0.3944,0.3202,0.2781,0.3004
