country,code,region,income,GDPpc,pop_scen_usaid,pop_scen_usaid_USA_expcut,pop_scen_usaid_USA,pop_scen_usaid_gf_expcut_noNGO,pop_scen_usaid_gf,cc_scen_usaid,cc_scen_usaid_USA_expcut,cc_scen_usaid_USA,cc_scen_usaid_gf_expcut_noNGO,cc_scen_usaid_gf
Afghanistan,AFG,EMR,LIC,415.71,1524288.11,1523074.485,1522955.961,1522555.357,1517857.183,0.072827739,0.264402363,0.28307167,0.345994631,1.039351421
Angola,AGO,AFR,LMIC,2308.16,1412972.218,1412679.561,1412656.072,1412581.749,1412039.528,0,0.026049203,0.028148992,0.034801641,0.08371329
Argentina,ARG,AMR,UMIC,14187.48,1278484.111,1278484.111,1278484.111,1278484.111,1278484.111,0,0,0,0,0
Azerbaijan,AZE,EUR,UMIC,7125.91,281840.2601,281837.6859,281837.4863,281836.8612,281832.5833,0,0.005783592,0.006232613,0.007639196,0.017285228
Burundi,BDI,AFR,LIC,193.01,487104.6784,487066.8009,487063.739,487054.0301,486982.174,0,0.021868994,0.023642511,0.02927192,0.071189026
Benin,BEN,AFR,LMIC,1394.37,505165.9172,505098.879,505092.6037,505071.6808,504844.9184,0,0.057730584,0.063210035,0.081570803,0.289025889
Burkina Faso,BFA,AFR,LIC,882.69,834786.0473,834744.6663,834740.3953,834725.5964,834485.4735,0,0.080083464,0.088576743,0.118326525,0.665651283
Bangladesh,BGD,SEAR,LMIC,2551.02,4991248.636,4989692.961,4989560.27,4989132.173,4985578.852,0.026093998,0.058959505,0.061770583,0.070846932,0.146453991
Bolivia,BOL,AMR,LMIC,3686.28,382712.0498,382689.1619,382687.1771,382680.7375,382625.0355,0,0.030438403,0.033109748,0.041811631,0.119274142
Brazil,BRA,AMR,UMIC,10294.87,5909375.698,5909375.698,5909375.698,5909375.698,5909375.698,0,0,0,0,0
Bhutan,BTN,SEAR,LMIC,3711.33,21963.04993,21955.39831,21954.62719,21951.98483,21914.87781,0,0.052347699,0.057690584,0.076087493,0.345171666
China,CHN,WPR,UMIC,12614.06,35991690.57,35991690.57,35991690.57,35991690.57,35991690.57,0,0,0,0,0
DRC,COD,AFR,LIC,627.5,4108254.639,4102574.446,4102030.316,4100203.513,4079817.178,0.141493889,0.270100978,0.282226137,0.322637968,0.734951654
