A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.53197	1.16605	0.71159	0.55898	0.82148	1.1107	1.25006	1.09451	0.73184	0.52764	0.55872	0.52847	0.37776	0.29128	0.20116	0.15561
1.42804	5.97263	1.3918	0.60542	0.4582	0.92896	1.22205	1.22967	1.05695	0.6245	0.52074	0.47901	0.40646	0.29302	0.19979	0.15576
0.5029	2.25521	8.93897	1.19663	0.60425	0.62128	0.82421	1.14411	1.17995	0.78098	0.54633	0.37953	0.28625	0.26444	0.212	0.16505
0.37295	0.61441	2.96797	8.84007	1.49816	0.79586	0.61876	0.93829	1.00081	0.91543	0.59813	0.37867	0.27152	0.21795	0.17112	0.14442
0.50607	0.45138	0.52529	2.4124	3.63172	1.70191	1.03638	0.83586	0.81007	0.90944	0.67277	0.47964	0.29489	0.21006	0.20643	0.16352
0.87544	0.53987	0.39635	0.96737	2.14116	2.77776	1.73386	1.28218	1.02789	0.91561	0.92769	0.602	0.40934	0.26841	0.19454	0.15224
0.8227	0.95937	0.80303	0.56195	1.14686	1.71836	2.17696	1.69222	1.22956	0.9392	0.82383	0.70003	0.48388	0.29878	0.19681	0.1698
0.78057	1.06658	0.96035	0.86511	0.85757	1.3628	1.67609	2.26911	1.76761	1.14122	0.88125	0.61785	0.51924	0.37169	0.26311	0.17943
0.59208	0.80075	1.05813	1.00148	1.04402	1.1735	1.50898	1.70982	2.02958	1.38814	1.00053	0.50906	0.47372	0.3606	0.26045	0.21263
0.39109	0.49326	0.69558	1.11266	1.0267	1.03859	1.17139	1.35774	1.41382	1.49419	1.08481	0.62306	0.39988	0.29774	0.25692	0.2073
0.41526	0.43859	0.65323	0.91305	1.18632	1.37645	1.16355	1.10585	1.36799	1.43682	1.26179	0.91754	0.49803	0.28391	0.24956	0.21323
0.55467	0.53556	0.54358	0.63318	0.87388	1.25909	1.33413	1.04535	1.04556	0.86884	1.07723	1.00555	0.67299	0.37479	0.22932	0.18905
0.57713	0.53146	0.44792	0.50408	0.67027	0.92011	1.04068	1.1354	0.922	0.70053	0.67975	0.82091	0.73013	0.51311	0.32066	0.19935
0.41393	0.51388	0.44108	0.36827	0.52749	0.675	0.92199	0.95252	0.89021	0.55161	0.56118	0.61264	0.60878	0.57678	0.34102	0.20292
0.25368	0.46016	0.47283	0.58005	0.39871	0.56591	0.58172	0.87776	0.96805	0.73311	0.55585	0.47795	0.71543	0.62515	0.55055	0.26918
0.32049	0.34882	0.46999	0.45679	0.33864	0.35974	0.54645	0.63631	0.68291	0.70567	0.65243	0.44903	0.35285	0.45001	0.39121	0.25386
