A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
1.80599	1.20063	0.82415	0.61671	0.95746	1.3656	1.39856	1.03396	0.65621	0.42087	0.44144	0.38157	0.29784	0.22911	0.18069	0.15018
1.47234	5.46414	1.60003	0.70436	0.51504	1.13802	1.44532	1.22444	0.96757	0.53552	0.43944	0.37044	0.32471	0.23447	0.1816	0.15036
0.5862	2.42841	9.32175	1.3619	0.70471	0.7464	0.97925	1.16137	1.0955	0.68331	0.47709	0.3184	0.24555	0.21679	0.18911	0.15748
0.41523	0.7016	3.25594	9.35924	1.72818	0.96818	0.70061	0.94836	0.92646	0.77811	0.51296	0.31609	0.23554	0.18778	0.15946	0.14112
0.5729	0.48983	0.60268	2.69517	4.05681	2.05094	1.14959	0.77684	0.71317	0.73256	0.53509	0.36328	0.24462	0.18131	0.1833	0.15497
1.00779	0.59665	0.44424	1.09495	2.47359	3.29093	2.01304	1.29536	0.98121	0.81825	0.80062	0.49604	0.36164	0.23859	0.18565	0.14963
0.94859	1.0814	0.94675	0.63251	1.32104	2.10603	2.48047	1.74512	1.20028	0.87804	0.72863	0.57559	0.41374	0.25858	0.18241	0.16388
0.90049	1.2132	1.13646	0.96682	0.97192	1.61923	1.96009	2.27335	1.71901	1.07105	0.82362	0.52948	0.42507	0.29801	0.23613	0.17483
0.69046	0.92247	1.25152	1.14135	1.19455	1.39161	1.76778	1.78616	1.93827	1.31434	0.95202	0.4704	0.41927	0.29886	0.23629	0.21065
0.44981	0.56866	0.82566	1.27748	1.20036	1.26682	1.38902	1.478	1.44669	1.40555	1.02041	0.59169	0.37015	0.27097	0.23893	0.20011
0.49935	0.51365	0.80608	1.10468	1.4496	1.78101	1.45401	1.24536	1.47515	1.4541	1.21478	0.83263	0.45044	0.25023	0.23718	0.21258
0.68563	0.65209	0.68297	0.774	1.07862	1.66773	1.70613	1.16566	1.10835	0.87501	1.00721	0.81104	0.55763	0.30205	0.20739	0.18483
0.69612	0.63471	0.56829	0.61091	0.82568	1.22611	1.34276	1.24171	0.9366	0.67887	0.62804	0.65018	0.52343	0.37312	0.26568	0.19401
0.50932	0.62735	0.55345	0.44404	0.6497	0.89559	1.19547	1.02233	0.87284	0.48973	0.48454	0.45393	0.44886	0.37519	0.2771	0.18808
0.30147	0.56806	0.58423	0.69645	0.46252	0.7332	0.7213	0.92863	0.91049	0.61608	0.45918	0.34918	0.50474	0.41475	0.39927	0.23487
0.37756	0.4131	0.58903	0.54691	0.39636	0.45075	0.68129	0.69596	0.67014	0.59907	0.53179	0.33378	0.27439	0.31876	0.30303	0.21993
