A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
1.94483	1.0894	0.72738	0.59442	0.93632	1.11129	1.08331	0.85346	0.61786	0.46244	0.46686	0.41371	0.29829	0.23755	0.18324	0.1533
1.36982	5.5093	1.40717	0.59615	0.48222	1.00712	1.1539	1.02025	0.87196	0.55148	0.44723	0.38896	0.32839	0.2386	0.17938	0.15427
0.51245	2.24292	8.71127	1.19517	0.62342	0.65384	0.84557	1.02915	1.01107	0.69841	0.48195	0.33868	0.25135	0.2236	0.1897	0.16361
0.38467	0.59847	2.82806	8.31762	1.50904	0.79153	0.59078	0.84791	0.84862	0.78035	0.47862	0.31093	0.22715	0.18871	0.15941	0.14412
0.54897	0.46554	0.53155	2.41963	3.53827	1.72762	1.00499	0.78434	0.75094	0.81471	0.57534	0.40401	0.26267	0.19236	0.19723	0.16261
0.85431	0.57871	0.41711	0.97389	2.18929	2.75652	1.68874	1.22115	0.99974	0.88574	0.85168	0.54376	0.37135	0.24404	0.19028	0.15213
0.75834	0.95975	0.88923	0.58923	1.18996	1.77334	2.02881	1.56657	1.17179	0.9173	0.79195	0.65816	0.44381	0.27674	0.18618	0.16966
0.7083	0.99984	0.9831	0.91589	0.90558	1.43225	1.65331	2.00717	1.67896	1.11064	0.86571	0.59691	0.47921	0.33482	0.24749	0.18098
0.58823	0.74834	1.03391	0.99144	1.11291	1.24423	1.51268	1.61709	1.83656	1.35479	0.9927	0.50262	0.44687	0.32371	0.25187	0.21924
0.38866	0.46708	0.66314	1.05732	1.04182	1.10126	1.18813	1.29847	1.35334	1.3685	1.0419	0.6097	0.38451	0.28502	0.25544	0.22133
0.38135	0.41939	0.62875	0.86186	1.16957	1.44741	1.19633	1.09239	1.35956	1.4227	1.16582	0.87541	0.47165	0.26963	0.24335	0.22461
0.49276	0.50064	0.5573	0.59593	0.86481	1.31	1.36053	1.02699	1.04152	0.86259	1.03569	0.91233	0.62059	0.33479	0.22031	0.19494
0.45007	0.46105	0.43837	0.46738	0.6647	0.94503	1.01637	1.06066	0.87809	0.6964	0.63416	0.76131	0.60708	0.45306	0.2995	0.2024
0.3421	0.42968	0.40007	0.34505	0.51326	0.68263	0.85835	0.83546	0.78816	0.52061	0.50483	0.53883	0.54251	0.45972	0.30927	0.20392
0.2348	0.43734	0.46417	0.59351	0.41228	0.57176	0.56536	0.78671	0.90085	0.76392	0.52487	0.43602	0.64191	0.56495	0.48064	0.29654
0.25816	0.28752	0.38507	0.37182	0.32513	0.34537	0.50155	0.52333	0.56671	0.66767	0.55199	0.38164	0.30604	0.37665	0.34949	0.25298
