A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.5789	1.4063	0.84429	0.61225	0.8763	1.1294	1.17085	0.94521	0.6395	0.46783	0.47827	0.43484	0.32328	0.25785	0.18242	0.15122
1.6553	6.19064	1.63838	0.67749	0.48229	0.95067	1.17239	1.08918	0.93494	0.56975	0.46523	0.40801	0.35188	0.26192	0.18233	0.1514
0.64949	2.6761	9.88511	1.33999	0.65053	0.64647	0.81087	1.04067	1.06366	0.72803	0.50431	0.34531	0.26102	0.24029	0.19119	0.15958
0.45715	0.76934	3.44539	9.79791	1.62204	0.82972	0.61317	0.86586	0.90141	0.84717	0.54569	0.34718	0.25013	0.20356	0.16077	0.14184
0.64047	0.53626	0.61058	2.71633	3.88602	1.72467	0.97783	0.73481	0.70589	0.80047	0.57843	0.40682	0.26277	0.19514	0.18936	0.15769
1.12448	0.64176	0.44201	1.05831	2.28106	2.82906	1.67745	1.17585	0.9482	0.84357	0.82776	0.52861	0.37307	0.25101	0.18613	0.14984
1.06628	1.17878	0.94846	0.61341	1.22294	1.7771	2.11021	1.55523	1.14535	0.89153	0.75068	0.61523	0.43367	0.2769	0.18307	0.1652
1.00844	1.34186	1.14486	0.94112	0.91091	1.41091	1.65118	2.07492	1.64812	1.09056	0.83429	0.55882	0.45628	0.33296	0.23943	0.17577
0.75006	1.01193	1.27048	1.10561	1.11475	1.22319	1.50757	1.60313	1.88018	1.33471	0.96085	0.48323	0.43669	0.32772	0.23954	0.21028
0.47015	0.61266	0.82518	1.23963	1.10303	1.09086	1.18853	1.309	1.35177	1.42557	1.02203	0.59447	0.37641	0.28329	0.23964	0.20087
0.52998	0.54748	0.78484	1.03818	1.29821	1.4718	1.20181	1.09265	1.35728	1.42611	1.21354	0.85377	0.46412	0.26737	0.23592	0.21093
0.72508	0.68278	0.66957	0.73736	0.97541	1.36846	1.38068	1.0288	1.05415	0.89123	1.0424	0.90863	0.61068	0.34399	0.21282	0.18705
0.74612	0.67237	0.55354	0.57618	0.74633	0.99637	1.05454	1.06388	0.88153	0.70265	0.65404	0.73091	0.6189	0.44931	0.27914	0.1981
0.528	0.64854	0.53049	0.41854	0.58262	0.73157	0.92029	0.84885	0.79994	0.51974	0.51791	0.5234	0.5193	0.48392	0.29686	0.19543
0.30504	0.57465	0.56167	0.65702	0.42683	0.58859	0.56482	0.77466	0.83959	0.65236	0.48353	0.39724	0.58581	0.5231	0.43944	0.24797
0.39703	0.42543	0.55971	0.50847	0.36123	0.37354	0.53314	0.57013	0.60288	0.62737	0.56517	0.37637	0.30428	0.38681	0.32567	0.23307
