A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.65294	1.9849	1.32479	0.74315	0.83201	1.12431	1.13784	0.77963	0.48166	0.37553	0.32904	0.3288	0.2609	0.22305	0.17436	0.14492
1.95995	5.68616	2.36566	0.84859	0.46476	0.93687	1.12267	0.87479	0.66498	0.45267	0.33263	0.32385	0.28435	0.22816	0.17624	0.14508
0.9738	3.03756	9.10762	1.4987	0.619	0.61871	0.7719	0.7965	0.70692	0.533	0.34101	0.26258	0.21705	0.21371	0.18395	0.14946
0.65188	1.15547	3.76643	8.08492	1.47783	0.8145	0.57884	0.67869	0.61371	0.60413	0.37047	0.26531	0.215	0.189	0.15914	0.13814
0.90174	0.78542	0.9252	3.12696	3.48982	1.81715	1.06147	0.71813	0.60569	0.6731	0.45783	0.34929	0.2519	0.18809	0.19111	0.15251
1.5873	0.89134	0.62669	1.28186	2.20999	2.8272	1.76413	1.12427	0.87087	0.77147	0.67764	0.46359	0.34677	0.24035	0.18583	0.14805
1.52424	1.6473	1.40097	0.73097	1.22027	1.85513	2.10863	1.43973	1.02693	0.84079	0.62562	0.52937	0.37978	0.25455	0.17745	0.1582
1.48798	1.95671	1.68692	1.0901	0.91178	1.46767	1.71476	1.8332	1.43258	1.01539	0.75131	0.4985	0.38157	0.28839	0.22717	0.16991
1.11366	1.52853	1.89078	1.2653	1.09258	1.28344	1.60109	1.49359	1.57006	1.23327	0.87114	0.45727	0.39579	0.29483	0.22832	0.20656
0.65857	0.94447	1.23332	1.43172	1.05934	1.13736	1.25385	1.26514	1.19539	1.25515	0.86003	0.55772	0.34774	0.26638	0.23026	0.18891
0.81634	0.84928	1.21257	1.26487	1.2561	1.5164	1.27467	1.04944	1.22145	1.29451	0.99031	0.73968	0.40654	0.24356	0.22987	0.20111
1.11886	1.08413	0.97836	0.92047	0.95593	1.41195	1.44669	0.94932	0.90529	0.81078	0.80419	0.69376	0.48133	0.29505	0.2003	0.17668
1.1582	1.08271	0.87158	0.74955	0.74393	1.04056	1.11361	0.95445	0.72091	0.62862	0.518	0.56461	0.42295	0.34675	0.24886	0.18322
0.84109	1.08292	0.90624	0.54957	0.60043	0.78242	0.99995	0.75713	0.6298	0.44488	0.39203	0.40221	0.37493	0.33446	0.25841	0.17473
0.45396	0.95689	0.91064	0.84124	0.41614	0.62459	0.59296	0.67026	0.60762	0.51672	0.34651	0.30296	0.41029	0.37266	0.33887	0.20405
0.60507	0.67279	0.94191	0.673	0.36486	0.39962	0.57619	0.52373	0.4703	0.50715	0.39574	0.30057	0.24268	0.30547	0.27177	0.19038
