A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.29744	1.76983	1.03146	0.66595	0.90894	1.10499	1.04221	0.80425	0.55142	0.36859	0.36834	0.29436	0.22499	0.20066	0.15235	0.13779
2.00434	6.76126	1.99252	0.77518	0.50154	0.9549	1.12565	0.99876	0.84768	0.49855	0.3956	0.30295	0.24976	0.20768	0.15424	0.1379
0.86905	3.07983	9.37659	1.46287	0.68133	0.62344	0.7515	0.91065	0.91326	0.60108	0.40789	0.2669	0.20205	0.19311	0.15652	0.14209
0.5654	1.02329	3.29721	8.29579	1.64191	0.78649	0.52916	0.71032	0.74018	0.64453	0.41456	0.24895	0.19062	0.171	0.14264	0.13344
0.81849	0.67143	0.73093	2.96396	3.88466	1.66974	0.87305	0.60437	0.58385	0.63278	0.44504	0.28968	0.20042	0.16634	0.15873	0.14148
1.45948	0.78296	0.48536	1.12148	2.29143	2.62095	1.49567	0.97884	0.76906	0.66906	0.6339	0.38194	0.27859	0.20626	0.16336	0.13998
1.4137	1.49676	1.11466	0.63893	1.19655	1.66907	1.82677	1.30495	0.93213	0.69652	0.57249	0.43305	0.307	0.22032	0.15647	0.1473
1.33081	1.77011	1.37647	0.92788	0.85174	1.25248	1.42768	1.66222	1.2984	0.82437	0.61491	0.39377	0.30832	0.24769	0.18627	0.1544
0.95835	1.35954	1.54444	1.16739	1.04279	1.05927	1.27216	1.29997	1.45882	1.00047	0.69714	0.35058	0.30573	0.2458	0.18682	0.17628
0.54638	0.79638	0.96116	1.28699	1.06368	0.95738	0.98217	1.04993	1.06607	1.06192	0.75151	0.42231	0.27358	0.22311	0.18817	0.16605
0.70382	0.7337	0.91843	1.11885	1.31	1.34946	1.00495	0.86032	1.03329	1.04811	0.84616	0.56175	0.31322	0.20944	0.1841	0.17142
0.95952	0.88172	0.70224	0.78051	0.97777	1.29303	1.19445	0.81951	0.78911	0.64452	0.7238	0.54299	0.3696	0.24795	0.16628	0.15471
1.00218	0.90343	0.6266	0.6522	0.76033	0.96582	0.9686	0.9092	0.71706	0.52919	0.47355	0.45207	0.35602	0.30416	0.19489	0.15798
0.71427	0.89943	0.66107	0.46868	0.62077	0.72954	0.88634	0.78173	0.70548	0.42715	0.39897	0.34554	0.31682	0.31357	0.2005	0.15616
0.40022	0.81314	0.711	0.76661	0.45268	0.61443	0.55867	0.72356	0.75777	0.54795	0.39312	0.28051	0.35522	0.3482	0.26233	0.18061
0.52457	0.5738	0.71516	0.58782	0.38506	0.38659	0.52785	0.55139	0.55711	0.53034	0.45009	0.26758	0.2149	0.27444	0.21491	0.17219
