A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.17339	1.59021	1.01558	0.66127	0.90524	1.12304	1.09661	0.89834	0.59412	0.41796	0.41489	0.35318	0.24856	0.19527	0.16021	0.14034
1.6456	6.12588	1.96446	0.75615	0.48248	0.94305	1.14283	1.06847	0.88186	0.52506	0.41087	0.34007	0.27025	0.19997	0.16109	0.14055
0.68741	2.8435	9.78824	1.48353	0.66362	0.62236	0.77682	1.01197	0.99874	0.66566	0.44376	0.29552	0.21478	0.18719	0.16516	0.1457
0.46375	0.89187	3.64907	9.52394	1.63321	0.8014	0.56528	0.81719	0.84248	0.76557	0.47633	0.29302	0.20607	0.16785	0.14633	0.13501
0.66965	0.596	0.71807	3.01597	3.93662	1.66948	0.89805	0.65745	0.63206	0.7248	0.49707	0.3355	0.21269	0.16508	0.16463	0.14449
1.18131	0.71187	0.47672	1.10528	2.24509	2.67471	1.53001	1.04225	0.80542	0.72581	0.69261	0.42827	0.29535	0.20443	0.16699	0.14139
1.12553	1.35414	1.12153	0.62875	1.1657	1.66269	1.91708	1.4056	0.97657	0.74443	0.61992	0.48788	0.33083	0.21803	0.16291	0.15043
1.05246	1.56547	1.42004	0.95812	0.8498	1.28022	1.49357	1.88227	1.41734	0.91495	0.677	0.44778	0.34251	0.24556	0.19964	0.15894
0.75144	1.16846	1.55391	1.1885	0.9909	0.99386	1.21714	1.31432	1.48445	0.99538	0.67104	0.34499	0.30708	0.23237	0.1912	0.17254
0.44517	0.68512	0.93516	1.28539	1.03583	0.90393	0.93119	1.0344	1.04426	1.10042	0.7546	0.41816	0.27167	0.21028	0.19056	0.1679
0.56011	0.63777	0.89024	1.10671	1.28351	1.32299	0.98751	0.87716	1.03675	1.09432	0.90058	0.61264	0.32754	0.20204	0.1892	0.17376
0.74798	0.74039	0.63396	0.7385	0.93175	1.22873	1.12892	0.79833	0.73051	0.61524	0.71408	0.5894	0.38065	0.22937	0.17016	0.15412
0.79769	0.78126	0.58945	0.63007	0.73644	0.94828	0.96725	0.96143	0.73522	0.55022	0.49566	0.52252	0.4142	0.28974	0.21176	0.16014
0.56597	0.76654	0.63369	0.4499	0.59576	0.71279	0.88924	0.84414	0.74378	0.46213	0.42818	0.40717	0.3584	0.31308	0.22049	0.16185
0.32867	0.69567	0.69502	0.74322	0.44072	0.60744	0.57201	0.7936	0.81761	0.61289	0.4328	0.33152	0.41161	0.33652	0.31504	0.19578
0.4163	0.49588	0.68989	0.56907	0.37272	0.37924	0.53214	0.58791	0.58897	0.59236	0.49724	0.31104	0.23588	0.26121	0.24521	0.18698
