A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.39733	1.30672	0.74027	0.47743	0.82128	1.17768	1.12669	0.8323	0.52829	0.41602	0.49901	0.48975	0.32254	0.21722	0.17563	0.14876
1.67523	5.86309	1.52239	0.55926	0.402	0.91091	1.21105	1.05062	0.82849	0.47883	0.41046	0.39465	0.32607	0.21571	0.18309	0.15105
0.70728	2.80501	9.57551	1.13267	0.58024	0.607	0.81394	1.07826	1.02401	0.67109	0.46857	0.33008	0.24066	0.19372	0.18551	0.15741
0.45446	0.77793	3.34997	8.78637	1.44895	0.80625	0.5923	0.82637	0.88467	0.81589	0.5292	0.31371	0.22047	0.16981	0.1539	0.13915
0.74243	0.50382	0.56692	2.31423	3.39381	1.78537	0.99704	0.66506	0.61304	0.81706	0.63921	0.42887	0.24622	0.17671	0.17546	0.14741
1.37292	0.61935	0.387	0.88286	2.09933	2.68201	1.69326	1.08444	0.82664	0.75516	0.84613	0.55561	0.36369	0.22242	0.17694	0.1461
1.26887	1.30791	0.9281	0.50555	1.08398	1.77548	2.05277	1.50494	1.00596	0.77715	0.67036	0.61934	0.42978	0.24523	0.17952	0.15708
1.14371	1.46316	1.25606	0.85433	0.78423	1.3757	1.72086	1.90561	1.53398	0.96008	0.73031	0.52127	0.44966	0.28139	0.22896	0.17048
0.77865	1.02023	1.28806	1.06837	0.98846	1.15657	1.49172	1.55387	1.71096	1.26218	0.85863	0.45297	0.3862	0.2596	0.22022	0.20719
0.50586	0.53329	0.73833	1.14269	1.1458	1.07202	1.17278	1.1918	1.28087	1.35314	1.00758	0.54853	0.33923	0.24628	0.21174	0.18891
0.62096	0.51554	0.64975	0.8456	1.23513	1.48914	1.14907	0.98491	1.17867	1.30011	1.16265	0.8189	0.41158	0.22887	0.20398	0.18665
0.97484	0.64286	0.56514	0.54689	0.91286	1.43508	1.37993	0.89855	0.87502	0.69378	0.94682	0.87102	0.56271	0.26198	0.17789	0.15704
0.98357	0.67209	0.46866	0.45222	0.65917	1.03998	1.09435	1.01522	0.7	0.54361	0.48575	0.70946	0.57869	0.35632	0.2284	0.15781
0.74205	0.73814	0.49373	0.34425	0.56108	0.76777	0.99282	0.8742	0.64695	0.41604	0.39118	0.45898	0.51283	0.35764	0.25876	0.15855
0.4577	0.82952	0.66659	0.64242	0.39916	0.65862	0.66871	0.88401	0.8199	0.54136	0.41123	0.35014	0.56441	0.42365	0.35656	0.22043
0.52509	0.52158	0.74465	0.47248	0.34157	0.37944	0.62429	0.70588	0.69545	0.60212	0.46315	0.29103	0.25637	0.2917	0.27389	0.19323
