A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
1.72062	1.38692	0.84954	0.56045	0.79366	1.07293	1.18066	1.03091	0.75737	0.50313	0.50473	0.39404	0.27094	0.21457	0.16314	0.14256
1.56366	5.87513	1.6707	0.64793	0.4439	0.92039	1.25538	1.2469	1.13238	0.63904	0.48127	0.37957	0.29417	0.22001	0.16418	0.14265
0.63108	2.60641	9.00971	1.25519	0.59585	0.61178	0.84005	1.1551	1.26481	0.80687	0.50796	0.31408	0.22567	0.2029	0.16862	0.14813
0.43501	0.80046	3.20157	8.3834	1.4417	0.78111	0.608	0.92786	1.06579	0.942	0.55968	0.31062	0.21557	0.17734	0.14829	0.13634
0.62357	0.53792	0.61415	2.50139	3.41693	1.58697	0.95021	0.70685	0.76482	0.88424	0.57417	0.3521	0.21188	0.16829	0.16187	0.14499
1.11312	0.65725	0.43675	0.982	2.04611	2.66577	1.71323	1.21237	0.98991	0.89249	0.83826	0.47724	0.32041	0.21998	0.17175	0.14362
1.05601	1.24273	0.96243	0.57295	1.10318	1.6952	2.17761	1.67727	1.24744	0.9216	0.75474	0.55967	0.3692	0.2399	0.16714	0.15433
0.98548	1.42052	1.19532	0.87355	0.81627	1.31511	1.68156	2.22432	1.79918	1.12141	0.80017	0.50274	0.37827	0.27477	0.2084	0.16392
0.7206	1.06648	1.32378	1.05171	1.0035	1.13465	1.50651	1.69647	2.08923	1.38777	0.91754	0.43481	0.36962	0.27359	0.20913	0.19308
0.44006	0.63086	0.82436	1.13901	0.97502	0.96779	1.09934	1.27375	1.38733	1.43695	0.95306	0.49466	0.30693	0.23543	0.20336	0.1768
0.53839	0.57927	0.78203	0.96761	1.17405	1.35973	1.14911	1.06504	1.36334	1.4177	1.12765	0.71715	0.36905	0.22141	0.20025	0.1841
0.72432	0.69845	0.58827	0.65276	0.84617	1.23495	1.31718	0.98783	1.00341	0.82163	0.92422	0.69213	0.43273	0.25831	0.1768	0.16083
0.78097	0.73198	0.53226	0.54697	0.6647	0.9339	1.09346	1.16328	0.98737	0.71418	0.61874	0.59441	0.45617	0.32904	0.21968	0.16705
0.54627	0.71888	0.55897	0.39637	0.53325	0.69198	0.99285	1.01481	0.99859	0.5851	0.51983	0.44985	0.38785	0.35195	0.22654	0.16603
0.31112	0.62724	0.59168	0.62768	0.39688	0.58667	0.62074	0.92811	1.0813	0.78199	0.5212	0.36059	0.44692	0.37938	0.32227	0.20249
0.41331	0.4728	0.61397	0.51465	0.3447	0.37574	0.59051	0.70167	0.79248	0.77284	0.6287	0.34605	0.25194	0.2953	0.25261	0.19326
