A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.17765	1.64466	0.82187	0.4969	0.72306	1.16603	1.41935	1.07466	0.70618	0.51619	0.51264	0.47452	0.30386	0.21629	0.16116	0.14072
1.90501	7.06251	1.61324	0.54862	0.4218	0.96789	1.38807	1.21937	1.03337	0.61956	0.49465	0.43829	0.33363	0.22237	0.16399	0.141
0.75086	2.95113	9.58015	1.06842	0.5481	0.64343	0.92112	1.12726	1.13535	0.76841	0.51807	0.35688	0.24958	0.20533	0.16709	0.14645
0.50823	0.88914	3.52209	8.93066	1.33564	0.8378	0.69301	0.94182	0.97779	0.91698	0.58064	0.36575	0.24183	0.18161	0.14755	0.13518
0.72526	0.58965	0.58489	2.15721	3.15012	1.69378	1.08648	0.73421	0.70377	0.83035	0.58475	0.41524	0.24038	0.17522	0.168	0.14513
1.28691	0.69966	0.42283	0.85937	1.8887	2.74499	1.87912	1.20847	0.94616	0.85007	0.82955	0.5353	0.35007	0.22515	0.17466	0.14377
1.23718	1.326	0.90561	0.51006	1.03762	1.75976	2.33933	1.63908	1.16796	0.89352	0.7429	0.62091	0.40421	0.24398	0.16664	0.15343
1.1737	1.54716	1.1071	0.7839	0.78664	1.387	1.8487	2.15721	1.69534	1.10031	0.82198	0.56008	0.42151	0.27682	0.20873	0.16468
0.85806	1.17554	1.23175	0.89989	0.95927	1.20569	1.66849	1.69532	1.93726	1.37402	0.95833	0.48509	0.41065	0.27617	0.21055	0.19758
0.5177	0.6933	0.79937	1.01236	0.95029	1.07788	1.28517	1.36047	1.39975	1.46529	1.03865	0.59823	0.35793	0.25432	0.2118	0.17997
0.6148	0.63093	0.75704	0.83944	1.08216	1.43402	1.27763	1.0932	1.3336	1.41226	1.17345	0.84843	0.42434	0.23184	0.2049	0.18662
0.85022	0.76486	0.59233	0.56945	0.78253	1.29312	1.45541	0.97322	0.9421	0.79703	0.94476	0.82663	0.51422	0.26999	0.177	0.16049
0.86809	0.7702	0.49789	0.4591	0.59182	0.93761	1.15649	1.06612	0.83106	0.63334	0.58259	0.68126	0.51565	0.33241	0.21433	0.16127
0.6313	0.77181	0.52527	0.3459	0.48999	0.71584	1.07633	0.93445	0.83073	0.52694	0.50784	0.53381	0.45864	0.35182	0.22388	0.16226
0.36176	0.70389	0.56873	0.53791	0.36566	0.60373	0.67382	0.86954	0.91195	0.68729	0.50392	0.41726	0.53366	0.39074	0.31065	0.19475
0.46637	0.50203	0.57793	0.41963	0.31563	0.38065	0.63681	0.64834	0.66572	0.67482	0.58209	0.39194	0.28148	0.30078	0.24465	0.18454
