A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.11871	2.41844	1.25979	0.63572	0.78491	0.95974	0.82831	0.71801	0.47388	0.34973	0.33772	0.2964	0.22286	0.18708	0.14977	0.13749
2.54553	6.25373	2.28171	0.7288	0.45888	0.8734	0.86046	0.8058	0.65635	0.45655	0.38705	0.33617	0.26871	0.20444	0.15379	0.13914
1.27008	3.6528	8.91032	1.30392	0.60181	0.57823	0.60641	0.70587	0.64978	0.50882	0.38483	0.27444	0.21622	0.1969	0.15759	0.14158
0.87374	1.46272	3.57678	7.60228	1.54651	0.77109	0.47926	0.60799	0.53712	0.52023	0.40953	0.27608	0.21643	0.18047	0.1459	0.13485
1.2557	0.99422	0.89409	3.09563	3.40411	1.6065	0.85809	0.62874	0.52435	0.52674	0.4144	0.32284	0.22862	0.17239	0.1707	0.14446
2.06885	1.12484	0.63263	1.24833	2.20188	2.24806	1.37515	1.02199	0.79959	0.66868	0.61102	0.40185	0.30267	0.21535	0.17238	0.14348
1.88155	1.86854	1.28003	0.69626	1.25599	1.62142	1.52559	1.2569	1.00736	0.77712	0.60208	0.47233	0.32759	0.22902	0.15938	0.15013
2.08484	2.4537	1.50313	0.92331	0.92157	1.36857	1.35217	1.44546	1.28952	0.9166	0.73082	0.46419	0.32814	0.2482	0.19164	0.15997
1.50726	1.9393	1.64599	0.96148	1.0275	1.17599	1.37416	1.29138	1.34015	1.07759	0.84197	0.43454	0.36428	0.25089	0.19704	0.19354
0.99282	1.52474	1.40984	1.25038	0.96442	1.0726	1.13377	1.25196	1.15036	1.07837	0.85797	0.57434	0.35656	0.25886	0.20909	0.18093
1.01995	1.17884	1.27422	1.10624	1.10685	1.25797	1.04267	0.9728	1.16584	1.1351	0.90498	0.71834	0.40663	0.23543	0.21307	0.18975
1.59574	1.77221	1.21525	0.97977	0.96752	1.1944	1.11572	0.89624	0.90142	0.84501	0.89786	0.61322	0.44247	0.30193	0.19102	0.17443
1.21578	1.34254	0.9189	0.68969	0.70513	0.82476	0.74951	0.76379	0.67277	0.59267	0.61712	0.50219	0.32949	0.26557	0.20304	0.17081
1.18853	1.79324	1.24022	0.60221	0.63296	0.7168	0.79039	0.73151	0.6196	0.45536	0.57978	0.49766	0.3222	0.23212	0.20517	0.16472
0.43347	0.98958	0.76498	0.68846	0.40606	0.49649	0.41548	0.46647	0.47658	0.39839	0.41581	0.32601	0.35019	0.27239	0.22735	0.16749
0.78909	0.96905	1.06549	0.6219	0.37382	0.37122	0.45861	0.42726	0.41632	0.50976	0.51718	0.36721	0.27288	0.31367	0.20889	0.15679
