A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.94537	2.19078	1.1492	0.69092	0.82541	1.01683	0.98615	0.84667	0.55944	0.36371	0.33022	0.28626	0.22591	0.18156	0.15134	0.1378
2.30611	6.32026	2.13114	0.82454	0.49027	0.88459	0.95698	0.92296	0.77422	0.46648	0.37201	0.31024	0.26524	0.19067	0.15261	0.13808
1.1256	3.37016	8.589	1.45218	0.64809	0.60873	0.67277	0.81218	0.77582	0.53414	0.38416	0.26969	0.21785	0.18883	0.1607	0.14243
0.706	1.26729	3.38038	7.73338	1.50689	0.74749	0.50436	0.67095	0.62287	0.54444	0.39183	0.25676	0.21215	0.17096	0.14604	0.13551
0.97341	0.8228	0.80006	2.93475	3.31305	1.49975	0.82574	0.59053	0.51852	0.50959	0.37548	0.28385	0.2083	0.16236	0.15954	0.14094
1.58374	0.84345	0.52758	1.12726	2.0415	2.11063	1.30048	0.92481	0.70491	0.58341	0.52426	0.34475	0.26385	0.19254	0.16037	0.13913
1.57071	1.48608	1.0924	0.66819	1.1818	1.53376	1.53778	1.26267	0.95662	0.70963	0.54989	0.43143	0.30595	0.21253	0.15553	0.14652
1.60842	1.88318	1.23072	0.91996	0.89929	1.31931	1.41661	1.5762	1.34985	0.91192	0.70767	0.4456	0.33226	0.23621	0.19127	0.15886
1.24067	1.60512	1.49193	1.03792	1.03365	1.14709	1.38975	1.36592	1.39668	1.06273	0.81532	0.42039	0.36699	0.24326	0.19651	0.19001
0.66065	0.96594	0.99028	1.16878	0.92662	0.99177	1.08979	1.201	1.12026	1.03423	0.79065	0.50964	0.32528	0.23969	0.20143	0.17264
0.77367	0.91221	1.08706	1.1593	1.15893	1.28389	1.05427	1.0032	1.19609	1.12403	0.87139	0.66662	0.3892	0.22688	0.20803	0.1865
1.01135	1.07862	0.88026	0.85911	0.91275	1.17061	1.13613	0.90255	0.93035	0.75568	0.79345	0.58803	0.42796	0.26895	0.1833	0.16989
0.9917	1.06094	0.778	0.74476	0.74359	0.86759	0.82478	0.8828	0.76928	0.58799	0.56909	0.49577	0.33694	0.27532	0.21002	0.16766
0.67196	0.88584	0.69259	0.49016	0.58183	0.65784	0.7285	0.65134	0.60794	0.42115	0.45669	0.40614	0.3267	0.23759	0.19961	0.15944
0.38584	0.76525	0.698	0.75053	0.42337	0.5388	0.46138	0.58342	0.61028	0.45797	0.41593	0.32478	0.39946	0.28895	0.23374	0.17293
0.52099	0.55048	0.69087	0.56006	0.34895	0.33762	0.44316	0.45177	0.44784	0.425	0.40874	0.31432	0.26209	0.27438	0.20638	0.15687
