"country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type"
"SWZ",2021.5,"all","all","all","all","aTB","stock",NA,"all","all","all","all","aTB,sTB","stock",NA,"x/y",15,99,0.504,0.361,0.797,0.218,"TB_subclinpr_15_99","ratio"
"SWZ",2023.5,"all","all","all","all","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,14,122.4,50.4,194.4,72,"TB_inci_0_14","inci"
"SWZ",2023.5,"all","all","all","all","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",15,99,481.5,202.7,760.3,278.8,"TB_inci_15_99","inci"
"SWZ",2023.5,"all","all","all","all","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,350,145,507,181,"TB_inci_0_99","inci"
"SWZ",2023.5,"all","all","all","all","sTBTcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,14,47.5,38,57,9.5,"TB_notif_0_14","inci"
"SWZ",2023.5,"all","all","all","all","sTBTcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",15,99,266,212.8,319.2,53.2,"TB_notif_15_99","inci"
"SWZ",2023.5,"all","all","all","all","sTBTcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,187,149.6,224.4,37.4,"TB_notif_0_99","inci"
"SWZ",2023.5,"all","all","all","all","TBdead","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,77,36,114,39,"TB_deaths_0_99","inci"
"SWZ",2021.5,"all","all","all","HIV1,ART1","all","stock",NA,"all","all","all","all","all","stock",NA,"x/y",0,99,0.182,0.174,0.191,0.00850000000000001,"HIV_prev_0_99","ratio"
"SWZ",2021.5,"all","all","all","ART1","all","stock",NA,"all","all","all","HIV1,ART1","all","stock",NA,"x/y",0,99,0.91,0.85,0.97,0.06,"HIV_artcov_0_99","ratio"
"SWZ",2023.5,"all","all","all","HIV1,ART1","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,188,91,318,113.5,"TB_newhivinf_0_99","inci"
"SWZ",2023.5,"all","all","all","HIV1,ART1","TBdead","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,53,25,93,34,"TB_morthiv_0_99","inci"
