A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
1.9306	1.35026	0.91041	0.58298	0.89603	1.12174	1.19875	0.96906	0.60532	0.37491	0.38046	0.35634	0.27384	0.22063	0.16399	0.14149
1.60409	5.10059	1.75701	0.67341	0.46927	0.93145	1.25043	1.14701	0.88681	0.47529	0.37617	0.34422	0.2958	0.22353	0.16439	0.1418
0.70354	2.42563	8.3487	1.30575	0.65224	0.60621	0.83552	1.07232	1.0006	0.59926	0.40506	0.2888	0.22584	0.20815	0.16967	0.14688
0.47257	0.78595	3.22079	8.27742	1.61679	0.80075	0.60241	0.86722	0.86202	0.69955	0.44351	0.29001	0.21797	0.18148	0.14856	0.13578
0.68543	0.53264	0.65619	2.6945	3.92006	1.69402	0.99708	0.71493	0.65556	0.67773	0.47309	0.34499	0.22573	0.17538	0.16724	0.14573
1.21834	0.63811	0.44471	1.00452	2.23737	2.69308	1.68504	1.12033	0.82468	0.6891	0.6596	0.43523	0.31146	0.21692	0.16834	0.14191
1.16417	1.19544	1.02331	0.57494	1.15758	1.67293	2.09397	1.51573	0.99698	0.70868	0.5902	0.49375	0.35239	0.23369	0.16523	0.15132
1.08536	1.37069	1.2939	0.86168	0.83484	1.27033	1.61064	2.00392	1.42768	0.85735	0.64217	0.44734	0.3685	0.27142	0.20155	0.15875
0.78642	1.03684	1.42553	1.09682	1.02838	1.07048	1.41096	1.51407	1.63501	1.03553	0.72387	0.38315	0.34966	0.26653	0.2006	0.18121
0.46143	0.612	0.86851	1.18491	1.05946	0.95683	1.0657	1.18219	1.1454	1.11309	0.77657	0.46156	0.3049	0.23475	0.19937	0.17306
0.56967	0.56476	0.81726	1.00549	1.29087	1.34772	1.08754	0.95829	1.08805	1.06125	0.88188	0.643	0.36232	0.22358	0.19446	0.17711
0.77669	0.6744	0.62777	0.69099	0.96429	1.29839	1.33989	0.94898	0.85076	0.65587	0.75593	0.67404	0.4628	0.27575	0.17861	0.16083
0.81104	0.6893	0.55043	0.56836	0.74048	0.97073	1.09458	1.07268	0.77362	0.52484	0.48017	0.55061	0.47488	0.3491	0.22026	0.16356
0.58986	0.68602	0.59331	0.41619	0.60305	0.734	1.01906	0.94738	0.79161	0.43837	0.41772	0.43451	0.41647	0.38144	0.23155	0.16593
0.34131	0.63175	0.65078	0.67006	0.44035	0.6198	0.64154	0.88176	0.85678	0.56553	0.41095	0.34695	0.48166	0.41596	0.33236	0.20025
0.42686	0.44843	0.646	0.51916	0.37261	0.38288	0.59467	0.64839	0.61279	0.54699	0.46494	0.32534	0.26344	0.31302	0.25402	0.19097
