A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.98776	1.79605	1.08845	0.64596	0.83916	1.11529	1.14322	0.8125	0.57302	0.39198	0.40492	0.35332	0.2592	0.20108	0.1588	0.13685
2.01656	6.57757	2.08967	0.7317	0.46421	0.92896	1.15289	0.9431	0.83689	0.48324	0.40478	0.33897	0.28305	0.20646	0.16043	0.13699
0.87365	2.97717	9.47557	1.37935	0.62136	0.6038	0.76559	0.86445	0.90263	0.5786	0.4147	0.28394	0.21807	0.19177	0.16402	0.14089
0.58003	0.99992	3.60047	8.44971	1.52452	0.78881	0.56302	0.71208	0.77122	0.65704	0.44951	0.28163	0.21158	0.17277	0.14713	0.13285
0.83838	0.674	0.77979	2.84143	3.5845	1.73269	0.9854	0.68992	0.66209	0.67892	0.51959	0.35499	0.24211	0.17615	0.1767	0.14451
1.50248	0.78856	0.52337	1.12356	2.19839	2.717	1.64833	1.07407	0.87811	0.73843	0.73069	0.46028	0.33096	0.22126	0.17561	0.14247
1.43338	1.49352	1.19706	0.63954	1.1724	1.73501	2.00098	1.38567	1.0407	0.7822	0.65428	0.52192	0.36466	0.23442	0.16497	0.14959
1.34761	1.73524	1.47198	0.96442	0.87002	1.36466	1.60244	1.80435	1.49137	0.95527	0.74666	0.48438	0.37115	0.26062	0.20518	0.16083
0.98939	1.32899	1.64545	1.16544	1.06698	1.18663	1.46758	1.44376	1.67757	1.17514	0.86752	0.43698	0.37426	0.26256	0.20751	0.19208
0.57786	0.78198	1.0307	1.29605	1.0563	1.06442	1.15718	1.19979	1.24704	1.22839	0.9101	0.53581	0.33119	0.24513	0.20998	0.17291
0.7171	0.71433	0.99392	1.1188	1.26305	1.44788	1.17431	0.99823	1.24598	1.24749	1.06048	0.73503	0.39245	0.22418	0.20662	0.18328
0.99512	0.88741	0.80755	0.7914	0.95482	1.35998	1.36504	0.92755	0.9599	0.7752	0.90654	0.73676	0.48636	0.26494	0.18245	0.16221
1.02037	0.8868	0.69821	0.6316	0.73892	1.00866	1.0675	0.95506	0.80893	0.61621	0.5801	0.60685	0.45563	0.31928	0.21787	0.16958
0.73487	0.88275	0.70015	0.46264	0.59096	0.76153	0.95917	0.7579	0.7443	0.45191	0.46508	0.43523	0.40418	0.31812	0.23377	0.16141
0.40636	0.79465	0.74632	0.72761	0.4175	0.5989	0.57554	0.68414	0.75555	0.52937	0.41058	0.32066	0.42853	0.34457	0.29532	0.17609
0.52997	0.56101	0.75299	0.55582	0.35738	0.37677	0.54223	0.52267	0.56039	0.51028	0.47126	0.30449	0.24287	0.27185	0.23602	0.16841
