A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.69549	1.94218	1.24311	0.7548	0.89439	0.96124	0.93767	0.7605	0.53164	0.34978	0.29024	0.25388	0.20618	0.16678	0.14526	0.13617
2.07636	6.30724	2.24754	0.87422	0.51374	0.84927	0.9664	0.87736	0.75159	0.46075	0.34271	0.28558	0.24379	0.18203	0.14992	0.13696
0.98848	3.45771	10.48991	1.51468	0.68196	0.60625	0.71883	0.86185	0.82368	0.55882	0.38382	0.27106	0.2066	0.17386	0.15076	0.14125
0.68198	1.23582	3.65331	8.57054	1.63214	0.73629	0.51324	0.70044	0.66897	0.55743	0.35319	0.24476	0.19693	0.16159	0.14297	0.13419
0.88879	0.79503	0.84615	3.18838	3.73475	1.62258	0.89696	0.67688	0.60524	0.57629	0.40324	0.30355	0.2253	0.16669	0.16986	0.14377
1.46929	0.85332	0.56876	1.2448	2.37497	2.52262	1.56022	1.10299	0.87692	0.70117	0.61015	0.40458	0.31123	0.21204	0.17538	0.14368
1.48379	1.60838	1.33243	0.74154	1.30091	1.74449	1.79356	1.4344	1.05141	0.78475	0.58868	0.46216	0.32676	0.22224	0.15617	0.14918
1.46761	1.90029	1.53456	1.10318	0.97623	1.40839	1.56156	1.76061	1.50216	0.97464	0.72891	0.45653	0.31666	0.22973	0.19231	0.16177
1.18159	1.60143	1.74498	1.26762	1.18425	1.22426	1.46538	1.51223	1.59385	1.20753	0.87867	0.44339	0.35328	0.237	0.19719	0.19942
0.69929	1.08187	1.23123	1.43862	1.11559	1.07095	1.15525	1.27188	1.27195	1.16063	0.87791	0.54981	0.32628	0.23936	0.20219	0.17465
0.71161	0.90064	1.20445	1.24327	1.29155	1.35519	1.13185	1.04011	1.30682	1.28625	0.98083	0.72248	0.38843	0.21251	0.20103	0.19081
1.03908	1.22545	1.04894	1.00108	1.09262	1.24729	1.19248	0.92041	0.94558	0.82256	0.83883	0.61335	0.46442	0.26338	0.17721	0.16784
0.96055	1.08944	0.86623	0.78208	0.81027	0.91123	0.86966	0.86287	0.73239	0.5909	0.54439	0.54063	0.34731	0.27332	0.20005	0.17003
0.66963	1.06908	0.83728	0.55077	0.64634	0.68416	0.76618	0.64142	0.5931	0.39638	0.37076	0.39707	0.332	0.2483	0.22371	0.16336
0.37851	0.89818	0.77508	0.86171	0.44819	0.53681	0.46319	0.57244	0.56772	0.40468	0.29782	0.27749	0.35521	0.28714	0.21927	0.19071
0.51339	0.594	0.8706	0.63038	0.38148	0.34462	0.44925	0.39119	0.4238	0.39007	0.34588	0.25772	0.22337	0.26613	0.21857	0.17439
