uid,nhits,RankUID
09be571e957cbb458cb380525b2c4373,8,1
b7cdcef40e61baa478b77d032dd1e5d0,8,2
75081469c4b4d80552e4cddd73c8a381,8,3
2413af946e274b3def3f75f653bbd574,8,4
2909d9e2f095dade70c378c592fcc089,8,5
4814f1eb1f40c09b6af852217f551593,8,6
98a1b20fe708351d586b07afda89da10,8,7
aa7e88ed9ef65983dd40f5e672ab226d,8,8
68e9e50ec8399900a47706ea5fc489f8,8,9
fe1d8ed1c4e296d0003b20f3db258e61,8,10
36ad82b0b1f42ae79627d0ce849406ca,8,11
b2bb2f8ad3a8b01b2d726ec6b5e587da,8,12
bc15b3c959b54ececd97f6af953c5c18,8,13
f146ffcd8c2f0da673c187e2e5341aef,8,14
6d314545ea110c12681e7da82ca4c7e7,8,15
f90d2c46cf025a6ccc9c4707f95f9f4a,8,16
c7b7add9ed29667a4b9e7d392e5b8118,8,17
5446af522ad3ff5e10f2025fcd85e172,8,18
55052a7fc56ba0a729e34e6e014cc732,8,19
b0d00e91ff61cbae61025a727ec4a189,8,20
85f2ca54ef39784c37de3823cbcf9eec,8,21
6869ccb4cadb6718523a20ba85b50906,8,22
6af4de7bbb01131a6470904a15683f57,8,23
09546d7ed916870a1d0b304e242a19ab,8,24
7a07e678d6fc898cfc9635bcb52df0cd,8,25
4756e54e0651a1306285f7b393f0f4a4,8,26
6a791f6ae06b0259bdd8ac1d3ccc4e6c,8,27
5c9f78fbaffb2281d709618ccbd5e199,8,28
3c3c9086de035a5d2f241f0c1ebfd763,8,29
08f821ea86240dad9287b451969a363a,8,30
f94023fac7d836bb4c2e2c430d62c705,8,31
f11a277d95e90144dac20c8bc0fbcd3a,8,32
ef6212756ebc0a4746b00c573a13993d,8,33
f2a20141c8a76b88536bf5a41108c93e,8,34
5296ac64dfc61e538ae8d3e2c4d98133,8,35
40e5d2826e0b2acaea9e496a2e4df3e6,8,36
5f80917d8ee89a78a87b65f381b00be7,8,37
a88a274d57311a130be6e1fcc818a2dd,8,38
1af9c416ecb34c3fbda6132ed9125944,8,39
0e5f5add3b61f9c0334b5d0a234b34a5,8,40
0f4ae99716b1ae794f8432e0f466e9fb,8,41
3f9fe38fe0e14cd516bf3bb717cb85d1,8,42
101a1c1cf90dfda57d8d275ec7dd7a00,8,43
405aa15b2823f37692c74c15d3c4dba6,8,44
3076a01d85f1d729147c0c351b163693,8,45
09c6473d0c3945e47ae052b51529b922,8,46
fc991e905da9d19f77a82c9bcbdd500b,8,47
0dc4a0c2d439aa3d9fbe3331def1be60,8,48
163857a228b7786eaaaa0f727995dfd4,8,49
fc9cabe5fae4faf05ec7f10830970333,8,50
310ffcc260c505f4d82654db959af4bf,8,51
9f55854ea18bf225e55e288e55c64ac0,8,52
e02b0433d1ed8d5c9fcd9a9a98c7be40,8,53
3b87e4fd00c7e5d522dc9ce6a4d58fb4,8,54
e587a8b0a7deb0d9fe45057743a4c764,8,55
f425085c4d26ca3ed1828b840b411027,8,56
6667a3c47c80c123f9f2d391c3cce244,8,57
def2e58fb956533dc070e1908de0448e,8,58
d98fa01394fe521e709cafd354004f6f,8,59
b0d743bdefa40e41271391d4f33d7be6,8,60
38d1e81c4c1033b8acf4326b333ed695,8,61
71395b198dbd392be20e73b545db265c,8,62
11b6f2cc90b5f6e561d27b3bb091756d,8,63
313f60ba00177576f8d49270bf21068c,8,64
ee50f2e2ff3cc10288636a3da35cf14b,8,65
4ec82fec9729053686a65070a99e2c85,8,66
770e0790eb4411cc5b6da56a1a223b24,8,67
48c36d18b076077f867cee134f3294c1,8,68
649135699ba8f15976bbd973067a376f,8,69
7dba567a19032ee3672205eae4fa0f2c,8,70
454db1b10cf9e031ff1195d65dafcc86,8,71
81429b8de17c8af396c14301b7c71891,8,72
3bc135919ebf10a2d862f0a748322e4b,8,73
ef47fd86d335f8fec583cb32c3c265ab,8,74
3553e8e8ac6b3c84d5b4a77795482ccb,8,75
33dd694ede2ef9cd424e8fa7f02f07d0,8,76
06faf8d55dcedeafe3336ccaebf292cd,8,77
c047cb74c4299d9d2fbfb213f05a4c3b,8,78
83631d7628bd73d6adc246f288ebfd59,8,79
6400a381b7367417b322a26a40b2fdeb,8,80
c92f1e22fbce0ebbb6eccd9365241cb3,8,81
f7d1db402d980c2de5289a1016f7e4a1,8,82
36e9862dbd8cc0ac617e6cfdf1f16456,8,83
9087a8de03d0cf83bf1f1f78acfc1672,8,84
216f07f0ee79219fdaa29cae6ba189a6,8,85
15a010b443a33506e81ad2f8c4540fa4,8,86
4a25153e063b2b8cff8e332aad29f2cc,8,87
9950c64e7fc615ba22380a3b6fe3f7bf,8,88
49c0fe5d6346956845ba6da82cec3b29,8,89
e2e5a14f5f95e028768eee6222d14eaa,8,90
c2865206b05901ae1aaacf624c4d62ea,8,91
93e73cdd4c744b771691de9b9753a7c2,8,92
c3d47d8ac68dcde9fde1a0a234cc0f90,8,93
310948b223ec3127b0e5d21c8190d432,8,94
48d36919324a94c1fa29e6177901bdad,8,95
3d50996fec444f5f9deded6d24cec749,8,96
4dbb02ff2781cfd468f6f4c7a22c0a53,8,97
9ff1481faf90c20563aaf301b438b20b,8,98
52d7ec29b98a62a55d91227a40bf3c2b,8,99
5f4a2351200f517eb9f939b0c628902d,8,100
90e8ddd09abccb883c4b99c3e578a8ed,8,101
c0d862865d1e525855f6513619f08b64,8,102
488abb545d396cf2c9ae8b9692061e93,8,103
8a5d56abe26740345f714cc35b9891fa,8,104
684f9a7c09dcd04f14c2e7cb8dc51591,8,105
cc8605de0e7a4b99359dc60be0e561eb,8,106
1d50e43c56aa114d60225ce8f96dc6c5,8,107
3553daf8fc89c426bc33ee8400ae54f2,8,108
dd55706f6c5faa5999f26ea6af127332,8,109
f1f75cd766aa6571962f8f6b23853796,8,110
beeec62554cdd3d4b6835c74fb99f272,8,111
31c6dc681f1762f8ba6ebd1eb6616093,8,112
ea64d4ff0f4ee93d740f5aa8fe44d4dc,8,113
e668369df5b1aa6e9ae9d93c487fcca5,8,114
cdf99b3ecf86996f7c3a5fc5ea328362,8,115
2d14016b8c0a91360a1eaf8b1c2fc687,8,116
8fe2260f03ea2c75873cda61af675fa9,8,117
d0f32f50e79ad96af6b74633054b9709,8,118
8ece82bf8876b3568dd048386e5d901d,8,119
7f2e503a690010d3307cdf1e0b41c2cd,8,120
e1cee314547b60bc75dcd5962a5fa5ff,8,121
e4e8b068411d6bef56d42358d9053724,8,122
c6b945fef9ecb2a80eff398d4a1b3b89,8,123
92c19b9c9c18e056cf809f89ace671ef,8,124
a62fa9ba2ee41da1313fe2cbc17dce77,8,125
106ada2ac93fbe018d421bc27a835973,8,126
4f459eaab5e1727b0281403cadbeeafc,8,127
a30cb0710319ac739f062b1c6c5088f5,8,128
aca425a736d44f4a7757d382cef79670,8,129
11f4562872783ddbc19d4c4c2a511dbf,8,130
204c56acda6a1dfb4ba56c1bb70b580b,8,131
0668a3fd97f602d052e575d2e6466d5b,8,132
e13864f1cd5e7c0b70210af253b93b60,8,133
1e9dd7c2ea58226f54ad6f0e14752e20,8,134
6afbebfcc8e37d4a5dc1c51785032ff4,8,135
cab67b46612833d4c17bfa72031919bb,8,136
d8be9b5ab7bd62f9227037b0ae209a2e,8,137
6418b713bae4a5d33aedcba95538c16f,8,138
70a5503dfa2b6946ac575f780c7e2bd7,8,139
77b3791d91a34d38f4693221cd10f9e9,8,140
ce36c7dd3bf629e8e03f488b976cd052,8,141
b61eabe8ba771564aa2a93313965e1b0,8,142
c44bc4ae13740cff0faee8ec5678cae3,8,143
ccdc05a551cf9e9df7c66989b66d2a5c,8,144
f842375bb57d3f2393c7902f13cd94c9,8,145
840e21bc104ce01fa500713a2178e689,8,146
6a61c88ecf9b1925972bb3e3d972de54,8,147
0b938017d6c6ef27413801704cd6ba7d,8,148
8b159e3c045cfbbb17865a01ec586c06,8,149
fe1e92a8d471e9de0e88518d269802df,8,150
a9eab7a68bc2bb5214ad9e34df6b941d,8,151
1815851bc7e75aeac0f798829682fe0c,8,152
364afcc2e79dd71895a664e15ae1ccae,8,153
36aefb9f2948155964de5bed28abc0de,8,154
df84e502cbe359c2156c3f6282ea00e1,8,155
5c4150ab2d9da0d41524a0814e7649c9,8,156
e68d16cf55561c6eeeef9509ab86340d,8,157
94996c508f7ac6cd2e55620e353dc4ce,8,158
fae2ca4c3e096d044a761e9a9b034976,8,159
cb17bb60fe7f05d4ae516ac5772af245,8,160
06a7fd4abf7b20db9f47eaadf3d75876,8,161
af5513682eaae606934c70906b1b2754,8,162
560213ba2decfbc93230afd6b6f236d5,8,163
d14b8c0007e02b99f2bea24e4e038d78,8,164
b4c3656e27d531eb02aad3d3815fe470,8,165
0d8254494d9dc560ab8e32e6f1bf5e73,8,166
0298c7ccf171aaba9e5330a378b6aea7,8,167
5e2e5ffa575025645dc5b52beeb3f0dd,8,168
11fc1b388588658fe281f7ec2af6decf,8,169
6410f203d976a94e011ecb326edb884a,8,170
29d819fe4bc3fca35b5584c7757a7df6,8,171
2eb99c81f04bc5da6e116ca9e1e6199c,8,172
3bab5c52ee8ed659783abbead4ea902c,8,173
6209c4619f099e527c17263e8f3c84ee,8,174
f230bed96c109aad8849931f4ee29011,8,175
9f8587fe24c05e3c971eff6360053e97,8,176
64c9cf6dfee54b7635033435a068e36b,8,177
2efd5a289a52be5277187fdc83edb526,8,178
0d713b012b66f29e94906f45a565a6df,8,179
41b060fa7fc2f9a8d36aca2e7242520f,8,180
7abe0bcd80146c9d82df67b7a24ca78e,8,181
5567eab6d3a8fcc2ec63df592129bfdf,8,182
a6e7a74df96e4a9d180c15df5764a055,8,183
592d5fa66e6003940e4a9e0fc70c9138,8,184
459d5d81f174ccf6499789ede02db0cc,8,185
7821de6ede333e8804fbfda9b6775edc,8,186
a4f992487d5dd5f33c8e4ec16fa42610,8,187
a63ae9e752466c9057cefd89ed092ee8,8,188
5291c51b120b3757b1711520a4a28b02,8,189
9437ad704d5ae67dd33b1655a3c84d8c,8,190
8dafaa2a589537b45ea762d20d177b4a,8,191
409984555ece52420e083c2f355473c8,8,192
47c8c0bb4b1e272af4b31029c88bfc66,8,193
b1e94af1e9f27b7fd6a990881a3f6ab5,8,194
a2485cb36e635e95d59c7e85f2515be5,8,195
4dfd11354ddd8a73818b0f4b98807eaa,8,196
2fdf040efedee90af4ba83a90ce7f858,8,197
b8fb24918df312b9150062436863c585,8,198
8010113e65b81b054b36f144b2a23a37,8,199
9e098336babe3c87ec0b0c9b0781b123,8,200
