uid,nhits,RankUID
16985dda5c7fd1942f8dd915642e4fe2,8,1
aec1ba598f092e1e222ee1cbbee808d4,8,2
7e12b60b6bf5ea73271e190966f46d31,8,3
b3a8cb368139a3f6adc4bc682c9ea06c,8,4
2080b453642ac8d1f4fc2020a8981a04,8,5
e649bdb2152493b41c896f0af6c40184,8,6
58526a34abc218d2ce757ef95be067f5,8,7
b905f168d70fe216c17de3b518adfe7e,8,8
b541af8f82f4e10242974760af0dc3ef,8,9
399d82c9a18d07d13d05158ae5870e18,8,10
1b279e66b438a6f8ae024e2eb7d0a267,8,11
a1691625460817f950b2e80269e46910,8,12
0788b809a71262260cb4d33a619c2c9a,8,13
4d1eef3b812c476cced2b9fd0defcac1,8,14
5ed190104c00242cc015206056452044,8,15
cae85ed2d585df010f851522fac3ead0,8,16
eaa817a2f5940e5aeb81090122af0890,8,17
96c1354ae7478e7421ca6ba7b098379a,8,18
396209e5957d19a7b5bb0af6977edd39,8,19
879c88794d6ddf9b2b3b9b218e1c23df,8,20
4ec26b4f9b33655f25c59b180cee6653,8,21
7214e6a6b8f1880ff440b02fd4343868,8,22
872dd54034d98f559f185f73aaa41537,8,23
8ab058fbf91320bbe36caacddcfc3a82,8,24
95da4e8735ca5ccb326f8799710e9703,8,25
db289cff57c515b0d832a508d793a10e,8,26
0eab1ec0b866b9fc6adf0224a0f50187,8,27
f0ad9047140650a94fe1bca178e64588,8,28
24d096ac727b0efd62b1af27db0971ab,8,29
ae6dc134ba49b05b36f4cc59831eef94,8,30
8a7739d945673a1e7dbb7d0ca6bab454,8,31
7d18cc343187cdad65aae2327f94a64c,8,32
b024072b8b009aaefe5418f8806eaba8,8,33
397835dd63a9aa70201ffd5cad07c2cb,8,34
61fc9615b4ccb05f9f859b41e5856201,8,35
2b079d2f983d5d7371126199de2bc853,8,36
13d8643d6896811edf6551caefad68dc,8,37
1c01c547152d0c5585da3afd913e7051,8,38
71078b972de23791fd443a6c481b7394,8,39
a6378cd901d2f1d3ca4e7874d3db4b51,8,40
fcd945acf290bba8c3ce7644aa19e54c,8,41
2c63b18b4a7443e9543ee9aac6989e55,8,42
027d861f4847720f74625617e22997a9,8,43
02cc4877ba867f62ce9b4b46c951fb7a,8,44
bb694e9ec869987f601490e80f0bc29a,8,45
10f0385fee93a9a7600fba49e5c2e6b6,8,46
4097ed3f324d2c5b007157958b6fd164,8,47
cdaa5d486abcf5522478448a4feebd58,8,48
5d26e43d0b85be8424bd3d6293b222c4,8,49
f8cb5cd0457b56402e1c65149bf4d010,8,50
3dadcd4e96b440630bf021e0c603f9e7,8,51
45855f3a67e91eebb2ce8d40d5cde7f3,8,52
88816d54f8a876a178102b7cfdab6fe9,8,53
70837b432c59345164b9af23df6c709d,8,54
2717082761ffc5a00ddc148754c61f00,8,55
b4f09c127aeb7f3e78846a86983e900d,8,56
33ce72370c64f126ec8e64e2e553a48b,8,57
b465ccbab7b8108ff2e677fc7643bb80,8,58
0eb376161247c12e714b2d550f16ec4f,8,59
bdf75f1b35a7cb226260bc074d0ea8cf,8,60
d5511647579604ab8ad48e9b21cbc956,8,61
251950c6b2196dbe919e9fd7332dd7bf,8,62
312a4cbf1c47d993d4a2ac9bebd82cd9,8,63
37a7078af8e27f1e7fab084cf110e8b7,8,64
