uid,nhits,RankUID
995b1b75e03775cedc2a8cc424f70f38,8,1
d9c4468f6b552f70d8a36da08060b42e,8,2
27d5d3922cfcfb2b5d616fef75d4bf6c,8,3
abe5924578b9d444b42bcfd8ec707aa2,8,4
52a9707fb70e60bfa4a9a88927f921dc,8,5
7a24fd03b6931fdf3d36cbe63b26a1ac,8,6
78f11d767e8c6ae99cd133760c087422,8,7
7030268f96d786bfff3fc02c4c1f2650,8,8
a139a83acb2bc770d269a9ac289d6080,8,9
16ac412d440f09d11fa8004e21fea950,8,10
ff298165bdfe268cf9312977726551fe,8,11
4839277c02e99bb489c824abce07fe44,8,12
212164aedc3f07ec975aaecfd103642e,8,13
81510330ff344353d34242ccdbc39742,8,14
d26ab3dc22e03185326e870024ebd40d,8,15
e612da781a9e58b3c6a30d793f6026f6,8,16
31f7e446a11ae5e6a611af319e1567b9,8,17
d98861d83ab804459b4ddb86c97d8aa4,8,18
64219c1d6b5dd07d72ba9abd449afa2a,8,19
0c53e03a69d125c950fa79827934efc0,8,20
08f30b9e14feea0432f24e142504d2be,8,21
9c81ce3f9b28a967e5184191f148107b,8,22
77bce3cec348f82f1f8111ca3cb1963a,8,23
d0b29867bfef4dec58609f6db4fc03e3,8,24
6e498052f030324b97e49002df208696,8,25
b91c82dcb5c58fb10e9b76f5f741bb2f,8,26
1a6eb28be0fa8f5ecfd24787652ad31d,8,27
f0d1b65ded556023be407bd09c519fa6,8,28
865072bf5474f141dd50dcf7a3d034ac,8,29
c03afb5e1c586c90045655e0c451c255,8,30
cbc4c952a1c844ab036d3b6df127964a,8,31
ad4bab62d549a118f888f4aef4e8d41c,8,32
a3b652cf3fc905bd55e219542db387ec,8,33
372368fdbf75f60925d51cf06004a74e,8,34
126a27242769372088651836b2da1da4,8,35
ccf8569b55d25ba3544494e918928b9a,8,36
7c1298317989264ab17cfb9dd721af37,8,37
c91a10781aa40a920daa2ea4c2e2f1e7,8,38
157fa8c0a9aa64e2032da09a16408cd2,8,39
f0890c7ae07b7d485f40668bd5f1019f,8,40
d02f8b27cc65e28a1fbe2ad92adc2030,8,41
4786a5923391891779f180b9bd5d1fba,8,42
9fbce1dd51f9a16e55c722de060f3726,8,43
2f787501f45676051ad949b805f9157d,8,44
35721ae43bf5731e652779d030083a2a,8,45
70a0aa6468c3b10a7fa84752ed3ea468,8,46
9251af37a25ed05bb594fb06ff17f58d,8,47
cfacdb9aa562412818ed6e7a20822148,8,48
dc6207fd34522110fd3b5189b5b14883,8,49
6dc68f3a6db3a350ac2f5cf8c412905d,8,50
51500a08136a26f54419bc1d5a8bfadf,8,51
057725dbe54e2fe08084bcce856df89c,8,52
1b5c243a7d9472e24a3f85f6bd676785,8,53
baf7a91ca8a723a685c948364ecf7396,8,54
a8543e8e20f08f901b8c06a11b8af0cc,8,55
db2a1b61833ffa709703d5facf5356a7,8,56
32a385cf1839c582b0bc4edcc89b8c71,8,57
3238168112483b1894b3db459b757d6e,8,58
36be4050485fb99df90c603e894a8246,8,59
4d7adfcc37f695f914c0a764df3aa85b,8,60
38b0e4e1c33d00538a3ee1caca442657,8,61
3bacdcda4fa0b15144c2d949a87a5053,8,62
f561d71832c59ad21e42dc2a97b94ab2,8,63
ed93c16b10833952066bae76e92344e2,8,64
5af746f93a6bc65476e008189617d49b,8,65
6a564dc26bc64371812b9d09ec881088,8,66
2b289ee6e8510b9dd2f34153dd69895e,8,67
eb687726e0b55ec003404b3a70ea8db6,8,68
09c58b1dbe3816432827e9f015abc4c9,8,69
29341e5fa4cec68ba4813f94adeb684f,8,70
d1be86fabed311f33361ef6680a4f54e,8,71
76280b43debf6f284d015e9bb58721ab,8,72
6a05fb45acbc337db9d1241eb1c3eb1d,8,73
ec6ba3fad644480f8008fda3b36059e7,8,74
e863c2a1efa6702cd20e4082071b1a91,8,75
