uid,nhits,RankUID
ba425deb744f2d66d09553b067de7b6f,8,1
cb1f52854da35aedf51a3f4909eebfd1,8,2
9d6307b7d76454bd5a4d4ca69adda2cf,8,3
bed0a09aea1aa1372f7aabbb88f54f45,8,4
8e08f98fdf2af92b58cd35a2e07e7dea,8,5
b1a5986efc878f487d46026046932f75,8,6
cdf70907e81e7180edf6a8374e8f38a1,8,7
c9db09b65d98a36f322362dbdcb65009,8,8
2ef7a65456608463fb2bde6a885fc39c,8,9
80075ca408042063cccf58e6cd71b954,8,10
84f9190d16ee740b79568f315e91e98d,8,11
0184cefbc483a86d716aed418f515edb,8,12
5b07f23f2c46e606306aca30eb41581c,8,13
c2e68e8fcc4a578069a473ec052bc91e,8,14
0d3cc7ce3be91cd012ca94e4359e11db,8,15
e041abe87ce9bf6c945e924dc95afda2,8,16
d93c50fc0c36176b05b7fa97aa6c1e6d,8,17
adbc04b2b53f9056a772e45aa8fb2d36,8,18
4686dd19db116ea0144a39cde17f8d98,8,19
64439ed362db8b01770a75f8a416964c,8,20
a3955e6ec6019e3021c1887d1d08b39c,8,21
35b509cc9414354c40169473f56d0151,8,22
7e78e273d3bdc9df3003c653327e5f7d,8,23
9af79a2fd479e92dfb45e8887a9e7845,8,24
6dd7515804b97b995493b5fb955706f0,8,25
c4eb72c8a18327e5c42dee61d6f7a3ff,8,26
e268599573c7e56980d5855ce4c83615,8,27
7d94abd23aa0b6dbe4b30b34143a0a02,8,28
bbaf8cec4591f0418002e4e3e58e2c20,8,29
9f2b0b1da2fa74a187cb11035b6b6903,8,30
5d4b49e860a1f045a02e5fbecec8c11e,8,31
6731d075db0f98f2c90c8bf5163a277d,8,32
7b714da512ec71b2cc0310cd41ae7ac1,8,33
312d5e58b3abca64f40c390f6a5fef33,8,34
368dfa3cde990f5000cb7c4346aa899a,8,35
7eeb90c912e18c5625042ed42844ac30,8,36
5a8cfea6806760148951bbdfd035c0a4,8,37
0f337bb4b2a4a9cfd1926fdb14a68e3a,8,38
b455571b20b714047db3dd5c29bd9632,8,39
7f336b2e24645c424d0930b0fc21f8f3,8,40
56c2d0a95da3899fd116e583a28e7c3b,8,41
a4b02be3cf6246b11710445b4d8ecf33,8,42
aaf730d1a1493e4c5045946dfa93a9dc,8,43
971512e3eab5612ef9d89e0a5221a462,8,44
ce8420eb33c3202846ab0a1f8e265255,8,45
2203fe2e748855ab2dc7ceaa0699eb57,8,46
7ae1b9819b26ea15ef097a3bbd477d05,8,47
b79b4043fc4ddbda8fc480ceb0aab961,8,48
a9ff8c606b5ef205443ee25935eb02bc,8,49
9ee1045e71ac6d84e5b0f2bdc8cb1bfe,8,50
56a1c0749210b0366f10370c148e719c,8,51
06ae98427552ff51e5dd4da0ef6dc5e3,8,52
939a1ee9f0d1c1347ff56de3a2070a7e,8,53
80c07f13da5a9d9ff365b86c4beb0123,8,54
42bacb97214a339e0204e24e88f94d0c,8,55
674fafbb89937784739fbf878040d3dd,8,56
16f25da766038e1ec9d193b715ca128c,8,57
3de2dcd04bc6e8798567c20a45d892f6,8,58
8bce6a96cecd86fa604b838b660295c8,8,59
9ba061c5f6f90350a10e55f4a03f7d5b,8,60
a31bd01acffb5db0170e84a8703d33fa,8,61
90e3ee84756fc802cce53bd17c019dab,8,62
255671c0cf001db40134a65ea5c9e5e7,8,63
af92092ab57f5f6069699885a0928dfe,8,64
f517d9f5c1468c5aaaff0b47cd49edc7,8,65
c1f959f446882b9f4a56a0e5e80f9ff4,8,66
45593e24f9de753b265cd7055d9ba1cb,8,67
1878e19fd9946ee4a33b50c8066796c6,8,68
e0751824509c16c05d8f6471e07eab8a,8,69
c30aa9a7fe7b4b72a151aeb1978adbde,8,70
014561518fac8df693e67f5f5e4e7228,8,71
c8f0eae41154cac278a92f8d5ec8a0bb,8,72
887009389e1618354cb077b31c431aaa,8,73
8b1213cc98d43834c7db7483bd761799,8,74
2912c60801bf95b9e2b3c8cf392b3191,8,75
ad58e2e89c4d4c49c3c59061768ae11e,8,76
0e4957a64cc638c080f99b3d1f09c265,8,77
