uid,nhits,RankUID
ff88044a4f4edd97f7f28eb27b3fc5e8,11,1
353b3a85b1a95fe2b806bd3d1d53dd85,11,2
9007a9199a9a7a722850c768ba802ee2,11,3
ee5f61a641bc82b9994fd706ba92a8cc,11,4
57c9fafd29913c0d61aff62906484bca,11,5
a764d14b80f58733f3b79b5d130b3de6,11,6
5c05ef1234a7e6c02aea8672f2d349f9,11,7
7868dc12c3b29fd11ac9f3f7e6ad0fed,11,8
0349897883cea4b2bb579735d8b852c3,11,9
0b3086e16de1ca2da524b324d3b4401f,11,10
7f11cbb9dee959739a76a081f77f000b,11,11
d5461d1902c3815b7aa4273fb35e1cc0,11,12
6501dbdbf0c2135f3bd5105af32ffe0b,11,13
4d53043842961ce824683f4638846c06,11,14
5dffefab4e2abd9d96a9c82120aac230,11,15
b309a5140a0c1cc9aefb25d4e6c26be8,11,16
860f8490710db01089f3c5101b451336,11,17
f6b1f317beecc6ca2dbbf68f0d2a92bd,11,18
0f0361ff10b914b18b87d09e0ee41d43,11,19
a644e12a3fb9c9bfcdb0023055343ce3,11,20
813d40b9a3e92139d53a27d76d61a157,11,21
54a03ec3da14574bb70962e5399428a7,11,22
96630386bec11eb8f277dd78a3f6a5dd,11,23
7d8c3a4ea22732de7520a62483591aef,11,24
38e673278c1bc29dee5e9f473a259bd9,11,25
ae8df391a422406a4788233b2764fd44,11,26
71d24b05747dba9ed6afd1f76537a3da,11,27
13e509b664996ad59f390d8b8a70264a,11,28
9b7487e93fda673a7af8c89c19479f27,11,29
324dbb2fcbbc713c874d7ed5fcc03bfd,11,30
a71de191e32baa994c2b87846fe11256,11,31
b32a89899bac46b996ec6382ba3fb915,11,32
53c1cab94201d603f9433cb0d3350a8b,11,33
22bc17c30b0c6ecc681f70286e4b7c9e,11,34
ccfe8c5a0b2ec48f68d9364e9ad0e54f,11,35
dbd6fe8ba2f8d63908a7b09c8da92c14,11,36
c6e1bd152076e19e0436d4f0d75a280a,11,37
4b685812eabcd3c9149624de8b213338,11,38
1f07e63dc4b01382ee7d09bceceb2c3d,11,39
8be160aaf23b8e5e0b29cf6b13338e2e,11,40
e2777240818d9d035e487a7815a9dc2c,11,41
a04bc3bdc0d510b5d986626c4f122d74,11,42
20a3e13749d174458d903e8d743a04e5,11,43
66e86ea478fad0ab93c004e78ee00c57,11,44
6174690409cd4482e0e1db7d7d8ecf2b,11,45
25544fcb436811e1324385b02d3f8008,11,46
46b491bc0fdbf883ca5d3bbe036d9f05,11,47
c4d90702a18260238afd21e88d564fd6,11,48
922b0b9135c780e120aa8afcb619e58a,11,49
4e67e53ff34ce1211d62adee428a16d5,11,50
36cafaaa1f6b34946b7fd4eb0483d138,11,51
3cc05b53ffb2012c240de13c44c36a97,11,52
b38cc487dce44c7c194bab8ea903f86b,11,53
adeb4ecadbaa1d0baa66b3608a536ff2,11,54
72b1e3ea3df96203ba129317b0cb3421,11,55
cca8c5854320265737f861bbb2a99a4f,11,56
1646f1b1d38dbe1650721ca8c949b5b2,11,57
ce01b1b91a422c04dbed5df9da78c2e0,11,58
870549ae2f66d37ee00b548ed4d7d5e5,11,59
8021c54befd9c6664b462985956586bf,11,60
9dca0d813f0e6a60bd1926fc2195ecca,11,61
90157e45eb97f6ce090355ad4c0f924f,11,62
6b7af83fd24941cbb0731cc241bb6ec7,11,63
a8701cd225044d1803d420bf4d6b2d5f,11,64
5b3492e9d0b80532a5e58b1764f448be,11,65
eae3338bad713a0e01c2c0b194be9719,11,66
